# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC2b_model
# start_datetime = 2022-04-23 08:22:29 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-393458d3d2b.json
# init = 2 (Default)
# random
#   seed = 1316575528
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC2b-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC2b_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bA,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0883027
# Diagonal elements of inverse mass matrix:
# 0.0348695, 0.0428656, 0.0782895, 0.0653698, 0.000215521, 0.0369821, 0.0269442, 0.160176, 0.211515, 0.20931, 0.153157, 0.17275, 0.280162, 0.315637, 0.20001, 0.146501, 0.147848, 0.184323, 0.186683, 0.182818, 0.204191, 0.188589, 0.215735, 0.153035, 0.1968, 0.160229, 0.247299, 0.179243, 0.244782, 0.200327, 0.180287, 0.217473, 0.195077, 0.180271, 0.17884, 0.153636, 0.166261, 0.258843, 0.181476, 0.00818156
291.192,0.859285,0.0883027,6,63,0,-267.831,0.603412,-0.113575,-0.27867,-0.180073,0.0326405,0.519074,0.570645,-0.932677,-0.0828047,-0.0678996,-0.632329,0.450307,-3.43155,0.23102,-1.21308,-0.939678,0.953809,-1.69007,-0.901786,0.488865,1.85298,1.26008,1.28055,-1.05825,0.828825,-0.487911,0.600554,0.691721,-0.603378,1.04905,-0.0896231,2.73764,-0.539808,-0.0577199,0.722343,-0.568902,0.224545,-0.246202,-0.222689,5.94039,-0.013153,0.471822,0.480327,0.158239,0.776039,-1.43912,0.650904,-0.173164,-0.0171482,1.06336,-0.445353,0.00447469,0.798042,1.57647,1.23813,1.24981,-0.0848081,0.992039,0.24065,0.861777,0.913801,0.174759,1.11771,0.467931,2.0813,0.211035,0.486136,0.931275,0.194433,0.647209,0.37858,0.391998,0.645705,0.771634,1.99339,1.24697,1.93005,-0.639922,2.06049,1.11141,0.706991,2.21737,0.70866,1.15849,1.34003,2.07212,1.85188,2.27326,0.536152,2.27661,1.09535,2.5054,2.26366,1.85102,2.66341,1.62194,2.83808,1.16953,1.9992,1.99355,0.865026,1.12587,1.80443,1.41545,0.343958,0.316126,0.119899,0.223225,0.126745,0.654736,0.112996,0.247608,0.330264,0.0982012,0.329895,0.238942,0.207505,0.111836,0.135653,0.0933617,0.369083,0.0930784,0.250612,0.0754806,0.0941779,0.135753,0.0651675,0.164937,0.055301,0.236941,0.119287,0.119881,0.29629,0.244924,0.141313,0.195376
290.68,0.97945,0.0883027,6,63,0,-268.513,-0.0799463,0.0956082,0.831469,0.471239,0.0460302,0.189892,0.656401,-1.2442,0.897624,0.642932,-0.649807,0.758831,-3.51755,-1.80346,-1.12664,-1.36863,-0.493187,-1.35466,-0.816011,0.552297,0.80035,1.57803,1.53546,-0.760007,-1.2665,-0.183109,0.600637,0.211674,0.0177989,-0.0310464,-0.0978778,0.662044,0.876555,-0.613749,-0.914766,-0.422874,-0.0460083,1.10356,-0.543829,5.59901,-0.626802,0.779094,0.611914,-0.236642,0.68799,-2.11903,-0.993902,-0.549635,-0.708477,-0.133837,-0.699307,-0.345739,0.552421,0.715243,1.22571,1.19777,-0.308977,-0.641442,0.069699,0.584151,0.328835,0.201575,0.169513,0.125645,0.624459,0.765264,-0.212974,-0.410561,-0.0876832,0.159692,0.91427,-0.167078,0.374808,1.27437,2.78884,1.34189,2.35859,-0.941535,1.0664,1.30508,0.385194,1.53676,0.971289,1.32486,1.35838,1.4867,2.04478,2.68425,0.577522,1.21327,1.34749,2.9452,2.27561,2.60865,2.39247,1.79624,1.76416,2.17621,1.96395,1.13353,0.904048,0.871949,2.88738,1.3194,0.40738,0.21851,0.0579302,0.207199,0.0863858,0.71941,0.256088,0.213311,0.404875,0.177007,0.274624,0.210011,0.204503,0.184417,0.114581,0.0639094,0.359503,0.229122,0.206281,0.0499639,0.0931631,0.0685836,0.0837487,0.142309,0.14627,0.101908,0.12304,0.24351,0.288219,0.294849,0.0527808,0.210919
295.655,0.968921,0.0883027,5,63,0,-266.855,0.322694,-0.124166,0.394751,0.349598,0.0311143,0.016274,0.656904,-0.428875,-0.0644464,1.08613,0.8052,0.627318,-3.23662,0.331877,-0.784862,-0.894622,0.458948,-0.323175,-0.403835,0.778901,2.23707,1.31864,1.30042,-0.690503,0.405912,-0.305941,0.6662,1.23793,-0.177834,1.37335,0.619043,2.61445,0.247004,0.325666,0.288113,-0.0276552,0.353876,-0.128063,-0.348311,5.47496,-0.265456,-0.0260611,0.729756,0.545213,0.428362,-2.10987,0.234285,-0.499305,-0.571407,0.317759,-0.196021,-0.249006,0.527937,1.48581,0.882496,0.870523,-0.43732,0.282919,-0.1847,0.453903,0.829473,-0.100546,0.918431,0.422926,1.73372,0.178532,0.230205,0.205537,-0.00189284,0.248736,-0.067851,-0.212533,0.614048,0.511185,2.59552,2.00649,1.95187,-1.09522,1.82942,1.14866,0.370326,1.84127,1.32749,1.2745,1.29795,2.20975,1.72639,2.26957,0.409891,1.93088,0.88149,2.44412,2.53967,1.92079,2.81531,1.94643,2.70657,1.34448,2.09597,1.47124,0.890441,0.958661,1.54962,1.18652,0.351136,0.374916,0.0694272,0.118523,0.12435,0.749364,0.138308,0.240734,0.408462,0.136902,0.209575,0.218488,0.21451,0.0988787,0.15105,0.0936745,0.398938,0.126653,0.292869,0.0798692,0.0731238,0.127773,0.0565025,0.124943,0.062587,0.206774,0.109489,0.186754,0.291019,0.277146,0.17514,0.233882
301.957,0.919062,0.0883027,6,127,0,-277.446,0.356942,0.0121826,0.418131,-0.0096761,0.0268672,0.293038,0.641726,-0.406777,1.09524,0.735423,-0.362379,0.851216,-3.00927,-0.148041,-1.26221,-0.786654,0.0476753,-1.0921,-0.268715,0.0544557,2.68932,1.6472,1.2007,0.164865,-0.243999,-0.610737,1.11206,0.701498,-0.288668,0.851459,0.0247423,1.98341,0.433908,0.295899,0.749597,0.0889054,0.143289,0.886643,-0.104227,4.9333,0.0319986,0.995882,0.764978,0.0604903,0.839286,-1.63809,0.198036,-0.516953,-0.211779,0.323632,-0.407793,0.120596,0.327984,2.01884,1.35009,1.06356,0.398836,0.136458,-0.0988882,1.00668,0.743208,0.107793,0.839442,0.308916,1.56584,0.571488,0.482924,0.774074,0.350091,0.38499,0.86202,0.226153,0.688054,1.3564,2.41474,1.36098,2.19351,-0.875615,1.47204,0.944741,0.498011,1.67786,0.946432,1.47482,0.875101,2.54056,1.91988,2.31032,0.998219,1.59815,0.71837,2.76391,2.25864,1.89189,2.51607,1.66314,2.3025,1.46872,2.13269,1.75128,1.00489,0.878164,2.10391,1.47291,0.334466,0.204826,0.0820554,0.204081,0.100335,0.705913,0.186633,0.279944,0.378008,0.157379,0.279603,0.186211,0.294194,0.0730631,0.127875,0.0902721,0.269292,0.16824,0.327752,0.0593058,0.0946071,0.131029,0.074739,0.159341,0.0909163,0.187137,0.10596,0.147886,0.267982,0.293558,0.108718,0.186501
304.134,0.935423,0.0883027,5,63,0,-283.808,-0.120632,-0.0459643,0.16515,0.266548,0.0620888,0.214708,0.701796,-0.360218,0.816521,-0.283164,0.0173557,0.430966,-2.92113,-1.02232,-1.26495,-0.623246,0.124293,-1.10371,-0.487449,2.18918,1.1352,1.52648,1.92476,-0.448121,-0.12721,-0.116817,0.153498,0.971042,-0.327394,0.209187,0.116729,2.03517,0.748832,-0.179585,-0.116926,-0.389749,1.54401,-0.270075,-0.102339,6.40581,-0.0380913,0.78774,0.015985,0.226888,0.517158,-1.83533,-0.502753,-0.673031,-0.222683,0.301937,-0.559871,-0.127382,1.75106,1.01139,1.28599,1.5655,-0.0997812,0.125433,0.132727,0.322433,0.896182,-0.0150559,0.361515,0.296628,1.64299,0.740236,0.0886761,0.13265,-0.0588163,1.29829,0.0251705,0.142887,0.74081,0.883665,2.15443,1.55818,1.97263,-0.804113,1.70419,1.03079,0.680396,1.7574,0.895596,1.32809,2.28715,1.47985,1.89999,2.77261,0.566025,1.82926,1.28416,2.70923,2.72418,2.43383,2.56205,1.7521,2.60815,2.08031,2.22712,1.66137,0.724835,1.71099,2.18981,1.35,0.322827,0.292419,0.103918,0.173908,0.122107,0.690854,0.153919,0.262931,0.336173,0.147116,0.289956,0.209476,0.0921927,0.185451,0.130109,0.0588223,0.362155,0.138327,0.216843,0.0624308,0.0615614,0.0806289,0.0716212,0.147783,0.0686155,0.111025,0.0973414,0.159579,0.326329,0.153036,0.100669,0.205871
301.494,0.914198,0.0883027,5,31,0,-281.846,0.0452477,0.0671767,0.284164,-0.0659736,0.0623075,0.309438,0.686418,-0.143141,1.93362,-0.681403,-0.419111,0.230037,-3.12382,-1.68007,-1.14599,-0.984419,-0.232768,-1.40069,-0.893573,1.86908,2.15468,1.82896,1.09884,-0.328198,-0.655516,-0.842281,-0.395047,0.359364,-0.319228,-0.185631,0.212015,1.95126,-0.286259,0.0049737,-0.162495,-0.37249,0.860971,0.647702,-0.303091,6.46024,0.211183,1.63671,-0.15829,0.0217526,0.46734,-1.83481,-0.843792,-0.477191,-0.366285,0.149662,-0.65202,-0.303927,1.59241,1.78845,1.56487,1.0637,0.0841567,-0.14052,-0.268719,0.0382702,0.556112,0.0903141,0.182017,0.454969,1.64882,0.112945,0.312852,0.197898,0.0537541,0.900424,0.754033,0.101391,0.948903,1.68904,2.16151,1.53155,2.10176,-0.853646,1.327,1.40646,0.496049,1.78408,0.982397,1.33049,2.0728,2.21463,2.08443,2.44889,0.681065,1.74313,0.842846,2.6073,2.56437,2.72165,2.56412,2.08939,2.57346,1.40796,2.63265,1.67637,0.784532,1.25504,2.8336,1.48658,0.279106,0.155902,0.103261,0.177766,0.108926,0.701331,0.209656,0.196794,0.37847,0.1438,0.272416,0.209078,0.111769,0.0984445,0.110619,0.07952,0.336024,0.148916,0.300936,0.0686701,0.0714667,0.0617078,0.0714833,0.110133,0.0708662,0.196556,0.0670663,0.157577,0.313344,0.221828,0.0555355,0.184436
