# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a1_model
# start_datetime = 2022-04-23 08:25:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39343b9c67b1.json
# init = 2 (Default)
# random
#   seed = 2147190557
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0628189
# Diagonal elements of inverse mass matrix:
# 0.0342508, 0.0668873, 0.0716964, 0.0757403, 0.000317355, 0.000545058, 0.0364256, 0.0223821, 0.118022, 0.168705, 0.170686, 0.123284, 0.126945, 0.237478, 0.42825, 0.122796, 0.116853, 0.124614, 0.132627, 0.124612, 0.128152, 0.161534, 0.144403, 0.168534, 0.125761, 0.117144, 0.146354, 0.209305, 0.152092, 0.202273, 0.178367, 0.112582, 0.196741, 0.162067, 0.174082, 0.191961, 0.101482, 0.124991, 0.437113, 0.11168
-3805.05,0.984629,0.0628189,5,63,0,3821.64,-0.262627,0.334239,0.596731,0.586445,0.059317,0.0338844,0.240558,0.89425,-0.875656,0.317117,0.714087,0.330713,0.95512,-2.39224,-0.32756,-0.309384,-0.776946,0.562886,-0.974759,-0.126466,0.595566,1.68974,1.34335,1.54596,-0.200821,0.490892,-0.901885,0.565557,0.301756,0.00854301,0.561236,0.336504,1.27925,0.0952321,-0.209521,0.10769,-0.302347,0.0658205,0.685905,0.212781,-0.542497,0.52414,0.87913,0.536298,1.09467,-1.89871,-0.0523627,-0.0361089,-0.454226,0.743919,-0.63112,0.127466,0.773143,1.7516,1.44185,1.62303,0.0609739,0.679538,-0.565952,0.746307,0.510403,0.248198,0.742443,0.541476,1.38453,0.325719,0.053194,0.33686,-0.0298161,0.299418,0.853929,0.430837,0.517573,1.21148,2.8435,1.72955,2.40656,-0.731878,1.78705,1.51305,0.673613,2.05581,0.680767,1.43935,1.65738,2.64225,2.24486,2.69765,0.972692,2.22869,0.697424,2.94795,2.17819,2.50916,2.76613,1.85336,2.54625,1.67348,2.01757,1.76901,0.995719,1.11013,2.51556,1.50546,0.37342,0.229439,0.0550181,0.150645,0.0826737,0.675217,0.143435,0.180488,0.337688,0.113467,0.33609,0.191646,0.160113,0.0664682,0.0957939,0.0631121,0.274344,0.0972033,0.332384,0.0498335,0.101726,0.0752188,0.0591819,0.135478,0.0726788,0.157961,0.117371,0.145666,0.269784,0.247846,0.0747747,0.181613
-3809.57,0.894284,0.0628189,6,63,0,3831.39,0.413967,0.395971,-0.360583,0.0162115,0.0881199,0.0234281,0.0376177,0.786645,-0.570206,0.968616,0.532476,-0.127848,1.40315,-2.91125,-0.127006,-1.23022,-0.79826,0.549924,-0.776179,-0.176065,0.931141,1.51221,1.62914,2.40229,-1.11385,-0.291222,-0.095795,0.451371,1.68273,-0.939209,0.217883,0.639959,2.08762,1.07023,0.20017,-0.115826,-0.133263,0.494671,1.24722,0.571869,-0.410932,0.799575,0.456488,-0.062953,1.1414,-2.2525,-0.0622912,-0.930125,-0.590329,0.470212,-0.572959,-0.100883,0.770095,1.22719,1.31917,1.92737,-0.838585,-0.19147,-0.0377389,0.392687,1.36133,-0.701207,0.209014,0.541038,1.67983,0.879512,0.195081,-0.0534963,-0.0672129,0.426748,1.01874,0.487475,0.707619,1.66042,3.03021,1.36521,2.7458,-1.07433,1.59511,1.02676,0.575079,2.07462,1.03144,1.50352,1.7472,2.2286,2.18332,3.17929,0.137644,1.76541,1.22138,3.31889,3.49445,2.31312,2.87086,2.14544,2.86867,2.18846,2.7688,1.30528,1.01042,1.35018,2.48223,1.7394,0.330125,0.159706,0.0460796,0.203395,0.0603244,0.74542,0.168667,0.263713,0.360066,0.111589,0.262804,0.181901,0.148401,0.0972111,0.101258,0.0399525,0.465643,0.146114,0.227693,0.0349288,0.0294705,0.0900426,0.0536132,0.104758,0.0537244,0.100792,0.0590335,0.213278,0.266897,0.205841,0.0771131,0.149389
-3803.73,0.995747,0.0628189,6,63,0,3828.65,-0.0696316,0.188747,0.0770126,0.520201,0.0750303,0.0330766,0.135175,0.759677,-0.963027,0.46281,0.129081,0.294401,1.21929,-2.6932,0.065793,-0.487106,-0.822265,0.625754,-1.29806,-0.505481,0.824058,1.83314,1.61145,2.05798,-0.193185,0.279465,-0.447327,0.750676,0.111938,-0.294447,0.603286,0.688931,2.16067,0.190502,-0.421684,0.85544,-0.20388,0.272255,0.589245,0.133655,-0.596414,0.486762,0.233235,0.358825,1.06144,-1.91078,0.185157,-0.234868,-0.489481,0.610546,-0.850932,-0.248827,0.761193,1.52777,1.35936,1.69858,-0.0115829,0.347478,-0.204649,0.705447,0.220212,-0.0885096,0.593478,0.658541,1.77659,0.279895,-0.185168,0.785034,-0.0197077,0.342001,0.582811,0.23671,0.423282,1.14262,2.53185,1.68205,2.53472,-0.775034,1.96561,1.53853,0.596369,2.08383,0.622349,1.22445,1.62583,2.38208,2.19207,2.87174,0.896455,2.12088,1.01351,3.30418,2.14368,2.58526,2.96712,2.13182,2.89552,1.58753,2.11345,2.18215,0.980486,1.13723,2.24893,1.40987,0.395732,0.24184,0.0736553,0.156825,0.0734597,0.684609,0.122861,0.176748,0.355175,0.110679,0.349247,0.227154,0.164402,0.0845494,0.100465,0.0535685,0.28978,0.107084,0.266294,0.035428,0.104924,0.0700933,0.0489335,0.106042,0.0523756,0.169732,0.107797,0.101365,0.272795,0.242828,0.0954416,0.196255
-3802.7,0.959229,0.0628189,6,63,0,3819.83,0.278307,-0.00854829,0.12289,0.455168,0.0565487,0.0213387,0.147667,0.826588,-0.567064,0.744496,-0.0105297,0.00159641,0.910198,-2.79654,0.0262493,-1.17561,-0.63014,0.78787,-1.32188,-0.632383,0.665812,1.95751,1.59645,1.72737,-0.392589,0.280157,-0.262257,0.0550757,0.580686,-1.08418,0.528478,0.558289,2.25666,1.3562,0.319187,0.362308,-0.0073874,0.356344,1.45063,-0.0343942,-0.321062,0.763058,0.138963,0.148986,0.900026,-2.16392,0.169364,-0.82408,-0.3732,0.798911,-0.944984,-0.375054,0.698019,1.76573,1.46727,1.57549,-0.176843,0.379241,-0.0691122,0.193191,0.627655,-0.748504,0.5845,0.609142,2.01299,1.26868,0.411503,0.447146,0.14156,0.442217,1.34674,0.119237,0.637842,1.48724,2.41463,1.68952,2.55366,-1.11893,1.61906,1.05575,0.628382,2.45255,0.708652,1.27858,1.5726,2.61794,2.36613,3.00293,0.741444,2.25907,1.01782,2.69506,2.62058,1.80991,2.91672,2.26278,3.03591,2.42008,2.68717,1.663,1.10135,1.27427,2.77878,1.54668,0.345735,0.184337,0.0820636,0.155838,0.0721809,0.75379,0.165335,0.258123,0.347878,0.0792525,0.329897,0.217792,0.171846,0.067993,0.085792,0.0472937,0.322688,0.0945699,0.265452,0.0632657,0.0678255,0.140649,0.0513332,0.094253,0.0458296,0.0816544,0.0637345,0.15936,0.249488,0.218528,0.0584818,0.175567
-3808.84,0.939253,0.0628189,6,63,0,3824.36,0.247502,0.159347,0.338548,0.152751,0.0534983,0.027865,0.386842,0.743036,-0.686478,0.441571,0.529118,0.0116448,1.12703,-3.30824,-0.879097,-0.553026,-0.768049,-0.15948,-1.02047,-0.689362,1.11305,1.6388,1.64256,2.16298,-0.598165,-0.644846,-0.475136,0.547457,0.691506,-0.258822,-0.0556047,0.0700731,2.50195,0.252028,-0.997985,0.0522708,-0.172553,0.339807,0.753226,0.440502,-0.123236,0.714945,0.779995,0.395494,1.22427,-2.0713,-0.266359,-0.024077,-0.183847,0.268342,-0.371407,-0.12538,1.21388,1.60453,1.60732,1.99401,-0.057617,-0.0923027,0.0337983,0.793622,0.900656,0.194527,0.345525,0.438908,2.24588,0.574107,-0.354698,0.425681,0.258628,0.63933,0.946515,0.714151,0.756841,1.28851,2.9755,1.89552,2.83129,-1.09348,1.25461,1.79694,0.751961,1.87537,1.23562,1.48165,1.96329,2.34528,2.32971,3.38704,0.728312,1.72872,1.08107,3.20312,2.82867,2.65752,2.59453,2.04593,3.20956,1.69674,1.84081,1.62367,1.12224,1.33026,2.37102,2.10718,0.319333,0.216106,0.048545,0.130616,0.0556564,0.749036,0.221903,0.142224,0.320394,0.132922,0.2252,0.185179,0.123112,0.0874415,0.088692,0.0327028,0.325565,0.150752,0.253304,0.0390484,0.0557944,0.0655268,0.0694913,0.114464,0.0388077,0.154892,0.136956,0.164699,0.245596,0.209116,0.0854094,0.108401
-3808.35,0.986703,0.0628189,6,63,0,3830.11,0.250266,0.00441553,0.183297,0.27863,0.0580499,0.0336545,0.24128,0.69632,-0.983083,0.476184,0.588247,-0.163647,0.90704,-3.71684,-0.207754,-0.672717,-0.794781,-0.207157,-1.31178,-0.985303,1.07235,1.74564,1.75485,2.06414,-0.806135,-0.439655,-0.290094,1.42586,0.527924,-0.734728,0.614537,-0.473863,2.65934,0.27226,-0.652007,0.264442,-0.2059,0.60762,1.57575,0.434919,-0.44326,0.572856,0.650888,0.127329,0.87287,-2.34683,0.0966164,-0.227146,-0.312142,0.0970323,-0.672137,-0.444807,0.987979,1.45681,1.46322,1.67858,-0.320048,-0.0648609,0.0392815,1.23414,0.608884,-0.270326,0.669194,-0.0886804,2.09303,0.43086,-0.212726,0.425416,0.0979078,0.664378,1.33851,0.544123,0.460638,1.10655,2.99577,1.71757,2.57921,-1.30869,1.77457,1.71139,0.659065,1.80337,1.0342,1.26153,1.75673,2.19243,2.2641,3.15272,0.515477,1.87368,1.14511,3.81122,2.66352,2.36481,3.07213,1.61766,3.09789,1.63742,2.13216,1.73271,1.00135,1.36574,2.98091,2.01826,0.386835,0.248514,0.0476171,0.152185,0.0704886,0.787294,0.144975,0.152983,0.34095,0.141441,0.26227,0.22071,0.147201,0.100432,0.0941403,0.0409843,0.373911,0.133117,0.241384,0.0216423,0.0651605,0.0858958,0.0442716,0.165528,0.0431942,0.162816,0.10601,0.150241,0.268676,0.203309,0.048296,0.117299
