# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5a3_model
# start_datetime = 2022-04-23 08:28:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-39342b4a2c9c.json
# init = 2 (Default)
# random
#   seed = 486147179
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5a3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5a3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aEHS.1.1,aEHS.2.1,aEHS.3.1,aEHS.4.1,aEHS.5.1,aEHS.1.2,aEHS.2.2,aEHS.3.2,aEHS.4.2,aEHS.5.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0723524
# Diagonal elements of inverse mass matrix:
# 0.0319538, 0.0514651, 0.087417, 0.0941918, 0.0864361, 0.0970183, 0.0894417, 0.0928139, 0.0603121, 0.0637673, 0.0838426, 0.0740939, 0.000312918, 0.000481556, 0.0356459, 0.0223727, 0.146585, 0.221637, 0.193788, 0.115283, 0.163374, 0.264986, 0.422419, 0.144789, 0.197271, 0.11829, 0.125434, 0.121838, 0.176288, 0.188279, 0.174982, 0.181855, 0.131357, 0.13827, 0.154479, 0.235064, 0.157259, 0.25029, 0.191872, 0.116833, 0.210243, 0.253747, 0.22058, 0.230836, 0.152508, 0.191669, 0.376082, 0.103802
-3807.04,0.96028,0.0723524,6,63,0,3830.6,0.0161552,-0.201604,0.011265,0.551654,-0.413591,-0.218556,0.238929,0.0743334,0.485566,-0.164843,0.209946,0.0234309,0.0502634,0.0347111,0.368542,1.02127,-0.427722,0.759585,0.350972,-0.264916,0.66649,-2.23614,0.173494,-0.542215,-0.109642,0.0546714,-0.943797,-0.548723,0.703323,1.77237,1.77977,1.56238,0.0560074,-0.388731,0.00668937,1.06941,0.612651,-0.270325,0.28515,0.424039,2.93489,1.06001,-0.00953314,0.98735,0.0558645,0.901451,0.530667,0.298987,-0.0682783,1.14429,0.72698,0.0979909,1.04921,-1.91516,0.545727,-0.185207,0.256568,0.424376,-0.595331,-0.191854,1.08683,2.17861,2.18618,1.96416,0.425741,-0.0284578,0.375374,1.4607,0.994225,0.0924668,0.659758,0.801601,3.36587,1.4511,0.358806,1.37689,0.425595,1.28917,0.910498,0.673889,0.595997,1.42674,2.61045,1.32803,2.37978,-1.74509,1.35795,1.34642,0.714646,1.75494,0.735238,1.13871,1.63656,2.01892,2.84006,3.09367,0.418791,1.50316,1.24792,3.54522,2.62637,2.22725,2.59349,2.13217,3.48387,1.97606,2.24227,1.82812,1.1107,1.49733,2.42521,1.8034,0.35526,0.193607,0.0684691,0.209485,0.0847278,0.851332,0.204574,0.206457,0.328573,0.147425,0.324046,0.242556,0.162934,0.117231,0.0551976,0.0433691,0.396806,0.181954,0.223061,0.0280527,0.0674602,0.09733,0.0695587,0.106009,0.0297748,0.121739,0.0960181,0.138462,0.24774,0.182824,0.0812702,0.141437
-3809.18,0.999285,0.0723524,6,127,0,3830.19,-0.0715705,0.0530398,0.364251,0.532233,-0.629478,-0.275234,0.150152,-0.213542,0.178699,0.0347148,0.20355,-0.174707,0.0491055,0.0349288,0.34996,0.899047,-0.232239,0.498689,0.415739,-0.124811,0.725059,-1.77708,0.101,-0.385559,-0.377998,0.460139,-0.930864,-0.341491,0.887139,1.93031,1.52662,1.46948,0.362234,-0.363055,-0.116399,0.684779,0.604651,-0.362131,0.695943,0.310491,2.93131,0.73326,0.0146961,0.237798,0.215329,0.217067,0.859263,0.302655,0.141166,0.798305,0.723729,0.237749,1.00182,-1.24772,0.440764,0.00332421,0.0101221,0.763647,-0.486931,0.0429428,1.14754,2.0854,1.72247,1.67109,0.675625,0.0235565,0.245312,0.965609,0.89357,0.0243865,0.975645,0.629106,2.98534,1.0092,0.363172,0.563751,0.543551,0.545114,1.12248,0.622061,0.690198,0.96312,2.58497,1.46062,2.3229,-0.707519,1.64917,1.52083,0.653863,2.08473,0.834149,1.36402,1.55046,2.3158,2.14205,2.79575,0.998028,1.54106,1.00392,3.02327,2.50928,2.13115,2.88599,1.95019,3.49518,1.51644,2.22441,1.38246,1.0871,0.902117,2.41711,1.74672,0.333989,0.276254,0.0701121,0.188373,0.0892439,0.669853,0.161221,0.17934,0.34212,0.11059,0.302769,0.203587,0.17502,0.0898228,0.105076,0.0575545,0.269329,0.176381,0.268172,0.0463856,0.07521,0.106106,0.0528505,0.124533,0.0294497,0.179986,0.0975796,0.200614,0.252164,0.288616,0.0818775,0.148462
-3801.45,0.977006,0.0723524,5,31,0,3822.47,0.075546,-0.0469835,0.0260851,-0.0151382,-0.610616,-0.259654,0.116985,-0.383803,0.218573,-0.284141,0.400558,0.0747407,0.0623935,0.0483385,0.148317,0.951107,-0.585068,1.0173,0.151608,-0.0864874,1.13008,-2.00052,0.131099,-0.662921,-0.540028,0.240624,-0.740589,-0.402133,1.22393,1.85831,1.72052,1.79375,-0.0171706,0.0965604,-0.17557,0.703685,0.903945,-0.0443453,0.507784,0.395028,2.01623,0.95645,-0.107013,1.17734,0.233928,0.95128,0.514256,0.450849,-0.408146,1.11588,0.292513,0.0660584,1.22314,-1.75439,0.273006,-0.482192,-0.365308,0.377177,-0.556063,-0.234154,1.3124,1.91577,1.78472,1.85436,0.131986,0.240156,-0.018669,0.817597,1.00807,0.10614,0.631275,0.524031,2.06597,1.058,0.0465361,1.2681,0.370808,1.05309,0.637429,0.577123,0.366596,1.3589,2.49912,1.46155,2.74342,-1.28496,1.65682,1.28766,0.688097,1.89746,0.964218,1.28613,1.89946,1.94611,2.43629,3.12507,0.318664,2.01001,1.0461,3.27378,2.90271,2.62472,2.90028,2.04431,2.48301,2.12639,2.25315,2.12504,1.1504,1.72626,2.49585,1.84783,0.409364,0.204419,0.0759198,0.18823,0.0604591,0.783294,0.160189,0.216249,0.334457,0.130397,0.276034,0.216509,0.13017,0.124978,0.080447,0.042085,0.421001,0.118156,0.259974,0.0364817,0.0520199,0.0675645,0.0521399,0.114628,0.0770579,0.106558,0.0950785,0.106687,0.240415,0.151067,0.0761499,0.136128
-3802.07,0.833052,0.0723524,5,31,0,3824.15,0.174722,-0.0640464,0.0427455,-0.0548419,0.124143,0.44301,0.074778,0.313116,-0.127884,-0.452686,0.126047,-0.60322,0.054977,0.0698189,-0.0144675,1.01799,0.00822743,1.3034,0.681905,0.0506197,1.11085,-2.17569,-0.414511,-0.526993,-0.225135,0.508565,-0.926001,-0.25773,1.03257,2.16757,1.47811,1.50971,0.225836,0.025578,0.171016,0.729215,0.581816,-0.319361,0.623093,0.206636,2.26485,0.767665,0.157419,0.095245,0.0613347,0.788112,0.102232,0.399467,-0.00609211,1.31238,0.679705,0.0370627,1.11637,-2.2293,-0.436435,-0.550941,-0.243652,0.503246,-0.957127,-0.276834,1.03668,2.19209,1.49023,1.5224,0.215431,0.0115706,0.159625,0.727866,0.577815,-0.339573,0.619835,0.195886,2.29112,0.767007,0.145783,0.0824909,0.0479705,0.787822,0.0896034,0.392186,0.739096,1.28956,2.77411,1.41677,2.60603,-1.52412,1.58978,1.15862,0.895104,1.9929,0.532532,1.21282,1.51031,2.26338,2.05574,2.79215,0.511621,1.72114,1.32373,3.04218,2.39734,2.02972,2.76922,1.68554,2.92097,1.66854,2.24019,1.34732,0.799776,1.37685,2.39838,1.66194,0.323202,0.215928,0.0587394,0.195169,0.0687517,0.821144,0.169414,0.238917,0.290058,0.11995,0.369927,0.229202,0.180893,0.0942013,0.113473,0.0577499,0.374814,0.151725,0.210199,0.0455563,0.0833761,0.116118,0.0590105,0.156363,0.0511268,0.158619,0.0961992,0.206309,0.310073,0.201515,0.0832963,0.159502
-3821.24,0.998931,0.0723524,6,63,0,3836.97,0.182701,-0.0230535,0.201286,-0.312177,0.450127,0.00612165,-0.215927,0.0238714,-0.210679,-0.559377,-0.387386,-0.445193,0.0630146,0.0887302,-0.305789,1.01958,-0.132749,1.62893,0.663525,0.271392,1.84566,-1.43511,-0.704527,-0.819001,-0.161772,0.574451,-0.695523,-0.339442,1.21196,2.26792,1.85742,1.97774,0.825752,0.392079,-0.35891,0.382256,0.593331,-0.21535,-0.190727,0.271075,2.12604,0.840441,-0.249642,1.24232,0.736188,1.06435,-0.309264,0.220106,-0.441137,1.35503,0.370726,-0.0290831,1.57601,-1.76899,-1.02411,-1.14082,-0.470727,0.279909,-1.01493,-0.651876,0.929893,2.00653,1.588,1.71067,0.536129,0.0939657,-0.671725,0.0839509,0.299158,-0.525355,-0.500249,-0.0294064,1.86187,0.551105,-0.560317,0.960849,0.444811,0.779396,-0.621107,-0.0813734,0.481844,1.30198,2.85676,1.63776,3.36888,-0.837805,1.59097,0.904112,0.453007,2.07279,0.777949,1.141,1.50073,2.13717,2.2555,3.25149,0.93851,2.1389,0.783638,2.82205,2.47012,2.27576,2.0488,1.76347,2.70234,2.03934,1.92572,2.60228,1.37017,0.996465,2.26386,1.45944,0.381817,0.213832,0.0543328,0.16277,0.0332822,0.698003,0.169247,0.288206,0.388646,0.11177,0.314762,0.242137,0.182316,0.105537,0.0948757,0.0372734,0.281201,0.105373,0.313536,0.0561444,0.0779795,0.0931508,0.114173,0.146356,0.0628351,0.115134,0.127225,0.0689921,0.202592,0.269637,0.0941603,0.188552
-3808.01,0.999874,0.0723524,5,31,0,3841.9,0.13314,-0.296336,-0.577608,-0.041252,0.227374,-0.0109664,-0.489916,0.264205,0.114156,-0.26541,0.0563226,-0.539022,0.0796529,0.0787034,0.0856726,0.964164,-0.123585,1.41832,-0.0329716,-0.00126609,1.26789,-1.89106,-0.326917,-0.586457,-0.187984,0.354389,-0.937596,-0.232033,1.2081,2.46904,1.33675,1.3455,0.170104,0.358258,0.112006,0.394386,0.624244,-0.687765,0.697888,0.495698,2.61773,0.608001,-0.0500462,-0.226743,-0.0733434,1.13675,-0.209106,0.434242,-0.033484,1.45317,0.0538826,0.0844519,1.30812,-1.73762,-0.229529,-0.479769,-0.095575,0.427362,-0.818324,-0.138045,1.25048,2.46623,1.37452,1.38296,0.249681,0.431092,0.193664,0.465925,0.687546,-0.577446,0.758552,0.563607,2.60959,0.671885,0.0374199,-0.132944,0.0149575,1.18168,-0.11594,0.504354,0.75725,1.37817,2.52805,1.52313,2.90611,-0.986125,1.99182,1.43683,0.794732,2.02534,0.779658,1.45994,1.76212,2.48388,2.06693,2.66233,0.574886,2.34769,1.45662,3.2587,2.76345,2.29498,3.31237,2.16159,3.25687,1.53308,2.51158,1.25328,0.836311,1.48319,2.53385,1.78372,0.319244,0.201304,0.0739152,0.179001,0.0518525,0.728322,0.120065,0.192037,0.311154,0.116568,0.314394,0.188477,0.146524,0.0769959,0.112353,0.0652332,0.36011,0.0872499,0.188985,0.0370155,0.0593317,0.0915393,0.0351493,0.103253,0.0370807,0.177543,0.0750501,0.222132,0.302312,0.184946,0.0735191,0.143844
