# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = E_NC5b1_model
# start_datetime = 2022-04-23 08:29:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpasEk5l/standata-3934fe92810.json
# init = 2 (Default)
# random
#   seed = 1602453411
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/real_chain/E_NC5b1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=E_NC5b1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,bP,aHS.1,aHS.2,bAHS.1,bAHS.2,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,m_M,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0793809
# Diagonal elements of inverse mass matrix:
# 0.035462, 0.0635205, 0.0791463, 0.0741787, 0.000354498, 0.000394925, 0.0379654, 0.0226844, 0.145151, 0.255326, 0.237006, 0.159592, 0.190562, 0.272073, 0.427222, 0.176744, 0.159555, 0.180311, 0.165353, 0.174351, 0.166732, 0.169111, 0.16867, 0.204072, 0.1731, 0.171873, 0.165586, 0.227352, 0.187811, 0.303607, 0.242383, 0.163168, 0.182096, 0.211485, 0.206663, 0.229171, 0.152567, 0.173479, 0.438829, 0.160122, 0.00755476
301.263,0.997197,0.0793809,5,31,0,-282.464,0.28813,0.467241,0.291217,-0.0916109,0.0679881,0.0412191,-0.0616082,0.727819,-0.612218,0.294438,0.148616,-0.263626,1.63865,-2.52883,-0.0414224,-1.09678,-0.315464,0.257947,-1.5112,-0.362411,0.488187,1.04491,1.60141,2.25265,-0.269761,0.357891,0.292628,0.932421,0.513035,0.360834,0.0710337,0.284456,2.34687,0.900722,-0.427062,0.132521,0.0165874,0.674539,0.551949,0.318475,6.0793,-0.507192,0.15269,0.0465575,-0.25348,1.13103,-1.90214,-0.0917562,-0.859867,-0.291209,0.126131,-1.16149,-0.325378,0.293704,0.698895,1.10393,1.57791,-0.257945,0.198872,0.151372,0.617026,0.311788,0.201014,-0.00990857,0.145425,1.64649,0.593954,-0.372432,0.0348429,-0.0495356,0.429334,0.340111,0.170184,0.650915,0.857387,2.41213,1.22824,2.74873,-0.619385,2.01439,1.02978,0.949337,1.74383,0.456211,1.29232,1.23061,1.65091,1.92113,2.92366,0.705075,2.08852,1.55679,3.25455,2.33742,2.90652,2.42365,1.76312,2.92826,2.09889,1.99314,1.6393,1.06029,1.27576,2.20388,1.51593,0.342783,0.297885,0.0822527,0.226489,0.0601584,0.650079,0.1177,0.263126,0.279018,0.148827,0.387885,0.21546,0.226075,0.160986,0.127736,0.0509963,0.330688,0.110217,0.174107,0.0371639,0.0880713,0.0518321,0.0813871,0.1464,0.0507743,0.109204,0.119926,0.16256,0.257253,0.218273,0.0994028,0.180062
300.013,0.883822,0.0793809,6,63,0,-273.075,0.245395,-0.221569,0.147369,0.579568,0.0325351,0.0223258,0.199964,0.636857,-0.6213,1.06151,0.391954,0.019872,1.35728,-2.57031,-0.535203,-0.354641,-1.06315,0.681514,-0.318539,0.331723,1.3418,1.22089,1.71153,1.69027,-0.680193,0.461185,-0.236476,0.253604,1.44409,-0.735252,1.15633,-0.0988559,1.91992,0.417915,0.236771,0.163753,0.110458,0.0054547,0.799869,-0.452694,5.68726,-0.195714,0.875991,0.449583,0.21262,1.06436,-1.43695,-0.140883,-0.0258911,-0.47711,0.633991,-0.00289902,0.411224,1.0545,0.977499,1.28996,1.27642,-0.233221,0.493673,0.0493628,0.361474,1.11964,-0.268286,0.936384,0.137007,1.42268,0.466116,0.350753,0.304252,0.270311,0.203438,0.709366,-0.0883368,0.63385,1.45997,2.1329,1.47298,2.38979,-0.499008,1.20217,1.42968,0.397106,1.95942,1.32253,1.73666,1.82147,1.69543,2.15557,2.47171,0.605111,1.94924,1.01288,2.17493,2.64029,1.57771,2.65224,1.46244,2.31922,1.50806,2.03407,1.42462,1.12277,0.929573,2.12549,1.10695,0.346638,0.188472,0.10594,0.18649,0.0839548,0.622226,0.231089,0.193148,0.402008,0.12353,0.210397,0.149738,0.139258,0.155062,0.103812,0.0778652,0.353175,0.124636,0.266416,0.102024,0.0665902,0.17112,0.0658513,0.188095,0.0895438,0.181226,0.115672,0.193938,0.245498,0.283011,0.106644,0.248439
302.551,0.796542,0.0793809,6,63,0,-273.956,0.418391,0.195544,-0.0843988,-0.0732989,0.0535431,0.0432445,0.155582,0.858502,-1.08213,-0.185265,0.128373,-0.000980355,1.58091,-2.90714,-0.822698,-0.53209,-1.05957,0.707811,-0.559942,0.060896,0.60313,1.2152,1.51731,1.84422,-0.0378749,0.167975,-0.400266,0.443894,0.838451,0.534655,0.406909,0.650154,1.46431,0.15048,0.671214,0.548747,-0.0142481,-0.30177,-0.100019,-0.00186568,5.81943,-0.773429,-0.00346801,0.265791,0.154741,1.5128,-2.34021,-0.550705,-0.301218,-0.754063,0.76324,-0.32513,0.207862,0.673371,1.19883,1.45819,1.73885,0.123067,0.29979,-0.188047,0.536667,0.875395,0.614585,0.504915,0.713741,1.4127,0.28477,0.731821,0.626683,0.14335,-0.103488,0.0697162,0.153981,0.260029,0.554301,2.17529,1.36817,2.83332,-1.15061,1.47738,1.23347,0.365884,2.08376,0.995391,1.52838,1.51028,2.01607,2.271,2.8452,1.02289,1.83448,1.10488,2.66033,2.51717,2.79179,2.46795,2.03426,2.57589,1.69733,2.64132,2.15887,1.1566,0.643564,1.97037,1.26033,0.435357,0.364867,0.101992,0.202915,0.0555501,0.759622,0.185824,0.225574,0.409536,0.110685,0.269849,0.178231,0.180897,0.117526,0.0935536,0.05493,0.264465,0.137705,0.248827,0.065355,0.074663,0.0577692,0.0781356,0.115652,0.0707062,0.154815,0.0665263,0.103505,0.239285,0.344441,0.12235,0.220917
307.524,0.99529,0.0793809,6,127,0,-278.362,-0.0893186,0.303769,0.0233759,0.646214,0.0966972,-0.00491143,-0.0506924,0.878682,-0.0117153,0.224589,-0.330681,0.345091,0.271591,-1.78213,1.26181,-1.04652,0.209254,0.281755,-1.12993,-0.497882,0.673929,1.20433,1.56078,1.7392,-0.632393,-0.303913,0.336719,-0.228089,0.0982847,-1.73003,-0.372038,0.202995,2.08842,1.16344,-0.571719,1.05332,-0.0213033,1.13047,1.69758,0.653715,5.7326,-0.0609864,0.14665,-0.341256,0.252533,0.187949,-1.61662,1.05804,-0.970252,0.133175,0.19688,-1.04354,-0.488172,0.541477,1.00753,1.32073,1.47751,-0.606365,-0.317735,0.245176,-0.25111,0.0356686,-1.57084,-0.377595,0.127675,1.78436,0.971606,-0.553051,0.874839,-0.0694112,0.942633,1.44094,0.523715,0.772267,1.03393,2.48645,1.82317,1.95198,-0.829165,1.77833,1.18057,0.956606,1.96091,0.720489,1.27586,1.35776,1.86534,2.02748,2.85476,0.163474,1.83309,1.04896,2.96338,2.37988,1.74035,2.5468,1.89171,2.60288,1.74496,2.27465,1.61777,0.732455,1.76351,2.03536,1.90096,0.315989,0.262323,0.0768139,0.139054,0.124337,0.696178,0.144509,0.23495,0.277558,0.123368,0.327285,0.218256,0.204605,0.134081,0.116348,0.054436,0.459222,0.137871,0.259425,0.0491079,0.0847195,0.149269,0.0726415,0.13105,0.0689531,0.148684,0.0932443,0.165513,0.324656,0.146352,0.11554,0.13
313.814,0.987657,0.0793809,5,31,0,-286.741,0.284577,0.392504,0.0279325,0.243181,0.0824728,0.00959301,0.123971,0.779695,-0.975299,0.42121,-0.52739,-0.465094,1.09732,-2.78128,0.342831,-1.26634,-1.07232,-0.000385506,-1.28307,-0.714506,0.823083,1.48511,1.56862,1.5246,-0.199216,-0.575435,-0.28541,-0.40334,0.200108,-0.562359,-0.128183,-0.0611896,1.73304,0.44203,-0.964732,0.32996,0.00949905,-0.234606,1.14352,-0.433228,6.19602,-0.636465,0.452386,-0.287233,-0.238661,0.979549,-2.04458,0.391274,-0.863388,-0.712111,0.12367,-0.876433,-0.433127,0.765724,1.2819,1.34702,1.31269,-0.0313571,-0.324693,-0.0985625,-0.190512,0.279993,-0.314498,0.0240269,0.0762613,1.47521,0.468619,-0.628226,0.381238,0.131377,-0.0589509,1.01557,-0.213815,0.423711,1.40704,2.36265,1.33908,2.72223,-0.979825,1.67209,1.20919,0.367251,1.86635,0.866252,1.30956,1.74021,2.29411,2.19591,2.72548,0.915002,1.74788,1.01917,2.78926,2.51751,2.74775,2.75638,1.81895,2.56417,1.59485,2.02166,1.51597,1.151,0.889593,2.11781,1.19898,0.395629,0.196701,0.0860653,0.207662,0.0616741,0.727073,0.158146,0.229845,0.409205,0.133964,0.296035,0.212561,0.149286,0.0916116,0.100118,0.0614863,0.285977,0.148314,0.265189,0.0579071,0.0746394,0.0602138,0.0597271,0.13956,0.0714804,0.168702,0.116948,0.180055,0.240307,0.291194,0.107378,0.231657
306.259,0.814942,0.0793809,6,127,0,-294.454,0.0919721,-0.16269,0.214924,0.48044,0.0343129,0.0534305,0.307805,0.888704,-0.512036,0.672716,0.321751,-0.169791,0.425634,-3.05238,-0.548784,-0.960845,-1.05496,0.775967,-0.835053,-1.01852,0.0876508,1.36468,0.839969,0.880667,-0.356541,0.126268,-0.810417,0.670322,0.89634,0.385973,0.680539,-0.161144,1.21263,-0.439553,0.277146,-0.448052,-0.453949,0.0657499,-0.265966,0.0659154,6.20204,-0.147243,0.905651,0.593746,0.156911,0.686068,-2.40486,-0.179901,-0.546102,-0.629738,0.99741,-0.43431,-0.597357,0.385701,1.5206,1.05429,1.09046,-0.00905497,0.42002,-0.412416,0.903523,1.10439,0.650821,0.912602,0.164596,1.38548,-0.0828281,0.554105,-0.0903805,-0.0956214,0.366237,0.07144,0.366384,0.83596,1.30112,2.19223,1.30932,1.90711,-1.19392,2.0322,0.812189,0.460325,2.21845,0.786729,0.623683,1.17479,2.23665,1.95285,2.17425,0.906511,1.77831,0.89137,2.63926,2.5313,2.42087,2.5454,1.38564,2.52897,1.38965,2.15259,1.5508,0.904392,1.05127,2.30016,1.45017,0.302386,0.213977,0.100451,0.2126,0.129306,0.767442,0.115863,0.307424,0.386909,0.0981059,0.312871,0.348944,0.23599,0.0965074,0.124243,0.102087,0.287714,0.144512,0.290827,0.0666543,0.0736927,0.0815952,0.0727363,0.200105,0.0738519,0.199463,0.10409,0.174971,0.288149,0.258981,0.09111,0.189975
