# 0.174961, 0.100882, 0.0827941, 0.0803742, 0.0149508, 0.00613101, 0.166794, 0.0244968, 0.233244, 0.210685, 0.21069, 0.214859, 0.204322, 0.239611, 0.21737, 0.224784, 0.21131, 0.212316, 0.198979, 0.220186, 0.200887, 0.199257, 0.235868, 0.209647, 0.192928, 0.200969, 0.194134, 0.216894, 0.202009, 0.206205, 0.237758, 0.229736, 0.214588, 0.222238, 0.241843, 0.248036, 0.234452, 0.226709, 0.210517, 0.223195, 0.165793, 1.28112, 0.166558, 0.166177, 0.166495, 0.165334, 0.16666, 0.166477, 0.166837, 0.166695, 0.167662, 0.166653, 0.165167, 0.166147, 0.165941, 0.165993, 0.165956, 0.167095, 0.165673, 0.16615, 0.165501, 0.16624, 0.166616, 0.166355, 0.166457, 0.168035, 0.166115, 0.166343, 0.166556, 0.166668, 0.167156, 0.165265, 0.165327, 0.166287
80.0982,0.987342,0.00793621,10,1791,0,-40.0801,-0.221247,-0.0586725,-0.188765,-0.637511,-0.268775,0.220473,-0.481954,0.554142,-1.3631,-1.36056,-0.74645,-0.0455095,-0.190285,0.0874753,0.101785,-0.8105,-0.458971,-0.252553,-0.74442,-0.928118,0.542399,-0.889319,-0.332455,0.146893,-0.210416,0.329657,-0.314152,-1.01335,-0.449197,-1.13342,-0.666677,-0.542463,-0.726884,-0.0458186,-0.329328,-0.0689602,-0.396599,0.578926,-0.765902,-0.368265,-0.223202,0.0194306,-0.222072,-0.198957,-0.242412,-0.216166,-0.21495,-0.211561,-0.248237,-0.207816,-0.243219,-0.228587,-0.183395,-0.207042,-0.232101,-0.253213,-0.254116,-0.22364,-0.233219,-0.19855,-0.235999,-0.237776,-0.193291,-0.191575,-0.236048,-0.230758,-0.21346,-0.236265,-0.208938,-0.207261,-0.258985,-0.226657,-0.247216,-0.258216,-0.422448,-0.848433,-0.298565,0.0585189,-0.205246,0.996742,-0.155549,-0.0574687,0.120319,0.359589,-0.682728,-0.578786,0.606868,-0.945304,-0.496479,-0.359523,-0.34452,0.470778,-0.60156,-0.673654,-0.483282,-1.33176,-1.15097,-1.69473,-1.51779,-0.980545,-0.546419,-0.362704,-1.21889,0.272767,-1.45679,-0.774443
83.7154,0.761438,0.00793621,7,127,0,-44.176,-0.0103548,-0.153513,-0.390487,-0.420558,-0.270448,0.208902,-0.553182,0.43279,-1.45059,-1.30847,-0.704553,-0.30769,-0.203356,0.0875497,-0.0824195,-0.82186,-0.441686,-0.44256,-0.680955,-1.02143,0.480831,-0.936848,-0.347598,-0.0109797,-0.219659,0.358007,-0.262085,-1.00601,-0.514898,-1.08795,-0.662713,-0.764212,-0.830404,-0.318799,-0.52096,-0.307302,-0.894506,0.146511,-0.939112,-0.575907,-0.276661,0.0123833,-0.245797,-0.263007,-0.265826,-0.250456,-0.244281,-0.258448,-0.269475,-0.2984,-0.275986,-0.278694,-0.268923,-0.266448,-0.293844,-0.263134,-0.271704,-0.257697,-0.250214,-0.272928,-0.29274,-0.285895,-0.27436,-0.262364,-0.266103,-0.257438,-0.270024,-0.272261,-0.298634,-0.258394,-0.269375,-0.290013,-0.265952,-0.287554,-0.425119,-0.701248,-0.174916,-0.0852199,-0.113559,1.0685,-0.223562,0.0277659,0.220174,0.252356,-0.514029,-0.590956,0.531537,-1.00735,-0.539751,-0.521769,-0.355818,0.485843,-0.552503,-0.691314,-0.563359,-1.30169,-0.729775,-1.50341,-1.20599,-0.826153,-0.357985,-0.221457,-1.31461,0.232806,-1.227,-0.577309
80.9294,0.980845,0.00793621,9,895,0,-43.8626,-0.328382,-0.0320331,-0.134595,-0.703406,-0.0440124,0.24866,-0.200413,0.567261,-0.629899,-0.683088,-0.501728,0.557479,0.166811,0.550034,0.561317,-0.124869,-0.189329,-0.242766,-0.215967,-0.549366,0.71322,-0.752422,-0.45199,0.24045,-0.142436,0.361338,-0.312981,-0.719999,0.00652372,-1.20523,-0.0658643,-0.876097,-0.434765,0.18925,-0.191357,-0.0215529,-0.584455,0.553964,-0.395122,0.00679165,-0.424433,0.0158838,-0.420559,-0.426168,-0.412274,-0.408915,-0.409623,-0.429431,-0.4356,-0.463679,-0.440828,-0.42023,-0.423619,-0.411743,-0.438614,-0.429559,-0.400799,-0.415196,-0.40253,-0.419795,-0.43328,-0.442926,-0.424051,-0.389342,-0.411879,-0.412359,-0.412625,-0.427519,-0.46447,-0.414033,-0.409204,-0.426021,-0.412137,-0.419933,-0.152771,-0.48869,-0.105291,0.259936,0.0623403,1.23458,0.2046,0.108978,0.228625,0.180568,-0.307886,-0.169068,0.753055,-0.732312,-0.237013,-0.0257563,-0.347675,0.413725,-0.543324,-0.422538,0.0302205,-1.20843,-0.823776,-1.74339,-1.24288,-0.854978,-0.267842,-0.110589,-1.18516,0.250337,-0.974306,-0.525771
74.1896,0.752476,0.00793621,7,127,0,-40.8354,-0.356819,0.133508,-0.00458732,-0.509691,-0.0373723,0.205247,-0.179088,0.600998,-0.620424,-0.729445,-0.0748658,0.482633,0.00436115,0.657521,0.123134,-0.0642291,-0.163265,-0.111732,-0.329904,-0.770305,1.0599,-0.612045,-0.513869,0.197393,-0.075536,0.475998,-0.454768,-1.13614,-0.035532,-1.33832,-0.532338,-0.87018,-0.0439752,0.369989,-0.340381,-0.198907,-0.714758,0.760116,-0.72433,-0.12349,-0.462712,0.0197712,-0.459356,-0.462707,-0.455129,-0.446585,-0.446557,-0.471766,-0.473885,-0.504556,-0.483448,-0.466054,-0.468303,-0.448865,-0.484883,-0.469227,-0.437399,-0.456101,-0.445279,-0.469351,-0.472993,-0.48722,-0.467486,-0.426794,-0.453307,-0.450517,-0.452954,-0.47325,-0.50896,-0.455952,-0.446298,-0.472795,-0.447751,-0.465349,-0.150246,-0.493443,0.326794,0.312709,-0.00751743,1.29792,-0.0970364,0.20527,0.256666,0.312767,-0.331125,-0.382349,1.11365,-0.575044,-0.3173,-0.00282763,-0.223988,0.540406,-0.624536,-0.869531,0.00451437,-1.32112,-1.17219,-1.60291,-0.72646,-0.507084,-0.419307,-0.288492,-1.22702,0.494215,-1.21832,-0.577889
77.3598,0.989746,0.00793621,7,127,0,-39.4968,-0.267644,-0.0540988,-0.186367,-0.59612,-0.112778,0.192797,-0.141429,0.501647,-0.747503,-0.462646,-0.493306,0.264653,-0.105352,0.542052,0.670603,0.176589,-0.27682,0.0130336,-0.385909,-0.538381,0.666782,-0.300143,-0.156477,0.119639,0.106754,0.694423,-0.184423,-0.791393,-0.232865,-0.96841,-0.0325293,-0.549996,-0.626253,0.186112,-0.17182,0.168117,-0.384021,0.717574,-0.517447,0.122722,-0.454359,0.0193167,-0.45656,-0.450394,-0.45491,-0.448141,-0.4517,-0.407518,-0.458237,-0.468538,-0.45635,-0.457076,-0.46205,-0.449943,-0.467014,-0.457745,-0.419945,-0.425694,-0.466827,-0.432395,-0.482149,-0.475981,-0.452295,-0.434339,-0.467779,-0.454683,-0.466021,-0.465142,-0.438759,-0.423987,-0.410698,-0.447423,-0.413352,-0.449711,-0.256235,-0.251475,-0.208803,0.104014,-0.215632,1.12044,0.358337,0.488844,0.0628206,0.366458,-0.464025,-0.29523,0.612436,-0.405031,-0.206411,-0.274536,-0.131199,0.67224,-0.486702,-0.629968,-0.328564,-1.13303,-0.638883,-1.43663,-1.36126,-0.709529,-0.365195,-0.0574212,-1.03191,0.386539,-1.1102,-0.350567
80.0899,0.991666,0.00793621,11,2047,0,-43.8372,-0.0271613,0.263177,-0.00691811,-0.0822413,-0.00542337,0.174528,-0.702069,0.736785,-1.05743,-1.05424,-0.690913,0.221288,-0.400329,0.181582,-0.0128427,-0.258404,-0.661075,-0.154847,-0.772662,-1.10901,0.641736,-0.888554,-0.907635,0.0519284,-0.515844,0.312212,-0.583464,-1.07882,-0.511079,-1.49494,-0.86792,-1.40601,-0.930081,-0.666896,-0.956086,-0.633385,-1.23748,0.137024,-1.38549,-0.787785,-0.491908,0.0211898,-0.494176,-0.52399,-0.483377,-0.490987,-0.492296,-0.474603,-0.496893,-0.501235,-0.460245,-0.497372,-0.492739,-0.476841,-0.511452,-0.483362,-0.481879,-0.448163,-0.512876,-0.482136,-0.53425,-0.519465,-0.483132,-0.480738,-0.49436,-0.484314,-0.501747,-0.486584,-0.484561,-0.477694,-0.487637,-0.492352,-0.45865,-0.491549,-0.28655,-0.462088,0.0700249,0.465051,0.0111117,1.12191,0.223629,0.338612,0.102514,0.609405,-0.359674,-0.350062,0.957388,-0.575332,-0.426514,0.185983,-0.374277,0.629411,-0.444991,-0.587537,-0.197415,-1.18459,-0.799688,-1.35126,-0.868035,-0.777831,-0.372225,-0.0510706,-1.00599,0.549008,-1.15135,-0.547897
77.781,0.93056,0.00793621,11,2047,0,-46.8462,-1.27754,0.202016,0.375802,-0.0105089,-0.365252,0.172773,-0.407088,0.52086,-1.1942,-0.890808,-0.367208,-0.485967,-0.150455,0.404634,0.252296,-0.704245,-0.352009,0.00753592,-0.472101,-0.49727,0.524329,-0.664455,-0.0262354,0.248008,-0.557728,0.208356,-0.671219,-1.20241,-0.341076,-1.27336,-0.862984,-0.563151,-0.550102,0.0103106,-0.0359068,0.334298,-0.524911,0.675771,-0.554254,-0.266278,0.385923,0.0203027,0.393603,0.402704,0.428361,0.375083,0.371886,0.353081,0.389692,0.379061,0.401683,0.380499,0.359572,0.357783,0.413832,0.393875,0.389601,0.32826,0.368369,0.376237,0.414306,0.415059,0.38202,0.374044,0.383611,0.40447,0.382825,0.374807,0.367208,0.366122,0.371523,0.392815,0.385464,0.375509,-0.991535,-1.14366,-0.834193,-1.03972,-0.992748,0.437805,-0.792532,-0.629714,-0.640421,-0.236233,-1.21023,-1.09818,0.013714,-1.33876,-0.974199,-0.911573,-1.21135,-0.198092,-1.53318,-1.46584,-0.98562,-2.14112,-1.76899,-2.3769,-1.87278,-1.38097,-0.959311,-0.693274,-2.01708,-0.241835,-1.86785,-1.19297
70.2665,0.918178,0.00793621,7,127,0,-38.1652,-0.971206,-0.0449282,0.116528,-0.351036,-0.351276,0.155206,-0.161895,0.557716,-1.16483,-1.31052,-0.226647,-0.0965528,-0.21285,0.476364,0.252522,-0.691001,-0.27287,-0.207859,-0.453925,-0.481389,0.501322,-0.757263,-0.0942529,0.200669,-0.510411,0.16946,-0.657687,-1.03088,-0.344998,-1.21395,-0.773754,-0.431674,-0.538752,0.249042,-0.223062,0.256346,-0.372892,0.799775,-0.620115,-0.0351508,0.367641,0.022759,0.336828,0.380451,0.367357,0.382094,0.394604,0.350027,0.371742,0.392678,0.340803,0.340395,0.317609,0.375066,0.324942,0.393274,0.308214,0.352471,0.362121,0.30944,0.360735,0.355204,0.3796,0.352062,0.334222,0.361982,0.362604,0.383209,0.412423,0.384098,0.379522,0.364523,0.384467,0.377214,-0.98456,-1.55738,-0.690399,-0.610885,-1.01564,0.482673,-0.734094,-0.623,-0.564883,-0.456936,-1.15653,-1.07395,0.000884986,-1.41513,-1.02626,-0.912946,-1.13743,-0.230795,-1.48507,-1.30455,-0.97424,-2.05786,-1.73953,-2.27046,-1.90526,-1.17249,-1.23844,-0.859216,-1.91336,-0.199072,-1.98884,-1.03177
73.2646,0.995054,0.00793621,8,511,0,-39.705,-0.460153,-0.665074,-0.408371,-0.315269,-0.416742,0.179707,-0.353641,0.464554,-1.06969,-0.538241,-0.0853971,-0.0450104,0.112627,0.145392,0.380151,-0.384113,0.00901095,-0.120926,-0.321781,-0.665191,0.725619,-0.421257,-0.0930712,0.370242,-0.269861,0.356623,-0.261231,-0.879605,-0.0429776,-0.975917,-0.846797,-0.776424,-0.650796,-0.46998,-0.436163,-0.181448,-0.481705,0.247322,-1.20508,-0.869904,0.217345,0.0217944,0.196846,0.221487,0.219277,0.236588,0.25194,0.198771,0.24772,0.240666,0.196774,0.195995,0.202691,0.235098,0.193038,0.164982,0.219322,0.20375,0.235344,0.2166,0.22427,0.222417,0.250179,0.206974,0.212679,0.209737,0.207257,0.234317,0.23386,0.204392,0.188179,0.219554,0.260845,0.236236,-0.788813,-0.759672,-0.56857,-0.574918,-0.763917,0.21546,-0.710058,-0.232009,-0.270416,-0.349417,-1.07947,-1.30117,0.268506,-1.06514,-1.06661,-0.8099,-0.872723,0.0183621,-1.1018,-1.07212,-0.6529,-1.84052,-1.20375,-2.16908,-1.48315,-1.36319,-0.865231,-0.729367,-1.52487,-0.157706,-2.04449,-1.26787
68.2371,0.982284,0.00793621,9,767,0,-27.3557,-0.203595,-0.436704,-0.455477,-0.84182,-0.33199,0.0973393,-0.207096,0.503774,-1.29371,-1.55172,-0.505813,-0.461681,-0.641737,0.202456,0.0171257,-0.745212,-0.642153,-0.377677,-0.898497,-0.939288,0.605649,-0.755211,-0.428578,0.0774565,-0.605889,-0.0738905,-0.636367,-0.896867,-0.330872,-1.17406,-0.83773,-0.560963,-0.916581,-0.143948,-0.198416,0.422117,-0.712782,0.875001,-0.757047,-0.105601,0.342928,0.0215974,0.325121,0.348111,0.327803,0.35866,0.332793,0.336847,0.377678,0.34861,0.352876,0.378152,0.399797,0.329233,0.33994,0.351789,0.357719,0.329483,0.327357,0.344998,0.354202,0.339435,0.310701,0.333827,0.359961,0.315361,0.367219,0.316729,0.344563,0.383463,0.300943,0.330147,0.34286,0.314481,-0.95133,-1.56367,-0.772093,-0.62773,-1.12975,0.331084,-0.595276,-0.45959,-0.746123,-0.44107,-1.29183,-1.3273,0.182678,-1.32697,-1.30877,-0.875682,-1.09915,-0.402181,-1.31899,-1.15487,-0.875576,-1.92166,-1.5956,-2.14391,-2.05317,-1.2832,-1.1512,-0.625346,-2.06313,-0.0128099,-1.94508,-0.941967
