# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_nocor_model
# start_datetime = 2022-03-02 19:33:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41e782288.json
# init = 2 (Default)
# random
#   seed = 1581025025
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.111677
# Diagonal elements of inverse mass matrix:
# 0.152264, 0.130642, 0.162472, 0.13632, 0.0241565, 0.0165829, 0.0378012, 0.0184198, 0.124892, 0.0374647, 0.222035, 0.219492, 0.262134, 0.249728, 0.230428, 0.274796, 0.238154, 0.240994, 0.240689, 0.242915, 0.212873, 0.259023, 0.232213, 0.225134, 0.294747, 0.210437, 0.211686, 0.243402, 0.224051, 0.288216, 0.229805, 0.269247, 0.242334, 0.2902, 0.206816, 0.230405, 0.287831, 0.275583, 0.246777, 0.238151, 0.292539, 0.216403, 0.0114652, 0.117505, 0.0741945, 0.151846, 0.0647914, 0.0943925, 0.0885532, 0.0919539, 0.0972367, 0.0817045, 0.0810168, 0.0985344, 0.144838, 0.0818066, 0.0675934, 0.0936225, 0.0759227, 0.110924, 0.167772, 0.0792799, 0.0759308, 0.0830213, 0.124429, 0.109882, 0.0856563, 0.0962794, 0.0775216, 0.0607526, 0.093132, 0.0763794, 0.0926201, 0.0653407, 0.115828, 0.0826786
180.112,0.991823,0.111677,5,63,0,-133.457,-0.689336,-0.152946,0.232906,-0.364171,-0.480719,0.122338,-0.264739,0.358566,-0.406484,0.518165,-0.540402,-0.765028,0.491416,-0.111501,-0.474388,-0.118697,0.670798,-0.635688,-0.222327,-0.749228,-0.575096,-0.365989,0.273337,-0.621637,0.141983,0.380358,-0.180277,0.76912,0.342328,-0.845247,-0.191417,-0.318515,-0.621693,-0.614726,-0.240055,0.323573,-0.45957,-1.02927,-1.09332,-0.396988,-1.06874,-0.256003,0.979467,0.429741,2.9222,3.55024,3.5018,4.98483,3.08759,3.98781,3.52469,1.17629,1.24984,2.21905,6.43638,1.96251,3.17838,3.77747,3.17484,3.12687,11.7054,2.47848,1.78702,2.70891,3.67781,1.37612,6.64804,2.18123,3.8741,2.42896,2.89025,4.32044,1.89413,2.61541,2.86509,3.48427,-0.0155941,-0.734679,0.134883,-0.267072,-1.11477,0.0779865,-0.131089,-0.174462,-0.343835,-0.81198,-1.07838,-0.89879,-0.65259,-1.763,-1.85168,-0.907562,-0.802295,-0.0197096,-0.553884,-1.93799,-1.29361,-1.71449,-1.04121,-2.22895,-1.20797,-0.865807,-0.508466,-1.21526,-2.15312,-0.569426,-1.89352,-0.571569,0.503898,0.675831,0.46633,0.566374,0.753017,0.480513,0.532725,0.543505,0.585122,0.692531,0.746187,0.710701,0.657594,0.853585,0.864324,0.712501,0.690465,0.504927,0.635036,0.874131,0.784758,0.847418,0.739084,0.90282,0.769939,0.703872,0.624447,0.771228,0.89596,0.638631,0.869156,0.639125
191.726,0.963171,0.111677,6,63,0,-142.84,-0.0990091,-0.262459,0.017366,-0.423084,-0.286609,-0.0235837,-0.134408,-0.259777,-0.356567,0.628843,-0.699774,-1.52023,0.24976,-0.557689,-0.885382,0.810091,0.392906,-0.00465531,0.187382,-1.32378,-0.542833,-0.926924,0.144457,-0.788396,-1.12092,-0.453518,-0.75154,0.350858,-0.5534,-0.991719,-1.12023,-2.11184,0.00673717,-1.20009,-0.501961,-0.145708,0.636938,0.349908,-1.16496,1.01492,-1.01787,0.272815,1.34945,0.257333,5.13597,7.44931,2.24811,4.95808,4.89774,4.68248,3.624,3.06851,3.3071,4.16662,5.27234,4.15377,3.05301,2.82744,3.54835,5.14438,6.63616,3.40785,2.97697,3.846,4.04077,1.99441,2.84645,5.49109,3.77029,4.4051,6.04365,2.83219,4.61052,3.19231,4.46497,3.29055,-0.535737,-1.55447,-0.111668,-0.509733,-1.223,0.681974,0.0555213,0.217996,-0.0339225,-1.51005,-0.798708,-1.39344,-0.170241,-1.23154,-2.04878,-1.00747,-0.908477,0.117899,-0.873815,-1.38244,-1.54002,-2.70679,-0.610925,-2.53004,-1.44658,-0.74881,-1.18042,-1.54919,-2.63793,-0.402545,-2.35071,-0.756424,0.63082,0.825558,0.527888,0.624744,0.77259,0.335821,0.486123,0.445716,0.50848,0.819069,0.689698,0.801142,0.542458,0.774088,0.885824,0.732525,0.712688,0.470559,0.705539,0.799383,0.823467,0.937426,0.648152,0.926221,0.809471,0.678919,0.765024,0.824797,0.933263,0.599299,0.912991,0.680577
200.888,0.801929,0.111677,5,31,0,-160.271,-0.590094,0.351445,-0.221184,-0.34216,-0.377631,-0.148784,-0.0153879,0.00133343,-0.15095,0.656361,-0.124172,-0.945936,0.372707,-0.7202,0.0183456,0.605103,-0.542381,-0.330712,0.440726,-0.877873,-0.551733,-0.446354,1.10143,-0.996811,0.114111,0.898954,-0.0892979,0.734488,-0.673394,-1.17691,-0.627258,-1.11954,-0.452046,-0.416586,0.0648718,-0.0565878,-0.0720781,0.0362463,-0.298016,0.0941178,-0.780488,-0.042481,1.23305,0.172345,3.31601,3.11466,3.2044,3.6961,2.78333,2.9855,4.29146,2.87271,2.21677,3.19242,4.50587,3.39267,3.82504,5.26908,3.19783,3.66659,3.61732,3.60565,2.94924,3.96539,4.12351,2.68844,4.72919,3.06001,4.21925,3.22569,3.10318,4.67049,3.08217,3.38324,2.93235,5.01939,-0.0235589,-0.98886,-0.219021,-0.419399,-0.306585,0.203069,-0.749297,-0.0351581,0.0336219,-1.23882,-0.768965,-1.17655,0.306496,-1.96099,-1.32701,-0.372927,-0.838076,0.0472487,-1.63757,-1.91031,-1.56066,-2.28373,-1.16661,-2.06966,-1.08048,-1.09558,-1.33652,-1.33589,-1.7959,-0.987029,-2.09375,-0.955722,0.505889,0.728863,0.554537,0.60334,0.576051,0.449407,0.679026,0.508789,0.491595,0.775359,0.683297,0.764327,0.42397,0.87664,0.790346,0.592166,0.69806,0.48819,0.837204,0.871054,0.826448,0.90752,0.762532,0.887919,0.746585,0.749431,0.791916,0.791813,0.857649,0.728501,0.890294,0.722264
210.615,0.998068,0.111677,4,31,0,-172.625,-0.50738,-0.0650582,-0.0318409,0.104331,-0.468138,-0.0364013,-0.232803,-0.0510931,-0.264339,0.486408,-0.589304,-1.25204,-0.21177,-0.229755,-0.494806,0.75211,0.616518,0.226616,0.151937,-0.925243,-0.226975,-0.503389,0.582597,-0.592787,-0.328363,0.530403,0.0209,0.75475,-0.526559,-0.522878,-0.120373,-0.755255,-0.770621,-1.18446,-0.662647,-0.215484,0.0322667,-0.257539,-1.28429,0.368835,-1.15234,-0.326468,1.22101,0.133507,3.59705,4.56741,2.81524,3.54834,3.84123,3.85729,3.10727,3.11594,3.7818,3.76613,3.27757,3.40971,2.32871,2.94439,3.54008,3.94185,4.34191,2.65142,3.33895,3.30199,3.2601,2.94564,3.17658,3.70879,2.94441,3.76263,3.88821,3.18265,3.31473,3.54497,4.00515,3.38083,-0.297042,-1.28576,-0.777784,-0.133454,-1.02616,0.569297,0.0834171,0.612497,-0.185203,-1.20516,-0.624822,-1.24106,-0.36382,-1.74901,-2.28957,-0.79354,-0.654568,-0.0581572,-1.46905,-1.60673,-1.23844,-2.15942,-0.956552,-2.53383,-1.38262,-0.75085,-0.993564,-1.41688,-2.49403,-0.37703,-2.13321,-0.811438,0.573719,0.783429,0.685202,0.533314,0.736171,0.361399,0.479158,0.35149,0.546169,0.769442,0.651314,0.775748,0.589965,0.851827,0.908009,0.688591,0.658039,0.514535,0.812912,0.832957,0.775293,0.896546,0.722431,0.92648,0.799411,0.679364,0.729791,0.804849,0.923722,0.593157,0.894089,0.692416
214.738,0.982911,0.111677,4,15,0,-189.321,-0.434306,0.148199,-0.305748,-0.180129,-0.218961,-0.0102704,-0.0872224,-0.0674861,-0.356788,0.543651,-0.146272,-1.01292,0.515433,-0.658144,-0.328614,0.259009,-0.200894,-0.3937,0.352933,-0.792001,-0.301167,-0.780214,0.322831,-0.670359,-0.632513,0.29219,-0.131585,0.777804,-0.177856,-0.483613,-0.690539,-0.881782,-0.358356,-1.0478,-0.481144,-0.557612,-0.394802,-0.563643,-0.231615,0.203715,-1.04934,0.149374,1.16515,0.110271,3.43147,2.88738,3.57143,3.6052,3.01631,2.95191,3.78823,3.20251,2.25539,2.86294,3.70707,3.49903,3.35039,3.78642,3.73602,3.43728,3.07132,3.52897,3.16308,3.18599,3.47453,2.62674,3.6019,3.22327,3.77938,3.03065,3.25822,3.86475,2.92736,2.99111,2.77078,3.27952,-0.00766815,-1.03354,0.252598,-0.631463,-0.588749,0.182163,-0.468601,-0.218063,0.197148,-0.921023,-0.498856,-1.12334,-0.564348,-1.65567,-1.97267,-0.793234,-0.913699,-0.0469283,-1.08486,-1.41341,-1.65801,-1.98306,-0.914827,-2.14844,-1.2874,-1.23394,-1.47488,-1.70617,-1.31054,-0.701829,-2.02121,-0.590555,0.501917,0.737601,0.437184,0.652821,0.643078,0.454585,0.615053,0.554301,0.450872,0.71525,0.62219,0.754607,0.637458,0.839655,0.877898,0.688525,0.713757,0.51173,0.747413,0.804303,0.83997,0.879007,0.713987,0.895523,0.783707,0.774507,0.813798,0.846339,0.787603,0.668593,0.883007,0.643492
205.336,0.845375,0.111677,4,15,0,-175.789,-0.567136,0.0954481,-0.30445,0.120808,-0.228054,0.00907759,0.078159,-0.176409,-0.237038,0.502079,-0.836841,-0.860955,-0.303248,0.303319,-0.473704,0.758057,-0.117806,0.196743,0.0322075,-1.00382,-0.51078,-0.808777,0.824346,-0.829451,-0.898524,0.0933053,0.0182648,0.530429,-0.444392,-0.699046,-0.45702,-1.73843,-0.271301,-0.966645,0.163941,-0.518551,0.386276,0.546741,-1.28098,0.317286,-0.925852,-0.027596,1.07819,0.153289,2.98877,3.47684,2.63525,2.94402,3.55652,3.61429,2.6927,2.60514,3.7347,3.30928,3.34454,2.84181,2.89768,2.71742,2.50823,3.25039,3.99389,2.76783,2.70024,2.58268,3.00938,3.22034,2.80354,2.60923,2.37917,3.31626,3.26956,2.70681,2.97442,3.33919,3.458,3.12475,-0.806858,-1.01658,-0.691375,0.157408,-0.898569,0.583416,-0.57033,0.245522,-0.244423,-1.25258,-0.870606,-1.28053,0.137532,-1.61847,-1.88812,-0.96899,-0.728125,-0.0913453,-1.32086,-1.26124,-1.22746,-2.64824,-0.76338,-2.02549,-0.588294,-1.02934,-0.969518,-0.874093,-2.42332,-0.750603,-1.9567,-0.816871,0.69144,0.734307,0.666273,0.460729,0.710655,0.358147,0.638839,0.438926,0.560803,0.777746,0.704872,0.782539,0.465671,0.834584,0.868541,0.724918,0.674394,0.52282,0.789325,0.77924,0.773373,0.933902,0.682087,0.883448,0.642974,0.736787,0.725023,0.705597,0.918588,0.67931,0.876175,0.693572
