lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0227352
# Diagonal elements of inverse mass matrix:
# 0.2052, 0.0925632, 0.0787721, 0.0851015, 0.0145289, 0.00746768, 0.171335, 0.0226848, 0.231291, 0.20952, 0.214984, 0.238328, 0.211952, 0.232842, 0.238786, 0.224875, 0.218754, 0.213818, 0.208159, 0.226994, 0.198446, 0.206387, 0.250228, 0.222032, 0.206009, 0.208136, 0.216133, 0.218254, 0.207323, 0.210869, 0.231562, 0.257391, 0.227245, 0.245602, 0.250329, 0.253123, 0.22969, 0.228392, 0.222331, 0.220262, 0.181824, 0.382532, 0.184955, 0.183463, 0.184654, 0.185185, 0.183579, 0.183951, 0.183629, 0.187377, 0.181721, 0.18111
-4175.1,0.994408,0.0227352,6,63,0,4197.01,-0.09974,0.235158,-0.156938,-0.17775,-0.0764228,0.142436,-0.106092,0.547582,-0.62917,-0.610714,-0.610224,0.00847748,-0.172922,0.412835,0.115563,-0.0764781,-0.0435819,0.291656,-0.391568,-0.588011,1.01441,-0.120766,-0.359315,0.0726343,-0.040375,0.470857,-0.160382,-0.549058,0.149129,-0.546009,-0.319546,-0.559909,-0.759283,-0.319134,-0.39283,0.0797904,-0.821422,0.63603,-1.03745,-0.24183,-0.0482296,0.167102,0.00156557,0.106286,-0.0178649,-0.08599,0.0866618,-0.0435478,-0.0125784,-0.0883248,0.00489305,0.0629527,0.0925451,-0.0905932,-0.0286207,0.253066,0.117581,1.20537,0.257403,0.512142,0.575384,0.919963,-0.0792698,-0.0344308,1.05214,-0.117286,-0.306806,-0.131708,-0.138854,0.530382,-0.302452,-0.353324,0.158836,-0.583006,-0.410814,-0.841107,-0.937732,-0.618224,-0.16888,0.281946,-0.929048,0.754908,-1.10771,-0.231139
-4168.61,0.996738,0.0227352,8,383,0,4186.2,0.10491,-0.0647826,0.0622384,-0.571768,-0.267757,0.137591,-0.288826,0.379513,-0.85434,-1.03549,-0.646692,-0.212368,-0.0942013,0.0707099,-0.179367,-0.46023,-0.205487,0.100468,-0.614197,-0.770848,0.317611,-0.461409,-0.389076,-0.178143,-0.512373,-0.00223042,-0.776835,-1.01458,-0.158374,-1.01484,-0.323843,-0.426391,-0.56381,-0.21603,0.0114464,0.0777339,-0.512665,0.731734,-0.679449,-0.150952,0.127973,0.0730679,0.121315,0.126081,0.106848,0.117343,0.181565,0.163246,0.110683,0.0590314,0.156466,0.0948331,0.155598,-0.370415,-0.127655,0.210253,0.127835,0.967334,-0.11674,0.444843,0.444456,0.783138,-0.315798,-0.349992,0.79335,-0.105667,-0.223011,-0.18908,-0.152407,0.549872,-0.569594,-0.346708,0.219185,-0.800913,-0.499703,-1.2677,-1.04512,-0.758569,-0.144361,-0.154436,-1.10729,0.569243,-1.14317,-0.331036
-4172.65,0.926706,0.0227352,7,191,0,4200.26,0.32281,0.838982,0.279907,0.143284,-0.0498515,0.163239,-0.408706,0.494801,-1.04936,-0.821091,-0.835822,-0.231234,-0.427728,0.0997552,-0.0481211,-0.666711,-0.434346,-0.267291,-0.899782,-1.17118,0.660872,-0.374784,-0.439991,-0.104295,-0.0396008,0.146638,-0.241861,-0.765094,-0.126931,-1.0281,-0.740603,-1.00774,-0.734949,0.114303,-0.704878,-0.0956208,-1.08822,0.331288,-0.96152,-0.416596,-0.609987,0.0350918,-0.619534,-0.60075,-0.651452,-0.688922,-0.679871,-0.650282,-0.576643,-0.65486,-0.638948,-0.577911,0.705858,0.732299,0.828001,1.00177,0.905554,1.9715,1.11786,0.931363,1.25385,1.427,0.447717,0.474367,1.59629,0.538291,0.575392,0.602888,0.736638,1.09627,0.505943,0.343716,0.790206,-0.141426,-0.0827081,-0.473737,-0.133923,0.566307,0.369617,0.964656,-0.370671,1.26692,-0.219597,0.378134
-4169.83,0.944655,0.0227352,6,127,0,4200.61,0.628423,0.424329,0.190833,0.0758524,-0.198628,0.115524,-0.43598,0.489782,-0.826532,-1.08551,-0.808171,-0.249145,-0.0965226,0.20613,-0.00824146,-0.351166,-0.253246,-0.0775879,-0.785172,-0.815749,0.488475,-0.331341,-0.275139,0.106351,-0.28796,0.339252,-0.549468,-0.792039,0.146335,-0.757793,-0.991714,-0.637563,-0.736732,-0.187629,-0.282657,-0.194962,-0.79958,0.519398,-0.560517,-0.375417,-0.717172,0.0596143,-0.761308,-0.770837,-0.770719,-0.769279,-0.65351,-0.681098,-0.718413,-0.780533,-0.716134,-0.739468,0.986012,0.45775,0.640212,1.08735,1.10463,1.94807,1.0612,1.37013,1.29225,1.49218,0.472626,0.559802,1.56356,0.654729,0.583681,0.806956,0.687788,1.47099,0.312985,0.439033,1.14859,0.123074,-0.0581149,-0.197603,-0.0297215,0.460505,0.706185,0.737233,-0.163172,1.48983,0.173,0.568504
-4175.92,0.985145,0.0227352,6,127,0,4196.17,0.540903,0.636044,0.359634,0.175763,-0.165598,0.104807,-0.502107,0.46712,-1.00204,-0.873549,-0.738293,0.155091,-0.280061,0.278255,-0.0334774,-0.407119,-0.0898374,-0.0658477,-0.884748,-1.03011,0.745159,-0.539326,-0.215359,0.123273,-0.173833,0.377038,-0.574208,-0.86263,-0.204363,-1.02408,-0.953396,-0.606899,-0.784423,-0.188665,-0.0478667,-0.0949064,-0.779966,0.643938,-0.792354,-0.136336,-0.838754,0.0330268,-0.843292,-0.828192,-0.884549,-0.814728,-0.81158,-0.845854,-0.793763,-0.88282,-0.841032,-0.892181,0.833839,0.729331,0.793977,1.5686,1.0291,2.06376,1.15739,1.34419,1.52339,1.56762,0.471643,0.441435,1.87597,0.517272,0.743642,0.933382,0.865666,1.55508,0.370837,0.406724,0.865729,-0.0551861,-0.037046,-0.102102,-0.0569832,0.481196,0.94002,0.845752,-0.102895,1.60798,-0.0343216,0.797112
-4176.6,0.929396,0.0227352,6,127,0,4201.4,0.464722,0.572983,0.569811,0.117254,-0.183777,0.148659,-0.286236,0.399898,-1.09732,-0.730724,-0.813088,-0.195585,-0.0855744,0.120173,-0.179468,-0.612378,-0.386264,0.128697,-0.632161,-0.883949,0.458835,-0.338542,-0.673026,0.125537,-0.678062,0.190115,-0.454899,-0.821344,-0.391228,-1.1425,-0.635467,-0.358781,-0.526473,-0.34949,-0.247764,-0.029554,-0.591062,0.962352,-0.825738,0.0272497,-0.789249,0.0383555,-0.784292,-0.783526,-0.784135,-0.851508,-0.764463,-0.826867,-0.748562,-0.852457,-0.815307,-0.738098,0.768685,0.844365,0.715988,1.10465,1.13121,1.96263,0.87368,1.12743,1.23266,1.77008,0.637033,0.57774,1.81362,0.933878,0.523433,1.09206,0.543035,1.59731,0.661375,0.719535,0.896168,0.0325807,0.20046,0.020415,0.0998073,0.180543,0.764595,0.930393,0.0116673,1.9159,-0.133159,0.9145
-4170.2,0.998855,0.0227352,8,383,0,4204.31,-0.62811,0.207711,0.428059,0.174388,-0.318197,0.224946,0.20874,0.465956,-0.799947,-0.29903,-0.168018,0.216444,0.653403,0.787729,0.77804,-0.00494027,0.15591,0.879879,0.0827946,-0.0880609,0.997179,0.156962,0.241797,0.67555,0.044929,0.558189,-0.111345,-0.541678,0.23178,-0.434453,-0.46799,0.00141384,-0.0903373,0.313143,0.140018,0.437366,0.0233711,1.14394,-0.413492,0.0947603,-0.28737,0.0451941,-0.310996,-0.2427,-0.277513,-0.289953,-0.288826,-0.275846,-0.211941,-0.305193,-0.292801,-0.346904,0.11646,0.146117,0.165013,0.250592,0.510615,1.63091,0.384378,0.725413,0.644508,1.40737,0.030754,0.128295,1.28672,0.303901,0.224765,0.325302,0.135453,0.938479,-0.202316,0.0376299,0.404647,-0.456044,-0.514462,-0.835856,-0.499799,-0.230516,0.301683,0.508283,-0.459314,1.23623,-0.74061,0.104703
-4177.54,0.995381,0.0227352,6,63,0,4201.52,-0.677148,-0.00599162,0.326397,0.0663939,-0.411715,0.259973,0.397567,0.469181,-0.338931,-0.176389,0.245009,0.628762,0.747548,0.783646,1.29675,0.0622921,0.45273,0.880153,0.209339,0.150076,0.836563,0.126843,0.323595,0.745481,0.147032,0.400374,0.0477156,-0.584149,0.424673,-0.242043,-0.149092,0.0390121,0.134951,0.44645,-0.315173,0.714712,-0.170372,0.869008,0.00782429,0.132407,-0.257104,0.073046,-0.261629,-0.25732,-0.326866,-0.309923,-0.2155,-0.25225,-0.220995,-0.314827,-0.243615,-0.126518,0.614372,0.198234,0.44348,0.533761,0.392525,1.61112,0.648205,0.805944,0.852489,1.33023,-0.0282651,0.19758,1.05713,0.162894,0.116397,0.169304,0.141172,0.738357,-0.192981,-0.0197412,0.494271,-0.424055,-0.263989,-1.0991,-0.449618,-0.280674,-0.254017,0.65845,-0.880771,0.87148,-0.501287,0.0594208
-4182.65,0.994588,0.0227352,7,191,0,4206.98,-0.888262,0.175464,-0.223441,-0.606313,-0.0998613,0.0977338,0.117382,0.508829,-0.30903,-0.186032,-0.13429,0.410238,0.133524,0.792838,0.249695,0.365397,0.270869,0.720998,-0.25586,-0.34398,1.22606,0.0968696,-0.00340099,0.658063,0.109338,0.969919,0.0506929,-0.174008,0.36707,-0.430126,0.0873737,0.103958,0.113647,0.401162,0.0809024,0.747684,-0.0574605,1.24716,-0.080136,0.0823361,0.640521,0.148097,0.6543,0.671729,0.666156,0.662357,0.639774,0.556816,0.741508,0.6197,0.666595,0.781901,-0.520877,-0.572915,-0.529221,-0.159906,-0.465012,0.585149,-0.454711,0.0680225,-0.0752394,0.387095,-0.825915,-0.775528,0.322283,-0.851659,-0.976252,-0.473639,-0.884034,0.0946232,-0.999638,-0.959707,-0.573322,-1.43155,-1.25225,-1.48385,-1.3399,-1.12164,-1.11199,-0.473689,-1.50685,0.00535327,-1.4807,-1.21245
-4183.95,0.998137,0.0227352,6,63,0,4211.61,-0.392142,0.206771,0.437789,-0.161925,-0.310303,0.136061,-0.125986,0.517128,-0.805171,-0.672533,-0.661747,-0.0732581,0.214194,0.379411,0.3852,-0.145545,0.0378269,0.447288,-0.181374,-0.394,0.384058,-0.117172,-0.19159,0.18898,-0.656,0.0437147,-0.370219,-1.14706,-0.0490549,-0.686783,-0.219806,0.0309662,-0.248017,0.328937,0.382777,0.54391,-0.578022,0.878063,-0.481166,-0.121396,0.0439484,0.043626,0.0704793,0.0488551,-0.00439458,0.0572822,-0.0269849,-0.0420816,-0.0829125,0.0588977,0.0728763,0.0948234,0.0631877,-0.180439,-0.362292,0.184641,0.216243,1.09306,0.225904,0.624679,0.48899,0.936378,-0.0908291,-0.208325,0.740544,0.100249,-0.217376,0.00485174,-0.41029,0.488697,-0.301501,-0.591304,0.193651,-0.633711,-0.46003,-0.980437,-0.842225,-0.312835,0.0956135,0.168251,-1.32694,0.606547,-1.07838,-0.389908
