lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.07365
# Diagonal elements of inverse mass matrix:
# 0.131288, 0.0948419, 0.0821363, 0.0775851, 0.0162272, 0.00657792, 0.142662, 0.0242837, 0.235075, 0.201533, 0.209779, 0.212506, 0.188623, 0.221027, 0.200486, 0.216566, 0.194756, 0.196303, 0.188786, 0.204526, 0.20166, 0.195975, 0.21272, 0.188782, 0.204292, 0.195079, 0.189939, 0.212174, 0.187108, 0.195939, 0.235106, 0.208436, 0.193254, 0.198422, 0.24925, 0.232059, 0.226679, 0.206378, 0.203748, 0.203635
-3898.78,0.97728,0.07365,4,15,0,3918.39,-1.00523,0.317485,0.178084,-0.0899734,-0.164246,0.113418,-0.0904936,0.488758,-0.309941,-1.0412,-0.282074,-0.207374,-0.254368,0.549972,0.333687,-0.0691214,-0.36327,-0.35236,-0.341805,-0.652065,1.10597,-0.217923,0.456679,0.537803,-0.117757,0.422971,-0.442352,-0.530652,0.618785,-1.06667,0.216312,-0.464831,-0.240436,0.243683,-0.186733,0.351938,-0.608754,0.644609,-0.752148,-0.106519,-0.315741,-1.28756,-0.589001,-0.660496,-0.801514,0.50368,-0.34026,-0.168265,-0.589897,-0.558912,-0.84211,-1.01922,0.526153,-0.871353,-0.284084,-0.369571,-0.797613,-0.110009,-1.21589,-0.963597,-0.0212621,-1.8071,-0.671377,-1.76071,-1.31549,-0.897949,-0.975068,-0.483239,-1.7243,-0.176844,-1.78739,-0.967781,0.578286,0.783735,0.643136,0.659372,0.690298,0.376676,0.584254,0.541967,0.643342,0.636201,0.698909,0.73482,0.371414,0.705027,0.570547,0.591355,0.689464,0.527474,0.77134,0.723841,0.505315,0.859011,0.661811,0.853299,0.788431,0.710528,0.726128,0.618512,0.848682,0.544096,0.856608,0.724677
-3905.3,0.986616,0.07365,5,31,0,3920.65,-1.18101,0.472867,0.549655,0.327463,-0.221519,0.109939,-0.127195,0.391321,-0.273372,-0.976817,-0.23513,0.0995706,-0.0367899,0.56435,0.308725,-0.147133,-0.19978,0.146937,-0.614306,-0.294311,0.921464,-0.471134,-0.180597,-0.0394759,-0.303062,0.352297,-0.132588,-0.667198,0.594435,-0.524251,-0.0887043,-0.333234,-0.327254,-0.0952064,-0.229225,0.575791,-0.414585,0.679106,-0.428079,-0.26756,-0.190853,-1.17571,-0.558739,-0.292129,-0.598328,0.549232,-0.380803,-0.147478,-0.415088,-0.0412962,-1.11267,-0.699146,0.537629,-0.954245,-0.824521,-0.822053,-0.778787,0.0316371,-0.734664,-0.895968,0.129374,-1.12469,-0.705395,-1.50045,-1.19665,-1.01136,-0.841001,-0.0991604,-1.38162,0.0656923,-1.28681,-0.891637,0.547569,0.764176,0.636161,0.572517,0.645274,0.366043,0.594067,0.536803,0.602307,0.510323,0.752626,0.667998,0.368739,0.721968,0.695195,0.694672,0.685419,0.492091,0.675828,0.71012,0.467701,0.754857,0.669383,0.817642,0.767928,0.733287,0.698676,0.52477,0.79925,0.483583,0.783607,0.709228
-3905.44,0.997979,0.07365,6,127,0,3929.41,-1.05794,0.55265,0.461127,0.1055,-0.0685631,0.114483,-0.229825,0.453009,-0.68696,-1.08338,-0.615437,0.0687793,-0.38837,0.617269,0.0273694,-0.38167,-0.335506,-0.175296,-0.371831,-0.336736,0.847855,-0.433806,-0.0931318,0.281978,-0.216145,0.48902,-0.50439,-0.979467,-0.179579,-0.977919,-0.283089,-0.428647,-0.447567,-0.119611,-0.638646,-0.148448,-0.976298,0.44305,-0.672446,-0.32648,-0.706162,-1.27014,-0.760342,-0.338565,-0.767827,0.648302,-0.472157,-0.506975,-0.44689,-0.278299,-0.731734,-0.506781,0.488565,-0.823823,-0.452467,-0.281182,-0.684331,0.149284,-1.01168,-1.21031,-0.564009,-1.40425,-1.08176,-1.39772,-1.32445,-1.09143,-1.19443,-0.723788,-1.80295,-0.193698,-1.46558,-1.04698,0.669553,0.780767,0.681428,0.583842,0.683051,0.343372,0.615894,0.624097,0.6099,0.569129,0.675186,0.624052,0.380232,0.695047,0.611226,0.569836,0.664705,0.462748,0.733349,0.770353,0.63738,0.802857,0.746827,0.801821,0.789922,0.74865,0.767533,0.673441,0.858508,0.548274,0.812384,0.740195
-3904.27,0.991183,0.07365,5,31,0,3920.6,-1.03835,0.253159,0.533679,0.204503,-0.168347,0.129861,-0.237105,0.444634,0.0660011,-1.10447,-0.0674934,-0.253327,-0.290574,0.498952,0.543709,-0.0914753,-0.244113,-0.208438,-0.476831,-0.895771,0.747325,-0.840887,-0.0144128,0.106415,-0.29153,0.443855,-0.41222,-0.611873,0.321107,-1.36998,-0.367159,-0.565262,-0.765416,0.240598,-0.35134,0.0942096,-0.883944,0.316368,-1.03984,-0.417931,0.0206253,-1.41002,-0.421514,-0.798027,-0.918035,0.425686,-0.227331,-0.246136,-0.515829,-0.459577,-1.05628,-1.31152,0.523386,-1.14027,-0.3897,-0.466866,-0.631613,0.267927,-0.848326,-0.671657,0.0354394,-1.75853,-0.974688,-1.59118,-1.56499,-0.640827,-0.816202,-0.418663,-1.71141,-0.196049,-1.785,-0.984762,0.494844,0.80377,0.603846,0.689552,0.714642,0.395157,0.556589,0.561225,0.626172,0.612914,0.741979,0.787768,0.372061,0.75773,0.596211,0.614642,0.652855,0.433416,0.700216,0.661874,0.491141,0.853025,0.726053,0.830782,0.827068,0.65494,0.693429,0.603163,0.847019,0.548856,0.856313,0.728052
-3912.55,0.804129,0.07365,5,31,0,3929.11,-1.10438,0.240073,0.13319,0.258678,-0.322555,0.176747,-0.103536,0.625313,-0.432619,-1.21944,-0.433426,-0.369517,-0.113538,0.348613,0.493702,-0.397804,-0.386507,-0.658992,-0.316984,-0.567538,1.25677,-0.31474,0.210811,0.282935,-0.113751,0.396363,-0.188303,-0.784588,0.756775,-0.3232,0.0129718,-0.284175,-0.778669,-0.299948,-0.783751,0.202889,-0.561762,0.364448,-0.5425,-0.367032,-0.0956478,-1.3089,-0.687821,-0.773051,-0.74771,0.560077,-0.3435,-0.198155,-0.483204,-0.716266,-0.859166,-0.940207,0.679322,-1.03675,-0.728692,-0.891789,-0.841664,-0.0890957,-1.1002,-1.11958,0.0610525,-1.21605,-0.47118,-1.56996,-1.63078,-1.23682,-1.21076,-0.316106,-1.53938,-0.0816053,-1.36242,-0.845276,0.523894,0.787329,0.665482,0.68418,0.67868,0.36353,0.58504,0.549377,0.618504,0.671784,0.702486,0.719142,0.336413,0.738222,0.674518,0.709259,0.698816,0.522259,0.750297,0.753911,0.484742,0.771367,0.615663,0.827777,0.836277,0.77501,0.770433,0.578375,0.823375,0.52039,0.796153,0.699575
-3907.21,0.980593,0.07365,5,63,0,3929.1,-0.696477,-0.0505638,0.0775419,-0.0761825,-0.344351,0.0975935,-0.378285,0.63915,-0.721191,-1.21511,0.14743,0.221667,-0.187822,0.903367,0.439292,-0.53155,-0.347178,0.198885,-0.446594,-0.313365,0.815448,-0.555267,0.461484,0.530131,-0.438596,0.479205,-0.3168,-0.355946,0.0695772,-1.30284,-0.721587,-0.0748129,-0.253562,0.264542,-0.12739,0.204885,-0.514928,0.76636,-0.997537,-0.335686,-0.459072,-1.31714,-0.221776,-0.0334653,-0.780274,0.940402,-0.278813,-0.324936,-0.548031,0.0401203,-0.94084,-0.808837,0.434665,-1.09037,-0.396914,-0.397189,-0.888914,0.196628,-0.96353,-0.568988,-0.437471,-2.02033,-1.19936,-1.40839,-1.12416,-0.605448,-0.817447,-0.583379,-1.61061,0.147063,-1.92487,-0.898252,0.612794,0.788706,0.555218,0.508366,0.685739,0.280819,0.569255,0.580527,0.633679,0.489971,0.719269,0.691862,0.393013,0.748452,0.597946,0.598012,0.708666,0.451001,0.723828,0.63853,0.607656,0.882915,0.768412,0.803511,0.75476,0.646902,0.693694,0.641844,0.833497,0.4633,0.872681,0.71059
-3906.05,0.988743,0.07365,6,95,0,3931.41,-0.250282,-0.248063,-0.218338,-0.782221,-0.108326,0.245738,-0.438706,0.474963,-0.955027,-1.11129,-0.708461,-0.0531652,-0.579373,0.232583,0.327495,-0.738444,-0.728484,-1.09343,-0.493073,-0.849209,0.265091,-0.730834,-0.727221,-0.19384,-0.667427,-0.0184461,-0.413023,-1.01668,-0.448313,-1.23423,-0.37473,-0.942961,-0.983382,-0.0178661,-0.654453,-0.35407,-1.19715,0.135587,-0.872621,-0.321776,-0.490799,-0.976656,-0.442835,-0.396766,-0.81405,0.841042,-0.161748,-0.506714,-0.409897,-0.761608,-0.696856,-0.623303,0.301463,-0.743009,-0.626059,-0.544434,-0.867966,0.0488197,-0.67535,-0.712499,-0.451661,-1.30378,-1.09943,-1.93688,-1.83166,-1.08099,-0.800821,-0.531332,-1.9012,-0.203559,-1.52371,-0.858114,0.620295,0.726444,0.608934,0.597911,0.692972,0.301315,0.540349,0.624036,0.601063,0.681703,0.66749,0.650969,0.4252,0.677654,0.651595,0.632843,0.704322,0.487797,0.6627,0.670953,0.611034,0.78647,0.750154,0.874009,0.861959,0.746681,0.69015,0.629794,0.870027,0.550715,0.821084,0.702266
-3899.33,1,0.07365,5,31,0,3919.63,-0.202649,-0.148181,-0.164972,-0.462825,-0.120238,0.178047,-0.586665,0.416919,-0.557328,-1.56514,-0.764437,0.0375884,-0.397478,0.0616522,-0.0367176,-0.546982,-0.730005,-0.882748,-0.807038,-0.972619,0.638258,-0.839841,-0.449217,-0.391168,-0.736567,0.0871768,-0.698931,-0.972153,-0.162601,-1.33225,-0.100842,-0.656632,-0.578214,-0.46722,-1.0171,-0.229988,-0.806914,0.27735,-0.973678,-0.568678,-0.123876,-1.40281,-0.551427,-0.141481,-0.55036,0.560481,-0.377444,-0.276881,-0.458211,-0.596257,-0.925629,-0.803697,0.641733,-0.890251,-0.468542,-0.722499,-0.901341,0.124943,-0.932287,-0.766136,-0.203214,-1.44634,-0.519381,-1.37399,-1.13392,-1.16668,-1.07785,-0.32503,-1.29724,0.097336,-1.40522,-0.872853,0.530929,0.80263,0.634467,0.535311,0.634219,0.363436,0.593257,0.568781,0.61259,0.644799,0.716188,0.690765,0.344855,0.708942,0.615039,0.673157,0.711225,0.468805,0.717539,0.682685,0.550629,0.809435,0.627003,0.798024,0.756561,0.762544,0.746088,0.58055,0.78537,0.475685,0.803011,0.705339
-3901.33,0.98914,0.07365,5,31,0,3917.18,-0.442112,0.0748456,0.0161489,-0.134462,-0.112241,0.184618,-0.514129,0.518232,-0.484851,-1.50459,-0.703657,-0.120914,-0.822805,-0.0998319,-0.095975,-0.469257,-0.938193,-0.442315,-0.675261,-0.88824,0.532964,-1.01323,-0.570051,0.272028,-0.610742,0.322901,-0.521038,-1.04676,-0.114291,-1.53742,-0.618664,-0.688042,-1.04993,-0.405973,-1.12947,-0.741818,-1.15896,-0.0327659,-1.28001,-0.526591,-0.0647609,-1.356,-0.489347,-0.327843,-0.986876,0.399699,-0.45381,-0.220066,-0.669009,-0.159412,-0.807322,-0.715086,0.490241,-1.10626,-0.615646,-0.101647,-0.828937,0.312188,-0.803254,-0.881996,-0.198171,-1.6899,-0.946314,-1.29464,-1.50562,-1.01427,-1.06789,-0.71225,-1.53521,-0.100931,-1.60139,-0.729072,0.516185,0.795109,0.619953,0.581235,0.72847,0.401385,0.611545,0.554795,0.661281,0.539769,0.691539,0.671524,0.379837,0.751431,0.649228,0.52539,0.69613,0.422581,0.69067,0.707236,0.549381,0.84421,0.720373,0.784931,0.818411,0.733855,0.744196,0.670898,0.822767,0.525211,0.832212,0.674602
-3899.71,0.998096,0.07365,5,63,0,3915.43,-0.368453,-0.161033,0.0799329,-0.461011,-0.0971432,0.213255,-0.457798,0.481697,-0.85995,-1.18238,-0.526017,-0.0190565,-0.0685743,0.49853,0.403189,-0.448526,-0.524382,-0.742933,-0.694159,-1.06048,0.486727,-1.00996,-0.529535,-0.749589,-0.570178,-0.278479,-0.901929,-1.05837,-0.215396,-1.35124,-0.278141,-0.998658,-0.560149,0.134718,-0.751279,-0.343304,-1.17443,0.0923869,-1.09113,-0.745399,-0.547577,-1.15846,-0.391745,-0.409773,-0.368727,0.933128,-0.118134,-0.337535,-0.342616,-0.549294,-0.966608,-0.961828,0.636837,-0.903387,-0.32844,-0.939383,-0.625407,-0.100665,-1.01257,-0.675213,-0.100907,-1.29611,-0.838693,-1.80064,-1.23152,-0.722203,-0.814547,-0.434278,-1.72358,-0.136643,-1.59278,-1.14415,0.633573,0.761052,0.596703,0.601033,0.591151,0.28229,0.529499,0.583592,0.584826,0.633972,0.724443,0.723488,0.345962,0.711645,0.58138,0.718975,0.651447,0.525145,0.733522,0.662669,0.525205,0.78518,0.69819,0.858226,0.774085,0.673092,0.693078,0.606895,0.848589,0.534108,0.831007,0.75844
