# 0.164442, 0.0909997, 0.0798128, 0.0861493, 0.0137428, 0.00564965, 0.169296, 0.17072, 0.258775, 0.251003, 0.236798, 0.218759, 0.226739, 0.274466, 0.250656, 0.228225, 0.243718, 0.263892, 0.227074, 0.250172, 0.293154, 0.224125, 0.247955, 0.241087, 0.228653, 0.245947, 0.211771, 0.275444, 0.227443, 0.255581, 0.23465, 0.238818, 0.224093, 0.222383, 0.248869, 0.268103, 0.250377, 0.31823, 0.233818, 0.227728, 0.316817, 0.0193339, 0.0214389, 0.0177857, 0.0186598, 0.0199212, 0.0264687, 0.0191501, 0.0182934, 0.0203486, 0.0259258, 0.0192137, 0.0190692, 0.0208086, 0.0181397, 0.0189133, 0.0184052, 0.0188153, 0.0216414, 0.0205252, 0.0163437, 0.0172629, 0.0204521, 0.0213297, 0.0233899, 0.0206512, 0.0203793, 0.0187515, 0.0192359, 0.023099, 0.0199813, 0.0204465, 0.0227932
-4168.02,0.895359,0.0516693,6,63,0,4195.27,-0.117207,0.191308,0.412413,-0.279066,-0.353763,0.100281,-0.00359857,0.447216,-1.10417,-0.930516,-0.659796,-0.00787808,0.273013,0.0843596,-0.332511,-0.841233,-0.0835901,0.0191889,-0.455844,-0.436632,0.405809,-0.220479,-0.307913,-0.384613,-0.0726287,-0.0420341,-0.103128,-0.694635,-0.30683,-0.92889,-0.304496,0.148779,-0.0795975,0.383432,0.173455,0.488895,-0.426895,0.787368,0.0647564,0.0518176,0.203025,0.242621,-0.00936984,-0.18332,0.453531,0.631765,1.06651,0.00724782,0.236274,0.73036,1.07097,-0.0944601,-0.109109,0.932048,-0.0812351,-0.325526,0.0728571,0.056152,0.606518,-0.095944,-0.461786,0.109236,-0.622944,-0.526208,-0.887956,-0.773253,-0.419317,-0.183261,0.278253,-1.10263,0.793572,-0.894934,-0.367313
-4171,0.995447,0.0516693,6,63,0,4212.63,0.198345,-0.343707,-0.135868,-0.763639,-0.251438,0.0219627,0.340671,0.489798,0.155274,-0.703926,-0.148529,0.0775043,0.269287,0.205925,0.255666,0.0225606,0.264277,0.832458,-0.099454,-0.28963,1.12695,0.278293,-0.144058,0.548941,-0.116397,0.545481,-0.0688723,-0.520561,-0.0071193,-0.647215,0.576127,0.0664978,0.0380269,0.338492,0.0547812,1.01405,-0.00758267,1.11452,-0.194042,0.218414,0.213128,0.204224,-0.253649,-0.114306,0.501945,0.508561,0.981257,0.342523,0.378953,0.525765,0.76048,-0.170767,-0.177104,1.19299,-0.0583795,-0.254425,0.208795,-0.0322725,0.587429,0.0587476,-0.485304,0.127681,-0.681025,-0.536773,-0.996727,-0.802013,-0.489952,-0.360911,0.174008,-1.04639,0.796902,-0.80424,-0.312275
-4168.82,0.997628,0.0516693,6,63,0,4203.32,-0.695192,0.0726325,0.293651,-0.446595,-0.246287,0.150644,0.391748,0.402879,-0.196383,-0.268088,0.478567,0.781303,1.00642,0.619009,0.855324,0.13943,0.520277,0.279276,0.563458,0.202162,0.637802,0.0912577,0.0315492,0.604621,0.281268,0.649004,0.431477,-0.465317,0.205114,-0.15367,-0.00470109,0.290919,0.781771,0.729555,0.587128,0.370922,0.0131151,1.05272,0.129767,0.39099,0.278068,0.180582,-0.360806,0.0400467,0.34787,0.365558,1.40429,0.0252078,0.350858,0.309721,0.73909,0.0637677,-0.0282469,0.914386,-0.0984253,-0.261661,0.285118,-0.106042,0.586308,-0.0294427,-0.323032,0.179736,-0.698941,-0.461442,-1.00894,-0.84435,-0.554181,-0.304656,0.280265,-0.913693,0.822603,-0.840634,-0.313015
-4191.41,0.987326,0.0516693,6,63,0,4217.27,-0.254645,0.544394,0.0354337,-0.0718301,0.0380461,-0.057124,0.191535,0.357393,0.209064,-0.0695826,0.262221,-0.103482,0.486268,0.727175,1.19078,0.321492,0.703088,0.172648,0.167261,-0.00570147,0.353856,0.231542,0.206399,0.0964031,0.14711,0.453854,0.0260155,0.280005,0.2594,-0.366693,-0.677621,-0.698298,0.460439,0.237198,0.632229,0.682553,-0.333672,0.132293,-0.562983,0.185987,0.468635,-0.0543739,-0.127627,-0.218273,0.0669914,0.349335,1.28275,0.269447,0.827261,0.381673,1.02595,-0.249121,-0.223088,0.749899,-0.197227,-0.170494,0.20871,-0.136194,0.44768,-0.268692,-0.373583,0.0867117,-0.973277,-0.698768,-1.17093,-1.11396,-0.501655,-0.0440925,0.140589,-1.11556,0.718551,-1.33501,-0.014745
-4166.94,0.998301,0.0516693,7,127,0,4212.93,0.142758,-0.551506,-0.171204,-0.563985,-0.330702,0.164823,-0.0344825,0.324679,-0.61123,-0.0980834,-0.478397,0.402472,0.312047,0.0398727,-0.146727,0.169591,-0.0249902,0.621135,-0.130182,-0.219949,0.400258,-0.237628,0.0803118,0.276921,0.113765,0.390795,-0.297319,-0.413255,0.0333721,-0.170098,-0.0215258,-0.346965,-0.882469,-0.131386,-0.384097,0.0444692,-0.489002,0.462308,-0.250027,0.02424,0.285473,0.105038,0.053161,-0.037493,0.580512,-0.0310857,0.988175,0.0703601,0.454474,0.476634,0.925016,-0.201501,-0.145333,1.08204,0.120431,-0.183848,-0.144685,-0.0368008,0.742643,-0.398171,-0.2705,0.403737,-0.600006,-0.586327,-0.831234,-0.921166,-0.344207,-0.185381,0.256684,-0.802706,0.699848,-0.788955,-0.301879
-4165.81,0.979083,0.0516693,6,63,0,4194.87,-0.340945,-0.347778,0.166307,-0.380526,-0.282473,0.212962,0.0631844,0.252442,-0.232869,0.191689,0.0186854,0.591082,0.476073,-0.00191596,0.0100873,0.36917,0.163317,0.54599,0.0581396,-0.0480632,-0.104361,0.111403,0.271007,0.397599,0.208359,0.2162,0.214135,-0.241661,-0.393038,0.195974,0.109463,0.115403,-0.128619,-0.0792283,-0.0321623,0.00121159,-0.314243,0.151462,-0.0205477,0.409786,0.454261,-0.0220863,-0.0897121,-0.0961774,0.395785,0.0605225,1.10456,0.123007,0.434152,0.650712,0.932495,-0.331915,-0.304001,0.920639,0.195226,-0.0570904,-0.0571086,-0.0887698,0.674351,-0.325448,-0.50436,0.0629536,-0.429619,-0.754939,-0.847632,-0.89638,-0.331397,0.133459,0.182275,-1.19269,0.596871,-1.07113,-0.25271
-4184.23,0.841002,0.0516693,8,255,0,4213.47,-0.96382,0.284692,0.22382,0.000576833,-0.147262,0.0520208,0.612334,0.549434,-0.0803064,0.553416,0.577055,0.680847,1.04746,1.26098,0.414665,1.1956,0.895396,1.26959,0.0304376,-0.215776,0.990958,0.706661,0.784657,1.04521,0.02575,0.568004,0.114532,-0.310319,0.492879,0.0619869,0.634941,0.641976,0.367366,0.717747,0.481333,0.970437,0.302824,1.13584,0.287586,0.827645,0.340914,0.188652,-0.0624018,-0.00564532,0.688655,0.315643,1.16275,0.372934,0.87665,0.668821,1.06318,-0.162849,-0.213105,0.921142,-0.0163345,-0.230265,0.00237048,-0.358503,0.4414,-0.46654,-0.340662,0.186376,-0.948071,-0.642268,-0.859121,-0.792567,-0.271971,-0.259388,0.167858,-0.570554,0.931131,-0.720583,-0.323299
-4157.9,0.953751,0.0516693,7,127,0,4192.83,-0.394333,-0.222094,-0.0458128,-0.317956,-0.233925,0.117365,0.474787,0.237441,0.287746,0.0517761,0.300969,0.264733,0.394917,0.698934,0.763053,0.428432,0.82441,0.265645,0.36427,0.658451,0.697406,0.30285,0.458709,0.371475,0.451371,1.01493,0.318803,0.188465,0.635454,0.191915,0.223658,0.00797996,0.256799,0.576208,0.334831,0.561328,0.229836,0.914593,0.277091,0.52631,0.367083,0.0601346,-0.202015,0.30077,0.273271,0.254016,1.26869,0.0814861,0.291956,0.373432,0.669496,-0.412398,-0.197622,0.65632,-0.028532,-0.14517,0.181502,0.050614,0.765508,-0.253334,-0.447161,0.237877,-0.624822,-0.431185,-1.08628,-0.694084,-0.176087,-0.0999182,0.330134,-0.897017,0.871979,-0.954863,-0.190612
-4159.55,1,0.0516693,6,127,0,4209.6,-0.336813,-0.201973,-0.0869115,-0.562287,-0.32892,0.203719,0.327407,0.220528,0.0124901,-0.0462999,0.0441111,0.170489,0.242806,0.552636,0.62135,0.281269,0.604128,0.269895,0.392456,0.321922,0.436205,0.101721,0.201055,0.239091,0.258417,0.597606,0.396197,0.162644,-0.0897648,-0.0280656,0.145336,0.326819,0.0920841,0.50224,-0.0166786,0.0918373,0.155746,0.37415,0.259523,0.342934,0.293331,0.373617,-0.100726,0.202916,0.304125,0.397443,1.3388,0.452642,0.457711,0.634246,0.805474,-0.234368,-0.233796,0.606791,-0.0165637,-0.393756,-0.0272147,-0.264763,0.721572,-0.316275,-0.181304,0.0699135,-0.802994,-0.743711,-1.08995,-0.739761,-0.381631,-0.239401,0.136931,-1.06848,0.935295,-0.963332,-0.0792436
-4145.87,0.955488,0.0516693,6,63,0,4186.92,-0.88916,0.131127,0.214084,-0.307966,-0.143677,0.166597,0.526916,0.12199,0.601825,0.509118,0.243785,0.621892,0.545773,0.520015,0.440017,0.639287,0.506648,0.505143,0.793623,0.430648,0.366497,0.499602,0.40173,0.471419,0.775439,0.730195,0.564078,0.363822,0.447003,0.646581,0.606314,0.51903,0.591116,0.495235,0.492417,0.535477,0.553832,0.401475,0.485906,0.571119,0.445254,0.0717826,-0.215834,0.0411656,0.458888,0.434378,1.24847,0.262047,0.350799,0.711834,0.652927,-0.216831,-0.0809078,0.857645,-0.112688,-0.130357,-0.176594,-0.264588,0.561873,-0.200799,-0.169661,0.346153,-0.584433,-0.652927,-1.11245,-0.651473,-0.24942,-0.0340366,0.4952,-0.879577,0.606424,-1.02178,-0.0904761
