lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0646997
# Diagonal elements of inverse mass matrix:
# 0.142392, 0.138159, 0.104566, 0.100634, 0.0160722, 0.015724, 0.1378, 0.0239006, 0.199949, 0.190608, 0.195262, 0.186205, 0.186244, 0.199059, 0.177666, 0.18713, 0.204007, 0.180218, 0.18552, 0.206862, 0.260063, 0.267256, 0.224003, 0.243095, 0.274911, 0.218608, 0.270841, 0.221828, 0.2211, 0.223873, 0.195116, 0.27387, 0.183329, 0.223086, 0.172643, 0.218807, 0.232248, 0.199591, 0.223919, 0.190458
-3899.26,0.996616,0.0646997,5,31,0,3918.01,-1.06978,0.636934,0.0586882,-0.459803,-0.0154743,0.0527708,0.561685,0.742631,1.40292,0.786247,1.32916,-0.611776,-0.145196,1.66794,-0.00448183,0.754696,0.906994,1.60354,-0.00962796,1.38363,0.147627,0.0154983,0.202323,0.131922,0.0166334,-0.309791,0.141239,1.04208,0.280417,-0.563508,-0.27696,-0.09166,-0.285174,-0.666433,1.36021,0.660211,-0.024029,0.30679,0.448505,0.386972,1.19293,0.567847,1.11196,-0.826573,-0.352186,1.45974,-0.207869,0.559715,0.690996,1.39835,-0.221422,1.19285,-0.699988,-0.844126,-0.710072,-0.784076,-0.82918,-1.32593,-0.716584,0.142893,-0.623572,-1.53468,-1.71505,-1.42781,-1.71486,-2.05476,-0.138454,-0.734117,-1.54011,-1.10248,-0.938017,-1.03431,0.232736,0.361734,0.247506,0.69563,0.587148,0.188506,0.551781,0.363613,0.333812,0.198077,0.555131,0.23275,0.668185,0.699334,0.670417,0.686558,0.696181,0.790166,0.671854,0.464337,0.65103,0.82269,0.84749,0.80656,0.847465,0.886427,0.534558,0.675708,0.823481,0.750724,0.718699,0.73775
-3899.26,0.968476,0.0646997,5,31,0,3922.78,-1.03861,0.597194,0.0968627,-0.327702,-0.0314,0.0435289,0.496617,0.792892,1.40701,0.48014,1.28563,-0.768922,-0.137232,1.97561,-0.105612,0.585809,1.19235,1.31078,0.0350147,1.26759,0.115418,-0.088816,0.161832,0.285566,0.181367,-0.27289,0.36369,0.829458,0.158727,-0.386917,-0.219601,-0.55934,-0.168031,-0.652627,1.44077,0.85296,0.157263,0.49473,0.304869,0.0622134,1.16358,0.219657,1.02758,-1.02209,-0.374563,1.73585,-0.335631,0.372848,0.936742,1.07711,-0.212064,1.06316,-0.68527,-0.913873,-0.706754,-0.590331,-0.615665,-1.22488,-0.457712,-0.0123209,-0.6928,-1.31122,-1.52737,-1.78737,-1.45874,-1.92296,0.0736277,-0.429562,-1.24522,-0.754555,-0.961812,-1.21144,0.238017,0.445305,0.263553,0.73538,0.592561,0.149841,0.583129,0.407853,0.281559,0.254053,0.552818,0.256707,0.664914,0.713792,0.669684,0.643441,0.649232,0.772921,0.612471,0.50308,0.66659,0.787717,0.821622,0.856604,0.811341,0.872469,0.481601,0.605769,0.776471,0.68017,0.723485,0.770554
-3897.95,0.923465,0.0646997,6,127,0,3920.78,-0.326726,0.633667,-0.148199,-0.248326,-0.0733283,-0.0793506,0.241886,0.632314,1.1739,0.225203,0.704633,-0.781886,-0.0385673,1.06271,-0.0515421,0.303276,0.978479,1.17671,-0.597867,1.06582,0.313214,-0.458935,0.124702,-0.291512,-0.31921,0.000851992,0.189313,0.630769,0.110142,-0.467876,-0.440973,-0.415515,-0.846401,-0.622234,0.524006,0.575919,-0.707064,-0.231256,-0.264447,-0.534129,1.2192,0.230659,0.715781,-0.759357,0.0209546,1.11654,0.0250531,0.419709,0.995317,1.24477,-0.561109,1.20217,-0.375309,-1.20437,-0.541382,-0.97467,-0.999196,-0.497994,-0.547585,0.0272874,-0.516104,-1.08307,-1.24133,-1.39165,-1.60692,-1.51617,-0.233993,-0.346472,-1.54758,-0.895026,-1.14985,-1.25481,0.228078,0.44259,0.328323,0.681214,0.494762,0.246654,0.493737,0.396586,0.269863,0.223607,0.636709,0.23109,0.592741,0.769301,0.632134,0.726049,0.7309,0.621988,0.633575,0.493179,0.626236,0.747074,0.775796,0.800855,0.832983,0.819974,0.558233,0.585762,0.824565,0.709926,0.759483,0.778131
-3889.42,1,0.0646997,5,63,0,3911.31,-0.274044,0.789982,-0.534115,-0.370566,-0.102707,-0.137215,-0.0985996,0.620006,1.25751,0.52915,0.735399,-0.720927,-0.296739,1.22768,-0.311175,-0.109715,0.732934,0.939046,-0.611729,0.815016,-0.0099669,0.00953192,0.371752,-0.127696,-0.185285,-0.151967,0.463895,0.988522,0.259208,-0.451615,-0.610579,-0.444831,-0.651941,-0.459495,0.568149,0.908372,-0.590638,-0.549854,-0.247199,-0.430928,1.30268,0.518523,0.732743,-0.707641,-0.23164,1.28481,-0.222162,0.0350973,0.738249,1.0161,-0.578515,0.987727,-1.19552,-1.25573,-0.756298,-1.27966,-1.35888,-0.99363,-0.789413,-0.0518444,-0.813044,-1.48231,-1.62291,-1.7555,-1.60847,-1.62897,-0.358779,-0.300957,-1.63315,-1.37087,-1.40471,-1.33166,0.213715,0.373198,0.324593,0.66988,0.557652,0.216733,0.555313,0.491227,0.323387,0.265787,0.640726,0.271361,0.767727,0.778291,0.680549,0.782392,0.795578,0.729804,0.687705,0.512958,0.692758,0.814921,0.835196,0.852646,0.833199,0.836028,0.588745,0.574676,0.8366,0.797521,0.802931,0.791115
-3885.1,0.966861,0.0646997,5,63,0,3911.78,-0.210628,0.661195,-0.347312,-0.405065,-0.107067,-0.128602,0.00906701,0.607343,1.22955,0.462138,0.908871,-0.668981,-0.218791,1.02111,-0.167388,0.189206,0.796229,1.08277,-0.587956,0.871205,0.155136,0.142454,0.264087,-0.0809389,-0.210907,-0.227774,0.54157,0.707324,0.298995,-0.37407,-0.728187,-0.764417,-0.808495,-0.462764,0.583696,0.76191,-0.428063,-0.620394,-0.332305,-0.504358,1.24712,0.421537,0.87658,-0.684653,-0.18045,1.05114,-0.104118,0.310644,0.772247,1.13357,-0.582853,1.02173,-0.752905,-0.848684,-0.598448,-0.968404,-1.10648,-0.82064,-0.437103,-0.0638052,-0.505373,-1.14955,-1.69833,-2.0167,-1.72047,-1.58229,-0.311861,-0.399162,-1.44411,-1.39111,-1.43936,-1.35817,0.223199,0.396149,0.293887,0.664776,0.54499,0.259007,0.526006,0.422958,0.315993,0.243503,0.641724,0.264691,0.679811,0.700291,0.645301,0.724801,0.751473,0.694372,0.607569,0.515946,0.623721,0.759429,0.845317,0.882539,0.84819,0.829528,0.577339,0.598486,0.80909,0.800769,0.808356,0.795462
-3886.64,0.926362,0.0646997,5,31,0,3900.1,-0.215611,0.629428,-0.430152,-0.467522,-0.0654449,-0.084568,0.119696,0.585673,1.08952,0.213145,0.75616,-1.07153,-0.28862,1.32451,-0.110018,0.0946633,0.500935,0.949792,-0.160163,0.99461,0.00656525,0.101637,0.379016,-0.0730202,-0.0212495,-0.429908,0.0873861,0.568564,0.182169,-0.335287,-0.510834,-0.67104,-0.778547,-0.999138,0.295577,0.70795,-0.553012,0.127343,-0.387921,-0.757347,1.21482,0.302896,0.85099,-0.966537,-0.150616,1.45743,0.0432238,0.28346,0.600844,1.09541,-0.0424758,1.20119,-0.871077,-0.826798,-0.464851,-0.932125,-0.891273,-1.09702,-0.83343,-0.21943,-0.626143,-1.11998,-1.42255,-1.76713,-1.65471,-2.00812,-0.564584,-0.326426,-1.48682,-0.662468,-1.38928,-1.59795,0.228849,0.42485,0.299225,0.724429,0.537583,0.18886,0.489196,0.429606,0.354151,0.2506,0.510617,0.231264,0.70497,0.695677,0.614164,0.717506,0.709153,0.749701,0.69708,0.554639,0.651614,0.753985,0.805738,0.8541,0.839526,0.881647,0.637512,0.58089,0.815601,0.659814,0.800478,0.831732
-3890.87,0.973722,0.0646997,5,63,0,3904.94,0.0492,0.513624,-0.553885,-0.565515,-0.0561452,-0.125007,-0.127586,0.545846,1.1642,0.0528105,0.471519,-0.83307,-0.218114,1.46444,-0.452259,0.246976,0.746721,0.865742,-0.28851,0.802299,0.0289939,-0.297161,0.455278,-0.361998,-0.0522629,-0.611999,-0.0315627,0.199567,0.199318,-0.375273,-0.651149,-0.582516,-0.751444,-0.892025,0.397637,1.09708,-0.53054,-0.42885,-0.289606,-0.607886,1.26969,0.127792,0.550858,-0.745016,-0.101736,1.57646,-0.322808,0.40693,0.830417,0.988656,-0.189562,0.977504,-0.83199,-1.20172,-0.324274,-1.15462,-0.906711,-1.135,-0.929586,-0.532052,-0.549731,-1.05161,-1.46848,-1.66293,-1.53827,-1.84525,-0.323007,0.12206,-1.31437,-1.1416,-1.2363,-1.36421,0.219311,0.468095,0.365665,0.678092,0.525412,0.171298,0.580008,0.399649,0.303557,0.271178,0.547249,0.273387,0.696776,0.768831,0.580365,0.760354,0.712327,0.75676,0.716991,0.629962,0.634073,0.741083,0.812826,0.840631,0.823213,0.863569,0.580057,0.469523,0.788243,0.757973,0.774919,0.796443
-3886.45,0.980888,0.0646997,5,31,0,3912.95,0.194835,0.370463,-0.716336,-0.523186,-0.244651,-0.120535,-0.0741175,0.607367,0.861169,0.373616,0.858968,-1.02264,-0.431503,0.799454,-0.591254,-0.206768,0.14477,1.06944,-0.646027,0.464291,-0.220557,0.289388,0.0324036,0.0147518,-0.407325,-0.297976,0.311009,0.590144,-0.089659,-0.536917,-0.573039,-0.686355,-1.11094,-0.536955,0.785575,0.529731,-0.190779,-0.51396,-0.56146,-0.576975,1.13035,0.509879,1.01422,-0.829416,-0.114856,1.09711,-0.217643,0.299758,0.319009,1.41457,-0.405331,1.03727,-1.02208,-0.702008,-0.838457,-0.913073,-1.18036,-0.899285,-0.651905,-0.071851,-0.827605,-1.38218,-1.36468,-1.77603,-1.76966,-1.4966,-0.00894907,-0.524851,-1.26063,-0.849891,-1.49262,-1.10278,0.244097,0.375222,0.266155,0.696231,0.528682,0.250281,0.554197,0.425617,0.420917,0.195514,0.599968,0.261676,0.735377,0.668633,0.69814,0.713629,0.765013,0.710802,0.65744,0.517955,0.695848,0.799341,0.796519,0.855206,0.854416,0.817066,0.502237,0.628281,0.779134,0.700544,0.816471,0.750781
-3890.22,0.639307,0.0646997,5,63,0,3903.73,0.189431,0.308134,-0.820426,-0.715296,-0.255561,-0.0763417,-0.0543891,0.614939,0.809684,0.136485,0.893898,-0.791205,-0.682185,0.858939,-0.427397,-0.213856,0.0550313,0.864766,-0.505077,0.300004,-0.329911,0.362061,0.0057007,0.0115225,-0.381845,-0.215413,0.0913709,0.537917,-0.119752,-0.53108,-0.598607,-0.602791,-0.949235,-0.42422,0.744632,0.610314,-0.174358,-0.328145,-0.736972,-0.575093,1.1962,0.384159,1.16141,-0.484028,-0.246083,1.27521,0.0682091,0.420592,0.342374,1.33062,-0.148313,1.00387,-1.1047,-0.611078,-0.891096,-0.944778,-1.12689,-0.929774,-0.852016,-0.140699,-0.877707,-1.45071,-1.50928,-1.72565,-1.72107,-1.46082,-0.218626,-0.525462,-1.42522,-0.76279,-1.74382,-1.20808,0.232152,0.405124,0.238412,0.618699,0.561212,0.218367,0.482954,0.396375,0.415233,0.209057,0.53701,0.268181,0.75114,0.648187,0.709116,0.720064,0.755264,0.71703,0.70099,0.535117,0.706347,0.810107,0.818955,0.848855,0.848266,0.811658,0.55444,0.628424,0.806155,0.681959,0.851172,0.76996
-3887.44,0.982161,0.0646997,5,31,0,3911.83,0.135312,0.269676,-0.886612,-1.17895,-0.0548865,0.00168519,-0.0647548,0.471051,0.839888,-0.0695873,0.121941,-1.31957,-0.429072,0.80611,-0.911957,-0.212154,0.430129,0.621068,-0.855724,0.601736,-0.229054,-0.463356,0.382429,-0.402381,-0.442463,-0.225725,0.239611,0.383144,-0.00122299,-0.407163,-0.307335,-0.647056,-0.706536,-0.786406,0.849401,0.955835,-0.183737,-0.194756,0.211262,-0.196459,1.29335,0.354056,0.549844,-0.883152,0.0350393,1.26596,-0.435067,0.294556,0.862291,1.09157,-0.408652,1.12336,-0.956995,-1.2339,-0.389795,-1.18738,-1.16401,-0.994929,-0.524538,-0.342222,-0.743628,-1.20237,-1.39746,-1.74659,-1.76684,-1.88549,-0.270097,-0.164552,-1.365,-1.18264,-0.881436,-1.22694,0.215286,0.412399,0.365901,0.707475,0.491241,0.219949,0.607083,0.426889,0.296861,0.251323,0.600765,0.245389,0.72252,0.7745,0.596233,0.766273,0.762061,0.73006,0.628208,0.58473,0.677789,0.768946,0.80178,0.851522,0.854064,0.868241,0.567117,0.541045,0.796572,0.765423,0.70712,0.773283
