# 0.161597, 0.103502, 0.099017, 0.0988746, 0.0157071, 0.00663343, 0.152349, 0.624007, 0.610415, 0.500227, 0.507554, 0.481409, 0.462926, 0.648396, 0.641112, 0.507041, 0.49799, 0.439606, 0.533341, 0.5769, 0.780961, 0.486392, 0.427563, 0.52615, 0.495168, 0.564105, 0.461088, 0.557032, 0.478588, 0.778361, 0.599647, 0.639656, 0.489958, 0.561806, 0.467125, 0.600543, 0.541729, 0.719754, 0.547058, 0.597509, 0.670396, 0.0171547, 0.0210229, 0.0186483, 0.0197632, 0.0191058, 0.022174, 0.017924, 0.0198328, 0.0223914, 0.0224218, 0.0183619, 0.018426, 0.0176806, 0.0173178, 0.0205351, 0.0220976, 0.0159421, 0.0215944, 0.0190344, 0.0218025, 0.0171874, 0.0184048, 0.021354, 0.0248894, 0.0219922, 0.0189881, 0.0202735, 0.020137, 0.0206691, 0.0165192, 0.0233973, 0.0207667
-37.3253,0.992327,0.0274231,7,127,0,71.7727,-0.421063,-0.646849,-0.115769,-0.624514,-0.180019,0.249963,-0.363489,0.316635,-0.498521,-0.550876,0.687086,0.428676,1.98188,2.31031,1.80463,0.932708,-0.24789,1.05431,0.979577,-0.00824385,0.946352,-0.95415,-0.778671,0.726417,0.481438,-1.21253,-0.708425,-1.93657,0.320654,-3.15396,-0.0612346,0.0615613,0.320245,-0.147181,0.566438,0.540059,-0.651462,0.862946,-0.580349,1.52527,0.289684,-0.657366,-0.922298,-0.789762,-0.291944,-0.601703,0.655179,-0.25511,-0.0768279,-0.184509,-0.132926,-0.809823,-0.69189,0.31175,-0.987492,-0.922077,-0.598748,-0.736639,-0.161435,-0.985348,-0.955497,-0.423456,-1.86096,-1.08479,-1.60955,-1.23949,-1.44712,-0.667784,-0.531576,-1.57319,-0.100659,-1.67884,-0.818727,-0.521338,-0.537916,-0.145933,-0.227755,0.264046,0.368038,0.207922,-0.0681607,-0.441979,-0.0296585,-0.0533204,-0.366099,-0.0638406,-0.665606,-0.610043,-0.13348,-0.211049,-0.74742,-0.587801,-0.976675,-0.261958,-1.36214,-0.382878,-0.343996,-0.262088,-0.410091,-0.184135,-0.192487,-0.569765,-0.0902496,-0.547248,0.119467
-17.0396,0.965298,0.0274231,8,255,0,54.1459,-0.262885,0.639614,0.00237822,-0.360005,-0.0664632,0.12781,-0.814721,0.503526,-1.17206,-1.05845,-0.0932258,0.0626425,-0.379276,0.949034,-0.0751878,-0.0337769,-0.757761,0.514537,-0.695564,-2.38691,1.78176,-0.221448,1.10732,1.24118,1.07127,1.92814,-0.53361,-0.503447,0.709142,-1.72748,-0.400688,-1.19133,0.131157,1.34787,0.657954,0.695004,-0.699682,2.00605,-1.14405,1.41596,0.158598,-0.602796,-0.726406,-0.435037,-0.231843,-0.608789,0.553704,-0.339169,-0.0493961,-0.0130325,-0.123865,-0.904244,-1.17431,0.359058,-1.06979,-0.625312,-0.650361,-0.68034,0.137696,-1.19591,-1.12057,-0.583758,-1.63452,-1.38086,-1.90253,-1.35527,-0.814805,-0.764059,-0.598502,-1.65083,-0.00503061,-1.92396,-0.763791,-1.40489,-1.34768,-0.861663,-0.783179,-1.0057,-0.336857,-0.85258,-0.831729,-1.19627,-0.555638,-1.16496,-2.01659,0.0824414,-0.926226,-0.257157,-0.189752,-0.275307,0.156147,-1.08341,-1.06822,-0.457649,-1.68455,-1.01648,-1.41459,-0.74868,-0.136035,-0.483424,-0.464768,-1.16703,0.195377,-1.39078,-0.101747
-14.6371,0.906825,0.0274231,8,383,0,51.5761,-0.317972,0.65267,0.0576633,-0.0502919,-0.112241,0.0319375,-0.771323,0.445305,-1.25847,-0.859911,-0.0429756,-0.117315,0.196628,0.997721,0.0410799,-0.0916888,-0.214619,0.785055,-0.446652,-1.6426,2.46785,-0.576669,1.05823,0.652989,0.961503,1.92588,-0.782562,0.122089,0.424559,-1.00398,-0.867464,-1.32006,-0.554904,0.792636,0.145773,0.809532,-0.547432,1.80364,-1.20566,0.812664,0.201397,-0.54173,-0.756971,-0.370886,-0.25478,-0.668677,0.670277,-0.392751,-0.0767301,-0.083872,-0.149741,-0.973949,-1.2148,0.359914,-1.08172,-0.644807,-0.633989,-0.59498,0.142787,-1.18311,-1.06267,-0.570522,-1.68411,-1.43005,-1.91531,-1.33592,-0.825396,-0.714856,-0.643678,-1.70683,-0.00852831,-1.82,-0.804031,-1.33172,-1.15425,-0.790461,-0.823564,-0.683764,-0.327034,-0.75303,-0.812153,-0.866894,-0.421735,-0.97022,-1.50278,0.327623,-1.02812,-0.300088,-0.480544,-0.343162,0.0862817,-1.1198,-0.716956,-0.582265,-1.2184,-1.15761,-1.35915,-1.01842,-0.418359,-0.70641,-0.410835,-1.0151,0.0318463,-1.30821,-0.40944
-26.1102,0.996966,0.0274231,7,127,0,60.1464,-0.27344,0.187588,0.0500398,-0.554538,-0.204888,0.0849695,-0.416237,0.324793,-0.790041,-2.22753,-0.850838,-0.429567,-0.102345,-0.200054,0.380474,-1.43085,0.234334,0.0982697,-0.628041,-1.12431,2.36273,-1.27169,0.379235,-0.246194,0.732958,0.470349,-0.0756653,-0.226529,-0.826469,-1.4208,-1.28967,-0.376279,-0.542313,0.947613,-0.333342,0.476942,-1.40398,2.37963,-1.03613,0.648769,0.359099,-0.535184,-0.651805,-0.691318,-0.451151,-0.712376,0.576176,-0.276587,-0.113423,-0.25399,-0.0813773,-0.891925,-0.975796,0.451962,-1.0544,-0.673541,-0.553237,-0.678121,0.0425014,-0.787133,-0.777714,-0.481136,-1.59201,-1.21278,-1.93289,-1.48194,-1.10629,-0.806653,-0.436485,-1.80155,0.100613,-1.77542,-0.968486,-0.672837,-1.13973,-0.692584,-0.555757,-0.449478,-0.481213,-0.292662,-0.880968,-0.340127,-0.38432,-0.620221,-0.781406,0.351161,-0.829272,-0.293064,-0.496199,-0.178177,-0.263471,-0.440812,-0.489812,-0.684669,-0.877702,-0.835115,-0.53845,-0.592377,-0.108459,-0.524504,-0.261329,-0.872241,0.356652,-0.752764,-0.205521
-50.4651,0.993586,0.0274231,7,127,0,77.4639,0.019151,-0.127305,0.0910183,-0.398414,-0.325954,0.207519,-0.863887,0.176402,-0.64295,0.354654,0.162209,-0.651005,-1.13613,1.46862,-0.0742216,-0.0750536,1.22813,0.792941,-0.624127,-1.15059,2.15365,0.702562,0.185551,0.113704,-0.645184,1.55238,0.311167,-1.31148,1.0712,1.29535,-0.893479,-1.64501,0.068868,-0.575643,-0.0287646,0.46381,-0.779956,0.533774,-0.964931,-2.38182,0.511751,-0.557971,-0.798923,-0.266751,-0.309608,-0.407647,0.708187,-0.115063,0.0747115,-0.0173531,-0.114759,-0.99243,-0.98506,0.538109,-0.668184,-1.03278,-0.242199,-0.696668,0.0488119,-1.25981,-0.945826,-0.413253,-1.39188,-1.04386,-2.08875,-1.42637,-1.10314,-0.82493,-0.267217,-1.5803,0.119167,-1.55394,-0.741499,-0.977304,-0.801325,-0.835273,-0.978725,-1.0643,-0.604818,-0.876979,-0.877126,-0.647241,-0.72401,-0.973984,-1.06685,-0.483978,-0.739953,-0.831155,-0.843829,-0.977698,-0.590042,-0.808996,-1.09524,-0.674925,-0.635384,-1.0215,-1.15407,-0.851738,-0.965431,-0.868961,-0.782069,-1.00147,-0.769728,-1.0341,-1.28405
-49.2079,0.999342,0.0274231,7,127,0,79.1979,-0.274982,-0.0383915,0.0333246,-0.197427,-0.222081,0.11439,-0.634224,0.26647,-0.816192,0.336666,-0.527311,0.521908,0.385745,2.42197,2.9122,0.454522,0.56199,-0.118291,0.832247,-1.04979,0.462698,1.19104,-0.449743,2.58768,-0.826612,0.16426,-0.0182385,0.0240719,-1.49752,-1.64968,0.73661,-1.25785,-1.51021,0.615354,-1.73243,1.31826,0.696164,-0.286527,-0.839152,-0.790077,0.373972,-0.489701,-0.821483,-0.615623,-0.302583,-0.555751,0.425439,-0.188565,0.215644,-0.141169,-0.0513732,-0.779106,-1.12029,0.422421,-0.896461,-0.670392,-0.379622,-0.49274,0.131528,-0.828603,-0.885989,-0.509439,-1.72688,-1.22541,-1.92157,-1.80073,-1.05218,-0.664763,-0.312412,-1.78007,-0.0176387,-1.55549,-0.731787,-0.851715,-0.544513,-0.774737,-0.495151,-0.531434,0.0111596,0.141792,-0.513107,-0.48447,-0.665745,-0.412455,-0.913961,-0.510929,-0.316848,-0.754067,0.055317,-0.854492,-0.590454,-0.639084,-0.62781,-1.03327,-1.07381,-0.437939,-0.969404,-1.03665,-0.47025,-1.09586,-0.282947,-0.448717,-0.710575,-0.857833,-0.844756
-49.3757,0.986424,0.0274231,7,255,0,80.3913,-0.49117,0.44049,0.127753,-0.454784,-0.263113,0.0885493,-0.620621,0.216967,-0.757863,-0.298591,-0.391828,-1.75443,-0.35412,-1.26617,0.981157,0.381873,0.557619,0.623335,0.665175,-0.78985,0.571481,-0.212276,-1.44826,1.34974,0.115649,0.851505,1.36441,-0.0945093,0.134704,1.61115,1.3338,0.741152,3.23015,0.616134,0.956082,0.561257,-1.12637,1.23668,0.364033,0.982732,0.436847,-0.762672,-1.12944,-0.499759,-0.255136,-0.550366,0.543859,-0.505184,-0.108328,-0.22396,0.172054,-0.796634,-1.01641,0.520908,-0.943707,-0.856243,-0.372005,-0.882835,-0.185213,-1.01437,-0.988859,-0.585124,-1.67933,-1.36175,-2.06686,-1.66273,-0.956463,-0.813082,-0.474271,-1.60814,0.0813945,-1.72291,-0.821775,-0.785052,-0.685406,-0.705635,-1.00127,-0.697454,-0.895339,-0.407743,-0.537768,-0.499637,-0.485378,-0.4763,-0.791992,-0.496629,-0.666678,-0.934847,-0.327772,-0.595529,-0.435873,-0.324589,-0.641127,-0.591395,-0.271056,-0.331231,-0.459816,0.0802146,-0.486941,-0.413183,-0.498847,-0.865005,-0.352302,-0.541638,-0.407401
-41.4585,0.999832,0.0274231,7,127,0,77.0024,-0.973901,0.27611,0.0449945,-0.0333653,-0.311707,0.241501,-0.264233,0.131255,-0.21903,-0.836445,0.483614,0.241985,0.350337,1.03962,0.345649,-0.842658,0.0827822,-1.01214,-1.30886,-0.323653,0.215658,0.156731,1.10969,1.88284,-1.6212,0.686627,0.165919,-0.412604,0.0301062,-1.09992,0.168537,-0.537019,0.0812986,0.271133,-0.132466,0.422016,0.0636875,1.056,-1.91983,0.813664,0.375407,-0.277771,-0.951536,-0.448055,-0.261743,-0.615585,0.510417,-0.396899,-0.196275,0.0219262,-0.243107,-0.732281,-1.04857,0.229487,-1.06704,-0.888193,-0.779698,-0.872596,0.0857021,-1.07201,-1.01916,-0.544133,-1.66819,-0.981864,-2.13894,-1.22817,-1.385,-0.60778,-0.218952,-1.48444,-0.108574,-1.52188,-0.893502,-0.292982,-0.374021,-0.200757,-0.232472,-0.21825,-0.127779,-0.218865,-0.374836,-0.253368,-0.397081,-0.436028,-0.306714,-0.235927,-0.243662,-0.118582,-0.0171015,-0.477023,-0.17411,-0.242456,-0.31839,-0.260282,-0.408603,-0.242112,-0.33472,-0.253563,-0.228646,-0.28162,-0.208842,-0.255874,-0.125629,-0.51622,-0.157436
-48.3197,0.999113,0.0274231,7,127,0,85.7582,-0.312436,-0.246055,-0.545509,-0.37572,-0.106228,0.240468,-0.455039,0.176541,-0.196038,-0.731202,-0.0840332,-0.269348,1.0108,1.5831,0.6335,1.27009,0.429255,-1.03965,-0.305007,-1.07778,0.743603,-0.189387,-0.435338,1.59278,-0.884723,0.345767,-1.03111,-0.553431,1.02495,0.801206,-0.669963,-2.10273,-0.50264,-0.572583,-0.525755,0.581434,-0.655537,0.201031,-1.22167,-0.176115,0.545677,-0.576409,-0.790392,-0.364373,-0.396415,-0.579753,0.572471,-0.398334,-0.0431161,-0.0227237,-0.0578666,-0.820708,-1.09103,0.743705,-0.780918,-1.27801,-0.756367,-0.780253,0.112185,-1.08314,-1.24249,-0.642879,-1.78099,-1.63948,-1.85521,-1.59845,-1.01155,-0.767495,-0.301894,-1.39514,0.155319,-1.53678,-1.27805,-0.489647,-0.584126,-0.469874,-0.50259,-0.276592,-0.175557,-0.3432,-0.230816,-0.379258,-0.638579,-0.508885,-0.645312,-0.323762,-0.488473,-0.531894,-0.173848,-0.611229,-0.393997,-0.637072,-0.552742,-0.274093,-0.313593,-0.573315,-0.826256,-0.543775,-0.556123,-0.547856,-0.352392,-0.570768,-0.419549,-0.670714,-0.48613
-45.194,0.984474,0.0274231,7,127,0,89.7355,-0.94669,0.170374,-0.124003,-0.363107,-0.130135,0.0981289,0.0774009,0.085296,-0.4542,0.874995,1.5392,-0.623703,-1.37227,-0.233033,0.141874,1.17434,0.563383,-0.87816,-1.51806,0.175148,1.21219,0.0793984,2.09902,0.92908,-0.904911,-0.693922,-0.829182,0.506886,0.359392,-0.408121,-0.0187568,-0.237219,-0.890566,-1.91909,-0.582393,-0.192666,-0.819221,-0.560984,-0.218366,-0.133888,0.470438,-0.592474,-0.648,-0.618172,-0.182784,-0.745212,0.676839,-0.383085,-0.0335483,-0.0737492,-0.109824,-0.757883,-1.05447,0.529578,-0.954613,-0.80621,-0.477144,-0.633171,0.121858,-1.2169,-1.04673,-0.68489,-1.80287,-1.24802,-2.26764,-1.53912,-1.24592,-0.874135,-0.706481,-1.82229,-0.216665,-1.61317,-0.925535,0.0386594,0.152034,0.208688,0.0242015,-0.0396481,0.0575241,0.0895022,0.177567,0.125455,0.00249738,-0.0520838,0.0923403,0.180796,0.0841733,0.256439,0.156648,0.00021568,0.0182122,0.00667501,0.120636,0.108056,0.0425898,0.075801,0.0571671,0.00143925,-0.0862899,0.0277251,0.0609673,0.00752463,0.0295513,0.0587751,0.0659808
