lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0150186
# Diagonal elements of inverse mass matrix:
# 0.188301, 0.0936661, 0.092281, 0.0868673, 0.012961, 0.00556553, 0.176504, 0.0215112, 0.234234, 0.203066, 0.215686, 0.204156, 0.206187, 0.251729, 0.210237, 0.224759, 0.221434, 0.226817, 0.200909, 0.222937, 0.219282, 0.219397, 0.252097, 0.222019, 0.208179, 0.22049, 0.213698, 0.24104, 0.214581, 0.224288, 0.207845, 0.219976, 0.199798, 0.20437, 0.243003, 0.244675, 0.217534, 0.221395, 0.2158, 0.194076, 0.176883, 0.609086, 0.179521, 0.179945, 0.178898, 0.179356, 0.17702, 0.180195, 0.179701, 0.180624, 0.180271, 0.180283
-4167.74,0.950825,0.0150186,7,191,0,4184.84,0.23824,0.117571,0.247067,-0.460633,-0.270538,0.0463958,-0.41504,0.599276,-0.816323,-1.07323,-0.774362,-0.334639,-0.428041,0.373506,-0.349799,-0.598863,-0.436366,-0.0225336,-0.766003,-0.894974,0.126328,-0.750808,-0.581503,-0.283454,-0.833195,0.0754396,-0.937345,-1.20254,-0.504764,-1.1504,-0.766711,-0.411183,-0.754265,-0.303092,-0.031329,0.268366,-0.736539,0.792895,-0.582851,-0.0113751,0.0937828,0.018572,0.102803,0.0612891,0.10476,0.08117,0.0692569,0.0888916,0.110792,0.0460825,0.0896993,0.101635,0.241497,-0.271223,-0.212542,0.407638,0.0189439,1.22421,0.0287451,0.445628,0.257721,0.70462,-0.241863,-0.432353,0.738182,-0.260198,-0.375163,-0.0707056,-0.245692,0.764449,-0.504153,-0.48918,0.00789079,-0.803081,-0.787708,-1.10453,-1.08388,-0.601951,-0.309938,-0.0873987,-1.27327,0.600157,-0.987319,-0.129265
-4167.69,0.999263,0.0150186,9,639,0,4187.64,-0.322197,0.180407,0.467443,0.119271,-0.448106,0.286812,-0.54268,0.530852,-1.5818,-1.26064,-0.899721,-0.135681,-0.0588628,-0.210954,0.246499,-1.03319,-0.70363,-0.431083,-0.466303,-0.865932,-0.021401,-0.901789,-0.4605,0.319415,-0.738696,-0.135741,-0.655317,-1.54798,-0.585958,-0.930692,-1.09345,-0.257551,-0.602429,-0.210613,-0.565598,-0.196728,-0.720944,0.302264,-0.759941,-0.41757,-0.00846796,0.0373749,0.00583763,-0.017764,-0.0468962,0.00987044,0.0135137,0.00333576,0.0383369,-0.0500268,-0.00973281,0.00954102,0.0690799,-0.243453,-0.0703942,0.362652,0.160327,1.30683,0.142363,0.385647,0.344776,0.672093,-0.119317,-0.200915,0.75338,-0.327831,-0.147429,0.223172,-0.214214,0.766836,-0.386428,-0.395107,0.024513,-0.59407,-0.752827,-1.03059,-0.772995,-0.540194,-0.0217806,0.219292,-1.0246,0.778348,-0.844517,-0.0274745
-4174.59,0.957851,0.0150186,6,63,0,4195.51,-0.427594,0.0970972,0.456632,0.261436,-0.409163,0.291922,-0.614271,0.428007,-1.58289,-1.09214,-0.815199,-0.0853407,-0.0155988,-0.219046,0.330718,-0.761227,-0.667889,-0.14173,-0.70371,-0.791998,-0.0486838,-0.56173,-0.587027,0.0962298,-0.680528,-0.141966,-0.522752,-1.57075,-0.563441,-1.37917,-0.976144,-0.232383,-0.822699,-0.499259,-0.544158,-0.422421,-1.0468,0.202885,-0.823421,-0.654605,0.128952,0.047243,0.099495,0.151517,0.0786897,0.0792079,0.197319,0.146286,0.123888,0.0949159,0.167932,0.163661,-0.186409,-0.304307,-0.168869,0.168656,0.0135478,1.08595,0.0346032,0.393344,0.178482,0.754651,-0.557873,-0.295698,0.61525,-0.0811669,-0.314644,-0.0652002,-0.275176,0.638658,-0.350781,-0.531545,-0.0495379,-1.11531,-0.615959,-0.889071,-0.929275,-0.781067,0.0916714,0.0967175,-1.24487,0.746833,-0.821446,-0.219208
-4177.29,0.989772,0.0150186,7,191,0,4197.85,0.722653,0.315129,-0.0684525,-0.327308,-0.0544989,-0.0191438,-0.633998,0.490729,-1.01579,-0.947605,-0.904484,-0.685009,-0.632562,0.216168,-0.876464,-0.65153,-0.50679,-0.0202683,-1.41024,-1.00668,0.28103,-0.566565,-0.714877,-0.672555,-0.90935,-0.18834,-1.12855,-1.1278,-0.52769,-1.46442,-0.967314,-1.3585,-1.06039,-0.830858,-0.482551,-0.0588924,-1.32659,0.554825,-1.18464,-0.50916,0.0432986,0.0622234,-0.0600857,0.161749,-0.0790932,0.0617142,0.00896332,0.0114252,-0.0415113,-0.0193466,-0.0144596,0.0867236,0.0779417,0.123081,0.0893283,0.430626,0.395096,1.23968,0.165898,0.468004,0.513667,1.00685,-0.367041,-0.0328485,0.903743,0.0317236,-0.202344,-0.101751,-0.263053,0.449916,-0.513335,-0.513127,0.0750396,-0.894997,-0.559888,-1.08652,-0.715131,-0.450917,-0.21249,0.195625,-1.05155,0.870674,-0.882956,-0.149743
-4179.32,0.991191,0.0150186,9,1023,0,4212.51,0.00990545,-0.0329794,-0.0502867,0.0160413,-0.396499,0.144809,0.0590067,0.615077,-0.939339,-0.823169,-0.466941,-0.0455069,0.446947,0.40252,0.497297,-0.348409,0.0594908,0.102123,-0.228388,-0.277067,0.673621,0.118451,0.24313,0.540865,-0.0923423,0.499108,-0.0254114,-0.672164,0.186038,-0.697889,-0.704749,-0.231729,-0.57085,-0.228716,-0.180553,0.631382,-0.311837,0.674689,-0.482648,-0.151978,-0.22686,0.110956,-0.341901,-0.0814731,-0.296464,-0.223671,-0.26406,-0.126069,-0.108932,-0.184755,-0.253516,-0.0686775,0.296883,-0.0386849,0.0423462,0.497822,0.634309,1.41201,0.507541,0.791465,0.762627,0.853721,0.0720513,0.0868338,0.97233,0.239465,0.0243308,0.177834,0.0938655,0.910895,-0.0653607,-0.147876,0.33936,-0.786878,-0.306827,-0.819206,-0.625242,-0.314838,0.0702501,0.769106,-0.592964,0.974532,-0.569925,0.18075
-4178.41,0.993831,0.0150186,7,127,0,4211.31,0.273877,0.113385,0.176028,-0.0240891,-0.260859,0.160961,-0.239937,0.522886,-0.976486,-0.560876,-0.42266,-0.0299871,0.217149,0.440094,0.652256,-0.161458,0.251388,0.430614,-0.419012,-0.652041,0.440577,-0.182898,-0.0584746,0.301873,-0.247553,0.318883,-0.239152,-0.622563,0.363261,-0.64515,-0.638657,-0.339667,-0.270454,-0.0664987,-0.0465684,0.0535494,-0.503867,0.763222,-0.540897,-0.325503,-0.517014,0.0950633,-0.527505,-0.412363,-0.626301,-0.697715,-0.445205,-0.620564,-0.477232,-0.613203,-0.574837,-0.5554,0.436344,0.489063,0.511916,0.729914,0.808548,1.76944,1.06144,1.1223,1.3135,1.52461,0.246782,0.186885,1.24495,0.504571,0.47112,0.605195,0.417116,1.19765,0.276728,0.395912,1.07199,-0.0958435,-0.078454,-0.427764,-0.00783145,0.109558,0.613915,0.639638,-0.324723,1.39028,-0.23422,0.257499
-4179.28,0.985707,0.0150186,10,1023,0,4206.98,0.207927,-0.445667,-0.504265,-0.323342,-0.403291,0.102319,0.309659,0.480515,-0.408023,-0.255353,-0.0930636,0.57397,0.67236,0.869301,0.49108,-0.160546,0.378291,0.60282,-0.0367623,0.184767,1.34487,0.465597,0.745473,0.875291,0.532482,0.792624,0.389083,-0.244491,0.658631,0.0210825,-0.320088,0.0834903,-0.44641,0.18849,0.273851,0.996705,-0.265778,1.2193,-0.46164,0.0398834,-0.329683,0.114878,-0.340267,-0.265183,-0.221801,-0.316365,-0.280173,-0.358864,-0.201574,-0.412601,-0.339205,-0.208361,0.500191,0.238358,0.0757658,0.912334,0.60369,1.50193,0.287228,0.694642,0.74429,1.01811,0.0095824,0.205719,1.30349,0.243478,0.13275,0.205806,0.421644,0.866259,0.0482135,-0.101398,0.469373,-0.414637,-0.102126,-0.700825,-0.68851,-0.0409139,0.207263,0.815101,-0.783466,1.24757,-0.78216,0.146565
-4181.26,0.983814,0.0150186,8,255,0,4205.01,-0.415656,0.274312,0.554078,-0.067663,-0.233213,0.177548,0.393663,0.476633,-0.466138,-0.331306,0.0701729,0.774371,0.632588,0.858551,0.434578,0.219181,0.521359,0.728821,0.0255004,-0.198275,0.822032,-0.126519,0.0986626,0.52685,-0.114835,0.377641,-0.222855,-0.837946,0.218773,-0.083644,0.0134057,-0.0472584,0.283829,0.54811,0.420319,0.883678,0.0215158,1.42614,0.128908,0.568192,-0.49077,0.0469139,-0.481797,-0.496432,-0.416572,-0.436195,-0.514934,-0.534742,-0.409034,-0.459816,-0.455704,-0.427376,0.410333,0.187089,0.519075,0.966174,0.707392,1.69403,0.31283,0.946609,1.08428,1.32025,0.166815,0.165113,1.34465,0.29158,0.409264,0.567869,0.249236,0.966767,0.00819463,-0.0902745,0.655875,0.210935,-0.15875,-0.799008,-0.15437,-0.0011258,0.438752,0.835601,-0.45767,1.38104,-0.23626,0.450065
-4188.76,0.993522,0.0150186,8,511,0,4224.03,0.0586912,-0.263154,-0.295695,-0.484773,-0.257149,0.274516,0.101209,0.479814,-0.758258,-0.454248,-0.489113,0.149844,0.341525,0.248322,0.849519,-0.206952,0.105027,0.316164,-0.116423,-0.422189,0.833691,0.0696319,-0.40786,0.550653,0.0902741,0.33097,0.0518908,-0.819289,0.184674,-1.03183,-0.241357,0.170768,-0.23092,0.609081,-0.562644,0.234403,-0.331259,0.685162,-0.628715,-0.105667,-0.190268,0.0686694,-0.294598,-0.148475,-0.24947,-0.263014,-0.08307,-0.0822843,-0.312803,-0.309742,-0.167748,-0.202778,0.395795,0.226231,0.193488,0.312722,0.45414,1.43593,0.666664,0.704015,0.913348,1.15592,0.069529,0.166121,1.1778,0.298501,-0.218777,0.284995,0.180825,0.74842,-0.0042328,-0.148276,0.434497,-0.93916,-0.245594,-0.47255,-0.528505,0.110317,-0.120495,0.603215,-0.595293,0.978516,-0.767029,0.0284144
-4169.55,0.489677,0.0150186,7,255,0,4205.74,0.139731,-0.159691,-0.22574,-0.450933,-0.225318,0.083554,-0.136797,0.37418,-0.420669,-0.249215,-0.229243,0.223763,0.0601427,0.698486,0.163511,0.190035,0.229052,0.674526,-0.392228,-0.224859,0.478903,-0.163502,-0.0371639,0.362414,-0.0748672,0.426208,0.0144058,-0.194491,0.271795,-0.431961,-0.473854,-0.125276,-0.171386,0.121968,0.0461621,0.826536,-0.0355217,1.22265,-0.663567,-0.231744,-0.0932417,0.0115592,-0.0877175,-0.0886424,-0.0898492,-0.0947778,-0.0895182,-0.0893196,-0.0935219,-0.0829614,-0.100099,-0.0760258,0.278781,0.192264,0.057113,0.525674,0.161031,1.27035,0.162486,0.833471,0.625566,1.09858,-0.227081,-0.0211216,0.588115,-0.155268,-0.220772,0.0943158,-0.0308492,0.599679,-0.0700944,0.0441743,0.298388,-0.543066,-0.57241,-0.783805,-0.526979,-0.25292,-0.132207,0.583908,-0.518697,1.07088,-1.03658,-0.366084
