# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim1_model
# start_datetime = 2022-02-28 16:19:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df4572cb4.json
# init = 2 (Default)
# random
#   seed = 1920737066
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00494416
# Diagonal elements of inverse mass matrix:
# 0.182117, 0.169095, 0.655985, 0.580217, 0.443566, 0.515617, 0.761755, 0.679024, 0.756162, 0.679413, 0.54295, 0.568249, 0.650167, 0.522722, 0.564467, 0.525544, 0.468535, 0.478541, 0.505901, 0.498903, 0.433204, 0.463619, 0.551407, 0.499263, 0.46281, 0.505878, 0.633662, 0.565827, 0.662442, 0.861912, 0.708297, 0.486659, 0.565069, 0.449922, 0.465286, 0.169267, 0.00775039, 0.0169629, 0.0137444, 0.0261792, 0.0226496, 0.0138437, 0.0165409, 0.0202503, 0.0200087, 0.0139475, 0.0159842, 0.0144754, 0.013854, 0.0217189, 0.0297136, 0.0203355, 0.0142086, 0.018155, 0.0142942, 0.0173797, 0.0199984, 0.0205831, 0.015771, 0.015633, 0.0343553, 0.0206141, 0.0166937, 0.0394161, 0.0143159, 0.0151153, 0.0522231, 0.0180504, 0.022081, 0.0153249, 0.0290778, 0.0591074, 0.0165421, 0.0174133, 0.0139096, 0.0178062, 0.072769, 0.0169579, 0.0137962, 0.0147083, 0.0199342, 0.0176845, 0.0344396, 0.0163071, 0.0170725, 0.0233753, 0.0141056, 0.019278, 0.0139329, 0.0179327, 0.0155358, 0.0283182, 0.0380143, 0.0167439, 0.0289997, 0.0167599, 0.0186744, 0.0470989, 0.0381251, 0.0150553, 0.013696, 0.0213129, 0.0141687, 0.0142874, 0.014307, 0.0224783, 0.0266129, 0.0260847, 0.0165075, 0.0138882, 0.0220527, 0.0252238, 0.0347161, 0.0285803, 0.0139133, 0.0139138, 0.0163322, 0.259618, 0.17413, 0.175279, 0.174446, 0.174555, 0.174376, 0.173718, 0.174125, 0.174817, 0.174489, 0.174518, 0.173938, 0.174042, 0.174412, 0.174535, 0.174711, 0.174416, 0.174207, 0.173436, 0.173796, 0.174095, 0.173777, 0.174002, 0.17482, 0.174205, 0.17418, 0.174875, 0.174946, 0.174375, 0.174526, 0.174227, 0.174556, 0.174663, 8.12797e-05
7260.3,0.97726,0.00494416,8,255,0,-7205.24,0.389474,0.125032,0.697857,1.08944,-0.44281,0.39568,-1.6893,-1.02001,1.76618,-1.82381,0.216892,0.400582,1.18935,-0.99733,0.744008,-0.807199,-0.0630512,0.288408,-0.384507,-1.02767,0.0579777,-0.648194,0.619063,0.0630944,-0.261668,-0.346485,-1.31785,-0.687403,-1.44611,1.95364,1.78061,-0.241092,0.848803,0.232797,-0.303406,-0.398366,0.58687,0.491685,-0.211319,-1.62044,0.937445,-0.461474,0.407175,-1.2071,0.788847,0.0646282,-0.768751,-0.161632,-0.468711,0.899714,1.45354,0.855537,-0.339898,-1.00062,-0.378736,-0.946942,0.755673,-1.25228,0.339532,-0.724878,-2.05907,-1.21976,-0.835672,1.8483,-0.284833,-0.695869,-2.7192,-0.939618,-1.35231,-0.64047,-1.75826,2.50581,0.501135,0.553164,-0.0566067,0.606305,-3.2661,0.509418,-0.187563,0.241138,0.763165,0.560669,1.6578,0.469676,0.565496,-1.39445,-0.19485,0.708469,-0.321656,-1.0221,0.312244,1.43277,1.73014,-0.777521,1.29625,-0.838768,0.723062,2.08837,1.8235,-0.477863,-0.170465,-1.37895,0.00149906,-0.172765,-0.377509,-1.36761,1.1607,-1.6343,-0.878737,-0.274973,-1.35253,1.06644,1.6242,1.35499,-0.104739,-0.227528,-0.849554,0.15548,1.20125,0.148132,0.892054,-0.846747,-0.381986,1.74417,-0.735396,0.481052,0.978807,1.2273,-0.174543,1.23042,0.116509,0.375435,0.782643,-0.0343091,-0.267461,0.505791,-0.0207069,1.06297,0.400944,0.34086,-0.016807,-0.518184,-0.0222148,-0.699676,1.99815,1.71437,0.510281,1.0861,0.610315,0.488284,0.193416,0.885304,-0.183986,0.40116,-1.05386,-0.586793,1.35757,-1.14773,0.276392,0.404581,0.955031,-0.570962,0.644243,-0.438277,0.0810312,0.326299,-0.143299,-0.592137,0.165492,-0.327315,0.557049,0.169063,-0.0575746,-0.116765,-0.794638,-0.354677,-0.884148,1.48839,1.36765,-0.0432157,0.717375,0.287491,-0.0867023,-0.10981,-0.522383,-1.34936,0.151793,-0.669191,-0.159407,-1.10677,0.0645854,-0.360437,-0.849523,-0.493223,-0.673439,0.12965,0.454674,0.103724,-0.597842,-0.985603,-0.620635,-0.954098,0.0451164,-1.13329,-0.199104,-0.823775,-1.60677,-1.1142,-0.888797,0.686345,-0.565526,-0.806751,-1.99418,-0.9498,-1.192,-0.774238,-1.43024,1.07222,-0.104264,-0.0737301,-0.431587,-0.0425432,-2.31514,-0.0994032,-0.508441,-0.256849,0.0495132,-0.0693258,0.574548,-0.122727,-0.066493,-1.21673,-0.512717,0.017414,-0.587136,-0.998206,-0.215119,0.442482,0.617005,-0.85467,0.362367,-0.890614,0.0259781,0.827236,0.67179,-0.67881,-0.498407,-1.20763,-0.397486,-0.499756,-0.619915,-1.20097,0.282813,-1.35749,-0.914071,-0.55974,-1.19212,0.227499,0.554829,0.396837,-0.459834,-0.531895,-0.896944
7256.84,0.996929,0.00494416,8,255,0,-7174.4,0.196999,0.351173,0.713117,0.992049,-0.660324,0.631044,-1.56883,-1.13867,1.74228,-1.63635,0.174388,0.499651,1.16013,-0.660878,0.818446,-0.410964,-0.128699,0.562102,-0.847861,-1.16907,-0.286657,-0.725089,0.627772,0.0342494,-0.178796,-0.492446,-1.74981,-0.648486,-1.61982,1.93693,1.58565,-0.121135,0.488846,0.308997,-0.0700977,-0.41697,0.590075,0.539067,-0.193373,-1.62652,0.927005,-0.391935,0.449803,-1.17871,0.784409,0.0708801,-0.813325,-0.087573,-0.406662,0.936252,1.45654,0.827873,-0.269603,-1.05609,-0.364445,-0.934068,0.750216,-1.16811,0.389573,-0.742204,-2.04168,-1.2296,-0.903898,1.82809,-0.283863,-0.697556,-2.68662,-0.950746,-1.31065,-0.643204,-1.729,2.55409,0.460451,0.562831,0.0218321,0.636523,-3.23547,0.463147,-0.21016,0.219686,0.746632,0.565945,1.64418,0.503239,0.526006,-1.33404,-0.189812,0.822444,-0.340481,-1.04913,0.313058,1.42125,1.73541,-0.809379,1.2989,-0.782518,0.692532,2.13265,1.81535,-0.442081,-0.123847,-1.31763,-0.0124685,-0.133625,-0.327889,-1.30724,1.19233,-1.63018,-0.832996,-0.317278,-1.33678,1.0481,1.61278,1.36313,-0.134777,-0.257061,-0.882357,0.132947,1.24236,0.153266,0.916763,-0.846364,-0.38919,1.77894,-0.728739,0.498239,1.00559,1.25701,-0.151475,1.23829,0.156752,0.395656,0.800301,-0.00630825,-0.283171,0.549516,-0.00852505,1.08571,0.411235,0.358303,0.00568062,-0.531012,-0.0243333,-0.691321,1.98758,1.68717,0.543131,1.09446,0.620796,0.494928,0.196832,1.05862,-0.119716,0.801181,-0.767586,-0.460834,1.59362,-0.815734,0.475531,0.707482,1.17848,-0.120111,0.93482,0.058107,0.259395,0.752017,-0.253452,-0.48251,0.146753,-0.165901,0.798847,0.375596,0.22367,5.01426e-07,-0.896644,-0.111274,-0.803951,1.73243,1.48192,0.264789,0.699777,0.571524,0.301185,-0.0988804,-0.531075,-1.37674,0.130032,-0.648241,-0.151553,-1.11249,0.0458896,-0.375146,-0.896893,-0.468645,-0.656931,0.135488,0.442495,0.0715369,-0.576056,-1.04014,-0.63202,-0.96814,0.0257131,-1.10624,-0.187093,-0.854926,-1.62171,-1.14253,-0.950337,0.66174,-0.584471,-0.82858,-2.00228,-0.977982,-1.19035,-0.796509,-1.43721,1.09013,-0.14527,-0.084858,-0.404088,-0.0413743,-2.32614,-0.143679,-0.540981,-0.287339,0.0235986,-0.0830206,0.553221,-0.120022,-0.106587,-1.20416,-0.528973,0.0683333,-0.617879,-1.03604,-0.232243,0.421672,0.607051,-0.894564,0.349475,-0.878714,-0.00832482,0.84145,0.654223,-0.677831,-0.490049,-1.19447,-0.424328,-0.495819,-0.610449,-1.18834,0.286595,-1.3789,-0.9085,-0.604188,-1.20577,0.201485,0.534688,0.387379,-0.496499,-0.568656,-0.937627
7243.31,0.984946,0.00494416,8,255,0,-7169.26,-0.341842,0.872581,0.642068,1.03626,-0.581837,0.748724,-2.1965,-1.36305,1.90999,-2.22509,-0.34202,0.508246,0.955846,-0.840864,1.33623,-0.686466,-0.144449,0.293475,-0.989985,-1.21944,-0.147909,-0.764562,1.0232,0.0769825,-0.586088,-0.847856,-1.79403,-0.818238,-1.38366,2.43651,1.79003,0.133808,1.17076,0.258448,-0.12861,-0.472025,0.598723,0.525344,-0.172914,-1.54103,0.944795,-0.369779,0.453133,-1.11096,0.742202,0.0829347,-0.785455,-0.0700495,-0.379987,0.964659,1.39569,0.821339,-0.24636,-1.01227,-0.343315,-0.910808,0.705419,-1.0823,0.39758,-0.706349,-1.91905,-1.28598,-0.831103,1.81359,-0.260536,-0.668918,-2.58315,-0.885395,-1.27789,-0.613589,-1.75457,2.5176,0.455722,0.556418,0.0396125,0.607067,-3.12932,0.454196,-0.191335,0.233606,0.730033,0.568106,1.65443,0.51084,0.497309,-1.26844,-0.165302,0.749358,-0.317437,-1.00528,0.32209,1.37162,1.68322,-0.78222,1.41185,-0.757516,0.689687,2.07436,1.79477,-0.406447,-0.111217,-1.23763,0.00290157,-0.11384,-0.30892,-1.26001,1.22816,-1.52767,-0.787016,-0.301342,-1.30783,1.09823,1.66758,1.39418,-0.115916,-0.235181,-0.851361,0.130118,1.28239,0.203971,0.961221,-0.822862,-0.351623,1.81122,-0.664949,0.500786,1.05313,1.27661,-0.104687,1.29325,0.18787,0.441094,0.838112,0.0440828,-0.21886,0.562507,0.0471844,1.16851,0.443264,0.393652,0.0469314,-0.520915,0.0597544,-0.639411,2.03831,1.74763,0.569671,1.14242,0.662574,0.560023,0.194908,1.53793,0.499002,1.35331,-0.537722,-0.00258853,2.09893,-0.556076,0.652981,1.19891,1.4863,0.332689,1.73053,0.431823,0.779834,1.06101,0.236943,0.0896188,0.777613,0.38168,1.52954,0.922009,0.496273,0.3282,-0.279309,0.347216,-0.0158213,2.43698,2.0219,0.958494,1.62429,1.03852,0.790004,-0.157489,-0.575553,-1.39468,0.0936454,-0.69342,-0.200724,-1.13718,-0.0276517,-0.42237,-0.942295,-0.513965,-0.699532,0.105538,0.36361,0.0197296,-0.619526,-1.07809,-0.677576,-1.01735,-0.0496744,-1.12002,-0.233984,-0.894932,-1.621,-1.24197,-0.969626,0.613814,-0.628014,-0.872522,-2.01862,-1.00213,-1.23713,-0.839395,-1.52253,1.03532,-0.199174,-0.138885,-0.448308,-0.10856,-2.34562,-0.200087,-0.586581,-0.33216,-0.0349376,-0.131887,0.518518,-0.166173,-0.174275,-1.23147,-0.570995,-0.0233669,-0.662082,-1.07391,-0.279182,0.349196,0.535755,-0.940358,0.37328,-0.925567,-0.0590938,0.769942,0.602543,-0.715374,-0.538613,-1.21302,-0.470288,-0.540184,-0.656983,-1.22642,0.263301,-1.38668,-0.94323,-0.652445,-1.25505,0.185511,0.526395,0.362703,-0.541427,-0.612833,-0.981755
7241.72,0.999925,0.00494416,8,255,0,-7165.13,-0.485322,1.01775,0.651981,1.15047,-0.198716,1.01354,-1.92599,-1.31647,1.59746,-1.90363,0.0638695,0.98289,1.0418,-0.916621,1.27839,-0.350736,-0.218486,0.422752,-0.917298,-0.727357,0.212134,-0.839951,1.09371,-0.232221,0.0474201,-0.636377,-1.78953,-0.805746,-1.60795,2.37403,1.68716,0.279431,1.07307,-0.0311364,-0.208942,-0.492779,0.595103,0.490197,-0.169553,-1.48069,0.977967,-0.30868,0.453962,-1.15019,0.755116,0.0994126,-0.840697,-0.0363162,-0.368598,0.988041,1.37786,0.837283,-0.275364,-1.01348,-0.292318,-0.850944,0.763942,-1.11573,0.481201,-0.654709,-1.94183,-1.25614,-0.828501,1.80185,-0.206452,-0.700882,-2.57632,-0.971479,-1.27867,-0.54416,-1.72946,2.47159,0.484923,0.517564,-0.00579854,0.625517,-3.149,0.538472,-0.169294,0.311397,0.725072,0.535926,1.62416,0.385747,0.558117,-1.29675,-0.224756,0.699969,-0.292242,-0.950376,0.383733,1.35421,1.71478,-0.786303,1.35852,-0.86608,0.626241,2.0586,1.77042,-0.453679,-0.152414,-1.26922,0.00675048,-0.11185,-0.35996,-1.33039,1.22584,-1.54294,-0.801015,-0.221796,-1.31669,1.11342,1.66701,1.42676,-0.0768519,-0.188619,-0.770841,0.133347,1.3025,0.205035,0.97009,-0.791655,-0.326072,1.83373,-0.663079,0.54398,1.07714,1.30418,-0.0593548,1.30115,0.220513,0.449061,0.86348,0.0417978,-0.212507,0.580505,0.0689827,1.1723,0.476883,0.423132,0.0548566,-0.488131,0.0546893,-0.591018,2.06784,1.78352,0.594768,1.19173,0.670566,0.569792,0.195416,1.76784,0.888193,1.67856,-0.237957,0.159439,2.05926,-0.223377,1.05939,1.65858,1.69698,0.420133,1.85124,0.789079,0.875304,1.29338,0.419692,0.54353,1.15606,0.47012,1.73083,0.866348,1.04867,0.602846,-0.148987,0.492422,-0.0306006,2.56557,2.11775,1.19994,1.71737,0.997452,0.881526,-0.201062,-0.593681,-1.37394,0.089211,-0.676476,-0.222625,-1.17726,-0.0434077,-0.433619,-0.99308,-0.514391,-0.712133,0.0952066,0.327186,0.00548963,-0.656649,-1.0959,-0.666739,-0.999179,-0.0381554,-1.15675,-0.206415,-0.882398,-1.64837,-1.24031,-0.985822,0.579507,-0.61564,-0.909876,-2.02596,-1.07091,-1.25372,-0.816611,-1.52199,0.978072,-0.2042,-0.184776,-0.49623,-0.120533,-2.36676,-0.172333,-0.593527,-0.307466,-0.0612872,-0.173849,0.473763,-0.263221,-0.160642,-1.26448,-0.626532,-0.0762262,-0.666693,-1.05835,-0.264419,0.313112,0.527693,-0.96071,0.315677,-1.00819,-0.120102,0.732296,0.560802,-0.762765,-0.583482,-1.24809,-0.488762,-0.559342,-0.706992,-1.2845,0.236721,-1.41099,-0.969466,-0.624771,-1.27635,0.169819,0.499261,0.356291,-0.538514,-0.605027,-0.951509
7237.28,0.808152,0.00494416,8,255,0,-7160.6,0.0133842,0.411929,0.583055,1.01678,-0.126051,0.581488,-2.47604,-1.69984,2.14445,-2.52547,-0.0926396,0.775905,0.946396,-1.07714,1.39153,-0.859044,-0.267509,0.787089,-0.961881,-1.51908,0.473935,-0.826911,0.981495,0.140574,-0.599258,-0.807282,-1.36251,-0.39466,-1.83113,2.63758,2.22551,0.00956544,1.37458,0.262641,-0.313703,-0.355759,0.594432,0.499822,-0.15372,-1.49611,0.991744,-0.352188,0.531046,-1.16647,0.775553,0.141102,-0.814129,-0.0856712,-0.364412,1.02759,1.41954,0.872292,-0.293713,-1.00778,-0.265485,-0.858802,0.781036,-1.13102,0.487762,-0.696153,-1.92684,-1.27275,-0.861796,1.85331,-0.212433,-0.642606,-2.68383,-0.96629,-1.24403,-0.548103,-1.74691,2.47753,0.498734,0.501205,-0.024075,0.641597,-3.16932,0.592553,-0.203251,0.264311,0.764562,0.505169,1.61115,0.413283,0.561551,-1.28936,-0.174635,0.756579,-0.259188,-0.927648,0.375986,1.37694,1.72803,-0.761084,1.39457,-0.804194,0.714544,2.08558,1.81365,-0.481713,-0.129917,-1.28159,0.0323632,-0.06831,-0.344694,-1.30315,1.2638,-1.55364,-0.793635,-0.264156,-1.28563,1.13636,1.734,1.43911,-0.0344576,-0.163105,-0.763066,0.135602,1.13701,0.078021,0.819426,-0.945035,-0.471594,1.68121,-0.825042,0.397967,0.911461,1.15988,-0.263086,1.17168,0.0458639,0.300985,0.700183,-0.102721,-0.336898,0.420177,-0.102776,1.00682,0.336492,0.266582,-0.0953114,-0.62397,-0.0857236,-0.763169,1.91139,1.6274,0.456383,1.04061,0.547827,0.419341,0.19472,1.00477,0.338434,0.750968,-1.03174,-0.579171,1.66226,-1.06056,0.357915,0.864324,0.96373,-0.216103,1.22327,-0.088941,0.255957,0.870845,-0.148901,-0.47378,0.688259,-0.0702057,0.984195,0.493892,0.0625288,-0.058761,-0.382489,0.181821,-0.655722,1.94978,1.70952,0.417506,1.21338,0.565063,0.229023,-0.0586488,-0.447135,-1.24509,0.233765,-0.56511,-0.0400881,-1.04915,0.105254,-0.271883,-0.839703,-0.406684,-0.572377,0.255071,0.488063,0.162759,-0.530351,-0.954817,-0.513572,-0.866258,0.108513,-1.02807,-0.0658175,-0.769574,-1.50113,-1.11232,-0.868038,0.745907,-0.482036,-0.737744,-1.95111,-0.930152,-1.09525,-0.681568,-1.39418,1.11696,-0.0592954,-0.0578268,-0.37007,0.025627,-2.23971,-0.00352634,-0.476578,-0.198644,0.0987209,-0.0554701,0.601961,-0.11009,-0.0219551,-1.1222,-0.459568,0.0939757,-0.509828,-0.907182,-0.132261,0.462737,0.671438,-0.808171,0.473217,-0.833797,0.0689888,0.883975,0.72233,-0.642104,-0.432986,-1.11758,-0.336521,-0.396364,-0.560656,-1.13039,0.395484,-1.27929,-0.827521,-0.512782,-1.11998,0.319731,0.674985,0.499693,-0.376241,-0.452713,-0.809349
7256.36,0.999323,0.00494416,8,255,0,-7180.2,-0.369367,0.5791,0.670974,1.47544,-0.558494,0.875834,-1.79637,-1.07695,2.01741,-1.48998,0.469653,1.2007,1.24271,-0.646635,0.835245,-0.451031,-0.275567,0.543386,-0.482167,-0.729382,-0.501679,-0.565251,1.00773,-0.153206,-0.116207,-0.201836,-1.5779,-0.843573,-1.94818,2.27855,2.03947,0.357947,0.982525,0.403358,0.432637,-0.27446,0.606346,0.506888,-0.14731,-1.53242,1.02281,-0.296315,0.469744,-1.13507,0.813883,0.142659,-0.758832,-0.0334414,-0.379938,0.91101,1.38,0.83032,-0.281109,-0.904473,-0.359805,-0.822115,0.821691,-1.14253,0.313422,-0.674907,-1.89153,-1.12344,-0.749848,1.80361,-0.225541,-0.665553,-2.60268,-0.888065,-1.26129,-0.600453,-1.66284,2.38379,0.496034,0.672386,0.0629316,0.641108,-3.09244,0.55997,-0.12892,0.25124,0.903572,0.644225,1.65714,0.448291,0.595247,-1.2843,-0.156529,0.790677,-0.321232,-0.910926,0.316558,1.36889,1.6897,-0.738461,1.36662,-0.714473,0.741157,2.07123,1.77291,-0.411036,-0.0886114,-1.2036,0.0584953,-0.148498,-0.287754,-1.26505,1.28088,-1.44433,-0.769274,-0.264714,-1.17,1.1404,1.63447,1.35786,-0.0487898,-0.216816,-0.734225,0.189525,1.06017,0.00314558,0.735557,-1.01864,-0.549637,1.59646,-0.896495,0.313084,0.832402,1.076,-0.347565,1.07514,-0.0390378,0.235638,0.612882,-0.190932,-0.434373,0.363067,-0.176445,0.903722,0.263147,0.20568,-0.177536,-0.73071,-0.157837,-0.850661,1.82259,1.55051,0.361891,0.952898,0.466095,0.336113,0.193278,1.56909,0.204365,1.16676,-0.626216,-0.143506,1.93273,-0.420641,0.894226,1.38474,1.41293,0.145225,1.13953,0.27647,0.394202,0.943698,0.255579,0.0897041,0.242487,0.199831,1.25526,0.476303,0.501128,0.443673,-0.479628,0.013085,-0.72808,2.10795,1.94753,0.819273,1.23835,0.849743,0.869388,0.0328889,-0.363781,-1.20364,0.345718,-0.45413,0.0103672,-0.962708,0.219035,-0.18796,-0.734575,-0.294737,-0.504834,0.277927,0.562298,0.229001,-0.444909,-0.822884,-0.492626,-0.772947,0.223769,-0.967226,-0.0844179,-0.683688,-1.42138,-0.955651,-0.729128,0.819152,-0.411216,-0.678016,-1.85259,-0.812935,-1.03924,-0.638543,-1.28272,1.17094,0.0263077,0.133238,-0.236302,0.114273,-2.14955,0.0650755,-0.35263,-0.122122,0.273417,0.116163,0.730342,-0.00264078,0.0864651,-1.05319,-0.369371,0.204964,-0.469238,-0.826797,-0.0825164,0.555562,0.75008,-0.722223,0.554184,-0.707678,0.174937,0.981424,0.800539,-0.52369,-0.328189,-1.00426,-0.238992,-0.364501,-0.448939,-1.04152,0.502193,-1.15022,-0.740907,-0.434968,-0.983887,0.417019,0.716594,0.548875,-0.304044,-0.405926,-0.719654
