# 0.150296, 0.103202, 0.0874869, 0.0884887, 0.0160341, 0.00714698, 0.15088, 1.02485, 0.271657, 0.242815, 0.202924, 0.224268, 0.191297, 0.322393, 0.237445, 0.213657, 0.217794, 0.219984, 0.195771, 0.221492, 0.353371, 0.194538, 0.21449, 0.209455, 0.186897, 0.253454, 0.187036, 0.252123, 0.190526, 0.302053, 0.217365, 0.221483, 0.192867, 0.19307, 0.222714, 0.277132, 0.200918, 0.35438, 0.225133, 0.194387, 0.958886, 0.0178775, 0.0220427, 0.0183369, 0.0194591, 0.0182206, 0.0237334, 0.0186755, 0.0189457, 0.0225628, 0.0189998, 0.0199434, 0.0173599, 0.0151179, 0.0190692, 0.0216321, 0.0222917, 0.0157903, 0.0191832, 0.0220549, 0.0177247, 0.019297, 0.0193903, 0.0245231, 0.0217474, 0.0185415, 0.0212684, 0.0234596, 0.0207192, 0.0209105, 0.0176257, 0.0244241, 0.0224116
50.4041,0.899801,0.0122139,8,255,0,-24.733,-0.485673,0.306784,-0.0735853,-0.446514,0.0189387,0.151109,-0.397574,0.330472,-0.9774,-0.559914,-0.705545,-0.0638837,-0.60301,0.143923,-0.203786,-0.246153,-0.280532,-0.228792,-0.762022,-1.23848,0.406399,-0.777754,-0.665883,-0.199249,-0.455169,0.25773,-0.616485,-0.688835,-0.564944,-1.41937,-0.441271,-0.962391,-0.61746,-0.233341,-0.230245,-0.321398,-0.731108,0.444484,-0.711344,-0.507264,0.0505426,-0.714035,-0.542767,-0.432703,-0.275329,-0.636984,0.579097,-0.318295,-0.167744,0.0194256,0.0204642,-0.846727,-0.94585,0.151775,-0.981544,-0.819506,-0.607347,-0.894253,-0.00467879,-1.09054,-0.829635,-0.834924,-1.76535,-1.24167,-1.77136,-1.37215,-1.13227,-0.622652,-0.539607,-1.36612,-0.0113508,-1.4043,-1.18431
53.8903,0.935684,0.0122139,9,511,0,-21.1162,-0.474439,-0.101579,0.141855,0.00632589,-0.156395,0.0291205,-0.318739,0.585249,-0.529611,-0.511547,-0.207927,0.11548,0.186447,0.798396,0.203627,0.194714,0.0635088,0.0113955,-0.366706,-0.387792,0.506717,-0.596362,-0.303888,-0.112863,-0.54538,0.173248,-0.738538,-0.647219,-0.147519,-1.09786,-0.835759,-1.35405,-1.01731,-0.459018,-0.314,0.191246,-0.870358,0.650673,-1.02213,-0.66145,0.0487359,-0.724011,-0.789841,-0.620024,-0.327288,-0.384347,0.503045,-0.36257,-0.0476427,-0.311841,-0.293765,-0.828338,-0.897197,0.34363,-0.906048,-0.720656,-0.63174,-0.9171,-0.0409404,-1.14146,-0.875417,-0.485238,-1.59186,-1.16504,-2.1175,-1.54743,-0.938118,-0.83349,-0.422532,-1.48794,0.263558,-1.59955,-1.06647
41.3292,0.985343,0.0122139,9,511,0,-16.2125,-0.407331,0.266718,-0.168158,-0.513875,-0.00820377,0.110752,-0.465332,0.566297,-0.954828,-0.875131,-0.596398,-0.558276,-0.676828,0.408833,0.0924014,-0.474112,-0.251657,-0.319468,-0.763717,-0.839497,0.731746,-0.454264,-0.520532,-0.103494,-0.233129,0.249603,-0.48935,-0.747882,-0.19846,-1.44499,-0.639646,-1.12512,-0.792477,-0.365529,-0.420138,0.0974616,-0.846142,0.611798,-1.08785,-0.00189093,0.0701718,-0.714142,-0.881782,-0.337809,-0.707788,-0.687799,0.712775,-0.129856,-0.411826,-0.0560499,0.0268306,-0.799768,-0.819528,0.337287,-0.886037,-0.885865,-0.639438,-0.804826,-0.14574,-0.972048,-0.971432,-0.55883,-1.76231,-1.37052,-1.97358,-1.50273,-1.27528,-0.85198,-0.341279,-1.57552,-0.0493021,-1.82364,-0.672056
33.7596,0.940288,0.0122139,9,511,0,4.41388,0.128933,0.0796871,-0.287903,-0.371323,-0.198275,0.0540384,-0.76524,0.48072,-1.50612,-1.36703,-0.888306,-1.2979,-1.05265,-0.00748426,-0.498544,-1.18805,-0.862806,-0.472447,-1.05803,-0.913813,0.371467,-0.772422,-0.644282,-0.385031,-0.703133,-0.0708596,-0.974026,-1.14033,-0.333588,-1.40209,-1.22699,-1.33825,-1.32643,-0.764755,-0.764465,-0.0626519,-1.06831,-0.0681252,-1.3595,-0.476865,0.0825992,-0.768624,-0.844584,-0.408831,-0.722933,-0.69722,0.727433,-0.278262,-0.3202,-0.323155,0.0691395,-0.716666,-0.701268,0.290424,-0.960779,-0.880108,-0.61439,-0.883353,-0.137674,-1.20584,-0.989092,-0.458624,-1.64455,-1.3524,-2.01071,-1.56832,-0.9913,-0.836649,-0.397775,-1.59354,-0.0320821,-1.61512,-0.616788
26.091,0.984465,0.0122139,9,511,0,8.32944,0.22646,-0.299272,-0.214706,-0.786346,-0.292338,0.109922,-0.719657,0.366971,-1.33754,-1.31737,-0.890924,-0.670767,-0.460484,-0.223331,-0.185286,-1.11013,-0.622801,-0.578253,-1.02431,-1.01164,-0.304573,-1.18509,-0.839736,-0.523497,-0.822723,-0.450377,-1.2771,-1.49158,-0.746363,-1.63932,-1.10861,-1.22188,-0.972082,-0.640017,-0.431251,-0.280783,-0.655528,0.369578,-1.08074,-0.204063,0.0850307,-0.454718,-0.799444,-0.477766,-0.183321,-0.251827,0.607517,-0.26549,-0.239452,-0.150361,-0.0914931,-0.919123,-0.886201,0.167383,-1.07829,-0.91049,-0.618316,-0.721509,-0.0986489,-1.31648,-0.988249,-0.545201,-1.64957,-1.30431,-2.37869,-1.57836,-1.24629,-0.880366,-0.723071,-1.59278,-0.0404932,-1.85971,-0.523722
25.1518,0.998667,0.0122139,8,255,0,8.54997,-0.673,0.437906,0.243752,0.101894,-0.101102,0.18654,-0.600608,0.437158,-1.40738,-1.1963,-0.680941,-0.298001,-0.651268,0.358969,-0.161064,-0.40026,-0.387529,-0.624858,-1.01869,-1.22368,0.517716,-0.933094,-0.7985,-0.228455,-0.689438,0.0853544,-0.750982,-0.992027,-0.742452,-1.54681,-0.829063,-0.604897,-1.16792,-0.300303,-0.976313,-0.346517,-1.25319,0.173689,-1.1169,-0.93768,0.0933494,-0.799775,-0.838361,-0.305733,-0.517933,-0.762083,0.872797,-0.352809,-0.153159,-0.0677731,-0.187296,-1.0301,-0.962532,0.430647,-0.946022,-0.769154,-0.52249,-0.89316,0.217554,-0.994553,-0.76284,-0.719535,-1.71965,-1.19731,-1.40854,-1.50696,-0.970915,-0.749297,-0.343236,-1.55183,0.0875974,-1.44322,-1.23473
-0.611719,0.998717,0.0122139,8,511,0,35.9266,-0.501658,0.252178,-0.0354032,-0.33449,-0.183022,0.0911292,-0.182827,0.476824,-0.865984,-0.848561,-0.371267,0.181824,-0.479653,0.418073,0.0464878,-0.578937,-0.251143,-0.418044,-0.711512,-0.574632,0.556948,-0.419568,-0.336195,-0.0625691,-0.259708,0.11758,-0.942262,-0.920678,-0.276485,-0.722424,-0.51677,-0.516291,-0.690754,-0.140641,0.179425,-0.13733,-0.588544,0.235457,-0.564866,-0.0361541,0.210653,-0.504685,-1.00711,-0.177258,0.0267908,-0.428213,0.683626,-0.385853,-0.108866,0.0858557,0.0489253,-0.594388,-0.799057,0.450538,-0.898222,-0.797249,-0.401573,-0.87435,-0.225542,-1.19918,-0.829774,-0.434786,-1.51856,-1.04947,-1.55631,-1.50873,-1.11081,-0.701507,-0.551451,-1.49779,-0.1974,-1.48081,-1.02832
-7.49199,0.999632,0.0122139,9,767,0,34.7705,-0.0250709,-0.182583,0.0524655,-0.27985,-0.107255,0.238124,-1.03525,0.495403,-1.20634,-1.41955,-0.649674,-0.580222,-0.446459,-0.165735,-0.632831,-0.877526,-0.591117,-0.652282,-0.433609,-1.45598,-0.165774,-1.12818,-1.04344,-0.751252,-0.990727,-1.03824,-1.12743,-1.40605,-0.980284,-2.08572,-0.741536,-1.37078,-1.59579,-0.438134,-1.26946,-0.759559,-1.16238,-0.315451,-1.32653,-1.07323,0.240204,-0.401422,-1.05759,-0.579603,-0.37252,-0.415869,0.958059,-0.715976,-0.344043,-0.236811,-0.0928321,-0.888721,-1.05138,0.599843,-1.1171,-0.572519,-0.60437,-0.895624,-0.215759,-0.87641,-1.10624,-0.445026,-1.88646,-1.16552,-1.76748,-1.41384,-0.796555,-0.783383,-0.582204,-1.44453,0.127377,-1.29511,-0.844543
-7.70936,0.999453,0.0122139,8,255,0,59.3369,-0.657703,0.497665,0.437244,-0.00464708,-0.322857,0.0188959,-0.532926,0.621474,-1.58699,-1.38136,-0.642573,-0.753549,-0.673421,0.207414,-0.633356,-1.01146,-0.368842,0.0121477,-0.671028,-0.931115,0.522025,-0.905407,-0.0883426,-0.227251,-0.538087,-0.152298,-0.53069,-1.20168,-0.492726,-1.11813,-0.823415,-0.670451,-0.328282,0.224522,-0.104324,0.474832,-0.429852,0.941074,-0.888659,0.0100226,0.193007,-0.749525,-1.16192,-0.699061,-0.370509,-0.334193,0.711998,-0.528339,-0.344938,-0.256553,0.0629458,-0.779282,-1.01047,0.521671,-1.09509,-0.412637,-0.736032,-0.834852,-0.33234,-0.982754,-1.19483,-0.777271,-1.80205,-1.12598,-1.87679,-1.35374,-0.681956,-0.869722,-0.549522,-1.30105,0.354533,-1.69494,-0.859578
21.0249,0.998826,0.0122139,8,255,0,18.3414,-0.23021,-0.0172114,-0.0439953,-0.178608,-0.372261,0.141626,-0.557819,0.506505,-1.61927,-1.29184,-0.575826,-0.147871,-0.00310365,0.0688656,-0.347417,-0.739644,-0.640774,-0.694345,-0.690824,-1.15962,0.277212,-0.786411,-0.366616,-0.489584,-0.893759,-0.0549113,-0.872692,-1.01927,-0.440692,-1.27356,-1.02263,-1.03287,-0.926564,-0.776474,-0.414872,-0.19181,-0.708677,0.113298,-1.31292,-0.902732,0.139461,-0.64563,-0.875434,-0.385874,-0.102457,-0.396154,0.773179,-0.36281,-0.0242976,-0.118081,-0.0344874,-0.692112,-0.835136,0.337824,-0.882133,-0.704623,-0.893225,-0.871186,0.113054,-1.11148,-0.971237,-0.646097,-1.69058,-1.32102,-2.12004,-1.57761,-1.05419,-0.896197,-0.443949,-1.36806,0.0635597,-1.84005,-0.828848
12.3824,0.997968,0.0122139,8,255,0,35.1025,0.344617,-0.397697,-0.187658,-0.70398,-0.170581,0.0195543,-0.701683,0.457262,-1.19553,-1.17865,-0.457528,-0.609451,-0.303972,0.113785,-0.275135,-0.545474,-0.238698,-0.300143,-0.794566,-0.502087,-0.00509444,-1.27935,-0.615729,-0.839842,-1.32652,-0.443959,-1.12782,-0.790011,-1.0012,-1.59325,-1.05524,-1.32817,-0.932868,-0.948271,0.132067,-0.120261,-0.993146,-0.0148212,-1.483,-0.602716,0.178627,-0.715546,-0.946859,-0.428387,-0.292337,-0.409994,0.612457,-0.303301,-0.0884127,-0.0592192,-0.208869,-0.935953,-0.646416,0.250149,-1.03608,-0.637978,-0.851039,-0.883167,-0.131012,-1.09844,-0.717214,-0.817021,-1.70907,-1.38251,-1.98493,-1.55068,-1.25867,-0.612174,-0.636115,-1.66887,-0.0331953,-1.9968,-0.872204
28.2284,0.990828,0.0122139,8,511,0,5.59024,-0.252928,-0.180217,-0.0913407,-0.379282,-0.27637,0.1487,-0.433825,0.46406,-0.950434,-1.33806,-0.559108,-0.505563,-0.447995,0.210864,-0.169002,-0.67858,-0.357806,-0.20057,-0.722082,-0.636498,0.0699411,-0.710351,-0.624361,-0.11482,-0.553699,-0.21486,-0.554404,-1.34455,-0.593664,-1.35292,-0.898554,-0.792299,-0.855262,-0.418344,-0.675016,-0.217047,-0.609775,0.222998,-1.01332,-0.427567,0.180134,-0.646388,-1.15082,-0.59669,-0.27374,-0.613605,0.572219,-0.277791,-0.16265,-0.148439,0.0558706,-0.887159,-0.780478,0.214813,-0.879139,-0.835657,-0.443341,-0.736316,0.0961795,-0.907121,-1.03494,-0.607186,-1.71624,-1.28341,-1.90284,-1.64019,-1.04446,-0.980221,-0.450484,-1.63076,-0.0266394,-1.79446,-0.792382
