lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.07159
# Diagonal elements of inverse mass matrix:
# 0.183252, 0.185076, 0.0179851, 0.217925, 0.22078, 0.222225, 0.217179, 0.212096, 0.220001, 0.223766, 0.209584, 0.207558, 0.217327, 0.21503, 0.219819, 0.228196, 0.21366, 0.223054, 0.215171, 0.215992, 0.217554, 0.216138, 0.214943, 0.216575, 0.219917, 0.216276, 0.218579, 0.222172, 0.209199, 0.220532, 0.215474, 0.211278, 0.222952, 0.217431, 0.224503
-3921.83,0.982239,0.07159,5,63,0,3935.39,0.599528,-0.63237,0.662339,-1.12884,-2.32429,-1.10387,-0.241346,-0.883117,-0.0918959,-0.689694,-0.722449,-1.02354,-0.407658,-1.09828,-1.21866,0.540956,-0.413517,-0.54019,-0.20106,-0.799517,0.327164,-0.913275,-1.1281,-0.66979,-1.23154,-0.893358,-0.47158,-0.74611,-0.309042,-0.320441,0.295924,-1.37762,0.467818,-1.10537,-0.520707,-0.52931,-1.72476,-0.504342,0.358182,-0.283589,0.507632,-0.0901663,-0.122921,-0.424015,0.19187,-0.498749,-0.619132,1.14048,0.186011,0.0593375,0.398468,-0.19999,0.926692,-0.313747,-0.528572,-0.0702626,-0.632014,-0.29383,0.127948,-0.146582,0.290486,0.279087,0.895452,-0.778095,1.06735,-0.505842,0.078821,0.629322,0.848741,0.623479,0.4114,0.570426,0.375749,0.522526,0.530692,0.604444,0.452179,0.622165,0.650021,0.242231,0.453631,0.48517,0.40168,0.549831,0.283596,0.5778,0.62915,0.517558,0.652946,0.572934,0.468057,0.53658,0.427885,0.430678,0.289986,0.685269,0.255908,0.623831,0.480305
-3925.43,0.90231,0.07159,5,31,0,3937.98,0.524597,-0.552519,0.655293,-0.913473,-1.49133,-0.989408,-0.454064,-0.652838,-0.308452,0.0267401,-1.04372,-1.13392,-0.106708,-1.34245,-1.43298,0.652629,-0.879612,-0.272182,-0.269771,-0.391478,0.116882,-0.759477,-0.946907,-0.19995,-1.59489,-1.20475,-0.54672,-0.586199,-0.481398,-0.335302,-0.263926,-0.643993,0.481193,-0.745235,-0.316192,-0.388876,-0.966732,-0.464811,0.0705329,-0.128241,0.216145,0.551337,-0.519119,-0.609325,0.417889,-0.817851,-0.908384,1.17723,-0.355015,0.252415,0.254825,0.133119,0.641479,-0.23488,-0.42231,0.324647,-1.07029,-0.680158,-0.0221229,-0.0616017,0.0431989,0.189295,0.260671,-0.119396,1.00579,-0.220638,0.208405,0.596012,0.724468,0.614155,0.482374,0.532016,0.446173,0.365554,0.626942,0.647787,0.397022,0.69378,0.712669,0.235551,0.587833,0.437229,0.436636,0.466769,0.344912,0.558452,0.604036,0.419544,0.744653,0.663774,0.505531,0.515396,0.489202,0.452817,0.435199,0.529814,0.267805,0.554937,0.448086
-3918.72,0.960948,0.07159,5,31,0,3938.46,0.355777,-0.436595,0.493074,-0.475844,-1.55575,-0.774886,-0.26868,-0.438313,-0.0424595,-0.138733,-0.67143,-0.852723,-0.181804,-0.971079,-1.09928,0.544407,-0.103105,-0.346053,0.157115,-0.392966,0.150811,-0.498332,-0.779597,-0.0503825,-1.19675,-0.722482,-0.498591,-0.352117,-0.586945,-0.161711,-0.00107263,-0.576485,0.569514,-0.561912,-0.368453,-0.120067,-1.19998,-0.419109,0.0870966,-0.0825365,0.313318,0.217044,-0.315653,-0.496946,0.173973,-0.615302,-0.743498,0.900184,0.252672,0.00972385,0.512892,-0.0371892,0.506588,-0.142555,-0.42382,0.305394,-0.840978,-0.366705,-0.142814,0.00365986,-0.231168,0.194066,0.354704,-0.220708,0.925291,-0.206135,-0.0126759,0.529981,0.768521,0.60327,0.47824,0.520622,0.422305,0.445951,0.578264,0.621741,0.456616,0.649149,0.67776,0.289013,0.437166,0.497569,0.374516,0.509296,0.375994,0.535579,0.604397,0.424239,0.698671,0.590663,0.535643,0.499085,0.557536,0.451635,0.412242,0.554954,0.283881,0.551352,0.503169
-3917.08,0.922579,0.07159,5,31,0,3933.5,0.262396,-0.28509,0.544955,-0.886512,-1.39192,-0.582857,0.0253434,-0.616727,0.352186,-0.0739819,-0.759367,-0.799727,0.0531631,-0.659325,-0.995892,1.04189,-0.640895,-0.152981,-0.15042,-0.355976,0.564023,-0.549888,-0.836874,-0.394685,-0.942881,-0.366477,-0.225257,-0.529434,0.235698,0.304124,0.483757,-0.974902,0.453602,-0.648187,-0.127432,-0.624117,-1.12952,-0.320461,0.287739,-0.354331,0.614582,0.188414,-0.496971,-0.537331,0.315559,-0.396929,-0.733497,1.30428,-0.3785,0.109415,0.111976,-0.0935809,0.826419,-0.287492,-0.574478,-0.13229,-0.680486,-0.104081,0.0371389,-0.267039,0.498094,0.566519,0.746153,-0.712506,0.715997,-0.385791,0.134963,0.651154,0.755751,0.579437,0.428557,0.587667,0.351015,0.453035,0.621747,0.631191,0.421759,0.59795,0.675572,0.213445,0.593511,0.472674,0.472035,0.523378,0.304403,0.571382,0.639796,0.533024,0.663847,0.525997,0.490716,0.566366,0.377989,0.36204,0.32166,0.670955,0.328275,0.595269,0.46631
-3923.68,0.862656,0.07159,4,31,0,3937.56,0.372662,-0.390412,0.478578,-0.590459,-1.33951,-0.674463,0.163495,-0.598519,0.176344,-0.343183,-0.493656,-0.808052,-0.280354,-0.927375,-1.49086,0.611368,-0.249942,-0.108228,-0.21277,-0.517379,0.384722,-0.599829,-0.671156,-0.0154779,-0.794037,-0.880042,-0.393477,-0.369087,-0.0991846,-0.357196,-0.18947,-0.64929,0.692878,-0.59067,-0.148705,-0.217797,-0.96685,-0.301801,0.536158,-0.225857,0.549006,0.0294791,-0.120994,-0.43539,0.0923085,-0.554713,-1.11819,0.98403,0.12272,0.264434,0.159892,-0.144717,0.757384,-0.227167,-0.298494,0.357184,-0.421375,-0.50738,-0.0208151,0.003575,0.273478,0.0154663,0.183192,-0.276628,1.06554,-0.218007,0.223957,0.554235,0.724491,0.574883,0.369082,0.556225,0.366095,0.492631,0.530212,0.60716,0.476939,0.635228,0.753653,0.272093,0.469358,0.434274,0.460112,0.536116,0.319214,0.556549,0.574074,0.411641,0.603812,0.624192,0.505204,0.499106,0.432054,0.496133,0.45433,0.568719,0.256252,0.554287,0.444244
-3923.3,0.974129,0.07159,6,63,0,3947.81,0.212069,-0.309344,0.567501,-0.679799,-1.33307,-0.73493,-0.196549,-0.315605,0.334055,0.146594,-0.577823,-0.79599,0.335974,-0.491554,-0.598073,1.33614,-0.492024,-0.210989,0.0702972,-0.145283,0.640071,-0.28769,-0.781466,-0.211026,-1.15397,-0.350611,-0.239263,-0.442486,-0.0593011,0.577076,0.817788,-0.812493,0.453567,-0.439773,-0.163418,-0.46773,-1.121,-0.522861,0.0155204,-0.103535,0.546124,0.358663,-0.365754,-0.583921,0.548043,-0.279485,-0.386004,1.54821,-0.279955,0.0010799,0.282366,0.0667862,0.85214,-0.0756212,-0.569397,0.0010428,-0.941904,-0.138541,-0.0271937,-0.230417,0.152768,0.789146,1.02986,-0.600424,0.665636,-0.227704,0.0486513,0.614846,0.754175,0.627816,0.49612,0.525861,0.366764,0.411283,0.590433,0.641969,0.366319,0.56942,0.59532,0.175344,0.569535,0.49973,0.429874,0.48331,0.298984,0.518896,0.638624,0.499739,0.719484,0.53458,0.506798,0.557351,0.461882,0.312352,0.263112,0.645753,0.339475,0.556681,0.48784
-3921.59,0.959379,0.07159,5,31,0,3942.64,0.240752,-0.202175,0.606522,-0.64556,-1.36949,-0.39251,0.315502,-0.693608,0.268749,-0.124262,-0.641448,-0.754934,-0.0989764,-1.14111,-1.1129,0.732102,-0.211772,-0.0996524,0.243971,-0.208622,0.394104,-0.513131,-0.34873,-0.0362564,-0.888502,-0.527094,-0.383495,0.110776,0.0756627,-0.0224981,0.365105,-0.555275,0.987349,-0.378414,0.187674,-0.404808,-1.12874,-0.151759,0.556254,-0.452856,0.5095,0.116489,-0.400696,-0.514183,0.141775,-0.900354,-0.872145,0.972853,0.0289795,0.141099,0.484723,0.0321297,0.634856,-0.27238,-0.107978,0.204495,-0.647751,-0.286342,-0.142743,0.351527,0.316414,0.218253,0.605857,-0.314523,1.2281,-0.137663,0.428425,0.599842,0.755607,0.537867,0.364415,0.611318,0.375311,0.470911,0.598855,0.625786,0.464615,0.711022,0.705192,0.274312,0.492756,0.464784,0.381138,0.491968,0.34641,0.567677,0.526968,0.449054,0.656503,0.5711,0.535625,0.413012,0.42155,0.445652,0.353005,0.577989,0.226514,0.534361,0.394502
-3923.54,0.990636,0.07159,5,31,0,3942.08,0.202863,-0.302962,0.605475,-0.620334,-1.37264,-0.831568,-0.318795,-0.218477,0.282123,0.0432283,-0.44915,-0.610396,0.276634,-0.494053,-0.72005,1.1859,-0.447311,-0.0783173,0.0132458,-0.391024,0.72106,-0.216366,-1.02828,-0.0741261,-1.05082,-0.475446,-0.115467,-0.621128,-0.1332,0.283768,0.518471,-0.909157,0.398006,-0.697143,-0.342831,-0.417472,-1.16978,-0.628705,-0.115932,-0.0156146,0.484986,0.246091,-0.246287,-0.407533,0.479496,-0.29119,-0.517187,1.38876,-0.244448,0.124545,0.216109,-0.188162,0.923922,-0.0135032,-0.825415,0.128737,-0.847956,-0.272583,0.0873955,-0.418266,0.0696628,0.486631,0.721333,-0.706294,0.600869,-0.49428,-0.139968,0.602878,0.763105,0.652196,0.528951,0.503904,0.381076,0.438786,0.561262,0.600496,0.382371,0.572288,0.62649,0.199605,0.56081,0.468904,0.446182,0.546902,0.284159,0.503376,0.695385,0.46786,0.700138,0.567727,0.478165,0.603068,0.482591,0.380688,0.327099,0.669582,0.354145,0.621114,0.534935
-3936.89,0.829396,0.07159,4,15,0,3957.9,0.253573,-0.11457,0.63506,-0.45196,-1.38054,-0.62385,-0.316024,0.1089,0.248222,-0.277837,-0.279337,-0.616979,0.251442,-0.670959,-0.587697,1.15645,-0.437998,0.0482058,0.142164,-0.350031,0.543268,0.0711898,-1.02029,-0.0787285,-0.913028,-0.536783,-0.290169,-0.44214,-0.130004,0.556931,0.394243,-0.661049,0.211962,-0.478703,-0.574432,-0.198387,-1.12697,-0.370278,-0.0624509,0.362473,0.501795,-0.0242643,-0.0257644,-0.363406,0.505014,-0.417386,-0.334124,1.41002,-0.184426,0.301778,0.395737,-0.0964582,0.796841,0.324762,-0.766713,0.174844,-0.659455,-0.28321,-0.0365959,-0.188567,0.123568,0.810504,0.647815,-0.407476,0.465534,-0.22513,-0.320859,0.549435,0.755279,0.591526,0.515608,0.410361,0.377119,0.506066,0.506441,0.589865,0.376363,0.602858,0.582763,0.196231,0.545976,0.425123,0.402337,0.524096,0.310702,0.419516,0.682809,0.4564,0.659138,0.570333,0.509148,0.547003,0.469147,0.307783,0.343482,0.600483,0.385674,0.556046,0.579534
-3926.47,1,0.07159,4,15,0,3949.42,0.296348,-0.308477,0.62697,-0.635805,-1.53422,-0.593861,0.231259,-0.834261,0.381804,0.224693,-0.899392,-0.79853,0.0576454,-0.82271,-1.16052,0.8358,-0.232117,-0.170683,0.0112994,-0.27978,0.67333,-0.666792,-0.49727,-0.27847,-1.31088,-0.819536,-0.153954,-0.127247,0.027097,-0.208845,0.407261,-0.4633,1.05027,-0.720483,0.286177,-0.339457,-1.23787,-0.297513,0.527607,-0.537913,0.678152,0.521041,-0.603044,-0.502182,0.353993,-0.526362,-0.864168,1.13215,0.0642308,0.125665,0.307647,0.0165686,0.969678,-0.370443,-0.200922,0.0178785,-1.01453,-0.523188,0.142394,0.169101,0.323445,0.0875028,0.703609,-0.166952,1.34662,-0.424135,0.582525,0.584059,0.775193,0.573834,0.371075,0.631327,0.336674,0.372609,0.646352,0.622972,0.412414,0.628634,0.703531,0.243765,0.483948,0.468625,0.423689,0.495858,0.274945,0.591566,0.550062,0.49553,0.733906,0.627893,0.464462,0.457825,0.419836,0.478138,0.331013,0.541641,0.206424,0.604472,0.358352
