lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0808963
# Diagonal elements of inverse mass matrix:
# 0.130263, 0.0970053, 0.0899698, 0.0835423, 0.0133632, 0.00963175, 0.135765, 0.0186369, 0.238477, 0.190887, 0.203822, 0.184192, 0.170305, 0.259675, 0.184543, 0.198014, 0.206525, 0.2029, 0.179358, 0.207609, 0.180256, 0.170923, 0.215936, 0.16746, 0.179874, 0.191579, 0.167237, 0.219405, 0.175099, 0.190584, 0.168512, 0.190873, 0.176762, 0.175209, 0.240099, 0.224323, 0.187784, 0.211164, 0.194267, 0.192533
-3909.3,0.876359,0.0808963,6,63,0,3928.4,-0.0499444,-0.189983,0.524956,0.0143423,-0.359842,0.148161,-0.981496,0.499549,-1.16001,-1.30281,-1.17493,-1.02787,-0.755983,0.0113095,-0.0164545,-0.982701,-0.640042,-0.728453,-0.95414,-1.07996,-0.21331,-1.59122,-0.662216,-1.00067,-1.57048,-0.810357,-1.3902,-1.69266,-1.21864,-1.77692,-1.39472,-1.04039,-1.21012,-1.06527,-1.44721,-0.755355,-1.67726,-0.179019,-1.50016,-0.975494,-0.206845,-0.776355,-0.881492,-0.753757,-0.78819,0.775439,-0.226144,-0.133718,-0.17068,-0.215108,-0.883723,-0.918469,0.602922,-0.936251,-0.298908,-0.801736,-0.873085,0.108499,-0.898059,-0.654965,-0.534349,-1.31254,-1.076,-1.61596,-1.3019,-1.20258,-1.21178,-0.622555,-1.95806,0.0841725,-1.60504,-0.699198,0.551528,0.684894,0.707131,0.679997,0.687443,0.315304,0.556296,0.53338,0.542567,0.553571,0.707593,0.71473,0.353675,0.718342,0.574175,0.690346,0.705387,0.472902,0.71055,0.658129,0.630497,0.787938,0.745735,0.834238,0.786154,0.768983,0.770614,0.650799,0.876323,0.478969,0.832722,0.66801
-3908.37,0.922086,0.0808963,5,31,0,3929.08,-0.121487,-0.133004,0.744992,-0.0623435,-0.294763,0.117914,-1.02226,0.442437,-1.05477,-1.76251,-0.151893,-0.152539,-0.679715,0.079446,-0.0660234,-1.13634,-0.927749,-0.77051,-0.746338,-0.896063,-0.407632,-1.63905,-1.20349,-0.774192,-1.53112,-0.776953,-1.5908,-1.8593,-0.872526,-2.10298,-1.09729,-0.797077,-1.38212,-0.486211,-0.697982,-0.528442,-1.24768,-0.371337,-1.71704,-1.18177,-0.342302,-1.39613,0.0201639,0.0140412,-0.767505,0.633619,-0.295746,-0.505759,-0.611582,-0.418316,-0.750063,-0.832089,0.488479,-0.87504,-0.681845,-0.380288,-0.728902,0.203222,-0.956713,-0.785232,-0.0844972,-1.49509,-0.99433,-1.42667,-1.61542,-0.753355,-0.673607,-0.588132,-1.63927,-0.320767,-1.96452,-1.11702,0.58475,0.801568,0.494959,0.49649,0.682981,0.34669,0.573402,0.623812,0.648302,0.60308,0.679193,0.696796,0.380252,0.705793,0.66415,0.593943,0.674564,0.449369,0.722463,0.686807,0.521112,0.816842,0.729942,0.806383,0.834162,0.679909,0.66231,0.642936,0.837436,0.579511,0.877022,0.753435
-3906.07,0.905412,0.0808963,5,63,0,3930.54,-0.371792,0.735999,0.51262,0.158371,-0.0523355,0.0608538,-1.00812,0.602781,-0.926031,-1.7548,-1.48625,-1.20923,-0.961285,-0.115205,-0.416203,-0.853773,-1.19113,-1.08077,-1.31519,-1.31688,0.391018,-1.42812,-0.741186,-0.696959,-0.92276,-0.117851,-1.05026,-1.37442,-0.518443,-1.82014,-0.753839,-1.39775,-1.01223,-0.8115,-1.45886,-0.587397,-1.49399,0.194033,-1.1864,-0.888578,-0.270384,-1.20052,-0.926557,-0.770264,-0.527562,0.552253,-0.0475976,-0.252584,-0.60585,-0.489093,-0.866539,-0.77637,0.660084,-1.1825,-0.498689,-0.55698,-0.710284,0.16614,-0.867633,-1.03384,-0.268568,-1.60225,-0.876421,-1.6504,-1.19452,-1.03971,-1.47565,-0.619104,-1.66447,0.141984,-1.33129,-0.978026,0.567187,0.768617,0.716376,0.683578,0.628914,0.365342,0.511897,0.562812,0.646994,0.619893,0.704025,0.684897,0.340721,0.765398,0.622151,0.635753,0.670464,0.45856,0.704253,0.73766,0.566741,0.832333,0.70608,0.838945,0.767548,0.738795,0.813914,0.650015,0.840837,0.464564,0.791053,0.726716
-3909.55,0.966876,0.0808963,6,63,0,3927.19,-0.0347748,0.144355,0.219932,-0.205399,-0.197755,0.022362,-0.724768,0.441137,-0.661011,-1.69284,-1.16628,-1.42298,-0.805028,0.200225,-0.500347,-0.910551,-0.849371,-0.741657,-1.08806,-0.906498,0.337305,-1.06405,-0.469158,-0.522523,-1.22033,-0.0523951,-1.39734,-1.17583,-0.580877,-1.89217,-0.687899,-1.26265,-0.918166,-0.729467,-0.8009,-0.0583145,-1.46679,0.393799,-0.992488,-0.583905,-0.0729385,-1.28021,-0.940773,-1.03091,-0.640354,0.625351,-0.374149,-0.32067,-0.527177,-0.395292,-0.866985,-0.753499,0.591861,-0.898119,-0.522574,-0.54815,-0.972018,0.258559,-1.26183,-0.858625,-0.398834,-1.83098,-0.792411,-1.85863,-1.24827,-1.02554,-1.12838,-0.442188,-1.95984,0.140645,-1.38886,-0.770794,0.518227,0.782485,0.719256,0.737092,0.654834,0.348565,0.592461,0.579487,0.628824,0.597556,0.704118,0.679941,0.356208,0.710563,0.627749,0.633706,0.725522,0.435718,0.779341,0.702373,0.598407,0.861878,0.688349,0.865137,0.777001,0.73605,0.755539,0.60878,0.876515,0.464897,0.80041,0.683693
-3907.73,0.997874,0.0808963,5,63,0,3931.72,0.0240612,-0.23185,0.0514691,-0.487619,-0.17716,0.168485,-0.779814,0.549755,-1.18854,-1.64406,-0.334955,-0.0469961,-1.00414,0.138994,-0.160879,-0.750762,-0.8846,-0.831047,-0.879468,-1.12558,0.0805774,-1.49259,-0.797683,-0.701561,-0.941322,-0.622821,-0.748173,-1.29174,-0.281941,-1.61641,-0.718657,-0.532028,-1.11205,-0.340174,-0.618332,-0.597636,-0.782255,-0.177784,-1.41417,-0.963475,-0.522311,-1.28345,0.0064703,-0.00170992,-1.01412,0.807696,-0.353781,-0.231367,-0.456561,-0.381355,-0.838925,-0.849113,0.515183,-1.13738,-0.490523,-0.666411,-0.660766,-0.137691,-0.568666,-0.652558,0.0877037,-1.35504,-0.912229,-1.16589,-1.50772,-0.853805,-0.566289,-0.596118,-1.17545,-0.207613,-1.72076,-1.08239,0.627688,0.783037,0.498382,0.500427,0.733827,0.308382,0.587534,0.557585,0.612198,0.5942,0.698239,0.700381,0.373979,0.757198,0.62023,0.660699,0.659432,0.534369,0.638455,0.657587,0.478088,0.794952,0.713456,0.762401,0.818724,0.701365,0.637907,0.644768,0.764129,0.551718,0.848226,0.746947
-3903.7,0.997139,0.0808963,5,63,0,3923.06,0.0505502,-0.146795,0.0877445,-0.62516,-0.171595,0.144613,-0.781636,0.511143,-1.02645,-1.72175,-0.450864,-0.150195,-0.9343,-0.0939125,-0.181427,-0.520888,-0.865833,-0.794681,-1.02355,-1.18069,0.0596227,-1.49485,-0.500498,-0.680277,-1.29927,-0.398242,-0.615623,-1.31292,-0.466907,-1.82117,-0.705349,-0.804264,-0.948788,-0.263287,-0.757775,-0.153709,-0.819335,0.0963324,-1.38913,-0.715434,-0.331871,-1.30462,-0.0708858,-0.00131401,-0.85753,0.584484,-0.263253,0.0500506,-0.401961,-0.309836,-0.897839,-0.863634,0.508554,-1.12282,-0.193589,-0.599674,-0.980966,0.0996276,-0.395198,-0.684421,-0.0808951,-1.54003,-1.03703,-1.56241,-1.47622,-0.886398,-0.907299,-0.35217,-1.36295,-0.113911,-1.84886,-0.993389,0.582215,0.786611,0.517714,0.500329,0.702144,0.357902,0.565436,0.48749,0.599159,0.576845,0.710505,0.703419,0.375532,0.754511,0.548247,0.645582,0.7273,0.475114,0.597533,0.664725,0.520213,0.823468,0.738277,0.826698,0.814001,0.708146,0.712447,0.587144,0.796239,0.528447,0.863993,0.729757
-3902.9,0.971437,0.0808963,4,31,0,3924.08,0.0215615,-0.0825665,0.243826,-0.460171,-0.214902,0.0852677,-0.679927,0.512374,-0.979425,-1.83364,-0.545076,-0.791318,-0.821915,0.417542,-0.22175,-0.999284,-0.689556,-0.687513,-1.0098,-0.897163,0.311644,-1.74916,-0.607799,-0.905856,-1.16613,-0.629401,-0.853293,-1.24929,-0.403533,-1.48728,-0.569946,-1.01791,-0.941784,-0.105938,-0.835985,-0.4372,-1.004,0.180135,-0.726696,-0.528048,-0.337548,-1.44339,-0.297198,-0.545333,-0.762083,0.94331,-0.264697,-0.416408,-0.336612,-0.308302,-0.88868,-0.728084,0.774381,-1.38273,-0.418771,-0.808563,-0.771147,-0.105376,-0.58089,-0.657508,-0.0195953,-1.23467,-0.800163,-1.78221,-1.41716,-0.605289,-1.1256,-0.788101,-1.59548,-0.0896791,-1.21311,-0.786819,0.583595,0.808979,0.573757,0.633052,0.681806,0.280232,0.56579,0.602623,0.583367,0.576471,0.708618,0.674385,0.315532,0.79943,0.603189,0.691803,0.683769,0.52632,0.641272,0.6587,0.504899,0.774636,0.690009,0.85597,0.804892,0.646865,0.755026,0.687423,0.831386,0.522405,0.770849,0.687148
-3898.8,0.990704,0.0808963,5,63,0,3915.81,-0.103346,0.0127384,0.224586,0.0162304,-0.292425,0.0845874,-0.756875,0.457688,-0.990693,-1.49705,-0.790111,-0.650404,-0.831065,0.0818401,-0.296469,-0.856922,-0.807839,-0.980077,-1.01823,-1.02078,0.0189507,-0.792317,-0.116089,-0.305948,-1.06415,-0.398318,-1.2944,-1.28071,-0.284104,-1.49167,-0.832334,-0.736033,-1.13006,-0.772179,-0.850374,-0.255552,-1.12123,-0.134182,-1.71516,-1.17743,-0.219184,-1.03649,-0.554728,-0.32328,-0.788685,0.663916,-0.362504,-0.134259,-0.42949,-0.565986,-0.89245,-0.892627,0.345851,-0.596469,-0.193071,-0.44488,-0.798006,0.0119801,-1.19506,-0.809647,-0.0644284,-1.4507,-0.667323,-1.29777,-1.29864,-0.941947,-0.860502,-0.349077,-1.47924,-0.0859301,-1.9302,-1.08272,0.554578,0.738172,0.635232,0.580124,0.687549,0.33986,0.589647,0.533514,0.605752,0.637836,0.709396,0.709432,0.414389,0.644848,0.548118,0.609421,0.689548,0.497005,0.767644,0.692034,0.516102,0.810107,0.660903,0.78546,0.785606,0.719493,0.702766,0.586394,0.814457,0.521469,0.873272,0.747007
-3898.65,0.996398,0.0808963,5,63,0,3912.71,-0.11028,-0.129465,0.221232,-0.129977,-0.217989,0.176839,-0.866389,0.506989,-1.08524,-1.86641,-0.630502,-0.535742,-0.471191,-0.0687994,0.0620885,-1.02534,-0.945783,-0.616131,-0.78923,-1.01396,0.312923,-1.7409,-1.03439,-0.610565,-0.998829,-0.346686,-0.900647,-1.43818,-0.63557,-1.7871,-1.12157,-1.22578,-1.30523,-0.446632,-1.29149,-0.944339,-1.45241,-0.236994,-1.14159,-0.866792,-0.34097,-1.46772,-0.285888,-0.464088,-0.498018,0.648041,-0.159339,-0.431262,-0.494593,-0.138298,-0.753887,-0.749278,0.804751,-1.34677,-0.729854,-0.579776,-0.666077,0.207312,-0.692232,-0.72511,-0.223673,-1.50843,-1.0601,-1.70607,-1.49243,-0.748503,-1.01923,-0.734243,-1.66704,-0.0349923,-1.24964,-0.743936,0.584426,0.81271,0.570989,0.613983,0.621993,0.343431,0.539751,0.606175,0.621188,0.53452,0.680025,0.679021,0.30901,0.793601,0.674773,0.641016,0.660624,0.448357,0.666463,0.673731,0.555686,0.818828,0.742709,0.846326,0.816442,0.678852,0.734822,0.675736,0.841181,0.508747,0.777238,0.677856
-3898.73,0.942615,0.0808963,5,31,0,3913.4,-0.0383814,-0.186577,0.180007,-0.277549,-0.199685,0.166843,-0.840105,0.457546,-0.935192,-1.3002,-0.943635,-0.501708,-0.672168,0.110709,-0.0304188,-0.551191,-0.652552,-0.951241,-1.1022,-1.09928,0.112826,-1.15927,-0.612042,-0.488526,-1.3336,-0.569763,-1.43263,-1.4595,-0.701055,-1.68142,-0.821854,-0.8695,-1.04574,-0.51283,-0.988623,-0.376583,-1.47015,-0.181882,-1.68392,-1.06036,-0.2442,-0.930631,-0.618742,-0.441415,-0.697232,0.781426,-0.238598,-0.00263574,-0.230033,-0.504315,-1.07032,-0.847603,0.613053,-0.74853,-0.278528,-0.415479,-0.983946,-0.0125872,-1.19687,-0.751747,-0.274047,-1.37645,-0.856535,-1.40045,-1.30821,-0.885201,-0.815653,-0.260562,-1.7529,-0.0781294,-1.86904,-1.03396,0.560748,0.717203,0.649932,0.608596,0.667574,0.314013,0.559368,0.500659,0.557256,0.623473,0.744657,0.700064,0.351363,0.678858,0.569185,0.602401,0.72789,0.503147,0.767967,0.679559,0.568086,0.79842,0.701936,0.802255,0.787214,0.707899,0.693313,0.564774,0.852318,0.519522,0.866348,0.737684
