# 0.167588, 0.0995757, 0.0870805, 0.0870888, 0.0133486, 0.00626059, 0.148095, 0.0199517, 0.213539, 0.198494, 0.193312, 0.21947, 0.194355, 0.208643, 0.207297, 0.21752, 0.197412, 0.193322, 0.186417, 0.194589, 0.186859, 0.181208, 0.199885, 0.199166, 0.190209, 0.189518, 0.190132, 0.191845, 0.181763, 0.189714, 0.210391, 0.20443, 0.188611, 0.205077, 0.196623, 0.196618, 0.179759, 0.186031, 0.180885, 0.19002, 0.218338, 0.642953, 0.218325, 0.219887, 0.219608, 0.220039, 0.218811, 0.21884, 0.219511, 0.220592, 0.220287, 0.218714, 0.219589, 0.22048, 0.220089, 0.219855, 0.220802, 0.218896, 0.220372, 0.220336, 0.220746, 0.220484, 0.219258, 0.218537, 0.220858, 0.220348, 0.220711, 0.219548, 0.219288, 0.219482, 0.221283, 0.219387, 0.219508, 0.219699
104.318,0.999994,0.00313476,10,2047,0,-62.8537,0.224274,-0.537934,-0.260236,-0.537774,-0.264691,0.262485,-0.918623,0.432631,-1.27613,-1.31206,-0.962591,-0.158608,-0.27045,-0.0779796,0.194465,-0.869225,-0.551865,-0.445637,-0.700405,-1.12423,0.0965715,-1.01112,-0.960698,-0.316856,-0.735611,-0.302792,-0.693374,-1.45178,-0.725285,-1.76086,-1.2263,-1.41881,-0.965087,-0.562184,-0.997087,-0.684072,-0.967687,-0.214886,-1.3841,-1.15558,-0.241112,0.00945843,-0.224937,-0.231821,-0.24058,-0.235552,-0.2273,-0.23889,-0.247784,-0.220971,-0.236008,-0.230201,-0.237164,-0.237893,-0.232348,-0.251573,-0.237338,-0.23582,-0.232704,-0.242289,-0.245961,-0.256357,-0.231738,-0.246351,-0.231359,-0.235474,-0.233498,-0.235798,-0.261421,-0.249888,-0.232918,-0.240829,-0.238547,-0.240699,-0.251682,-0.754985,-0.423418,-0.0941536,-0.277815,0.960926,-0.0969526,-0.0749044,0.116716,0.255296,-0.632282,-0.682116,0.618605,-0.60771,-0.618324,-0.402395,-0.454494,0.29473,-0.563233,-0.61334,-0.300307,-1.49764,-1.12566,-1.976,-1.1664,-0.950499,-0.497222,-0.259695,-1.15455,0.151902,-1.44155,-0.932652
90.9314,0.641338,0.00313476,9,511,0,-58.4942,0.169937,-0.173796,-0.0465453,-0.412995,-0.210868,0.138575,-0.608961,0.617078,-1.44208,-1.05012,-0.534404,-0.385774,-0.521754,-0.0484289,-0.151655,-0.330804,-0.413809,-0.423392,-0.891311,-0.905674,0.337398,-0.934597,-0.719579,-0.328203,-0.826967,-0.206827,-1.29108,-1.39322,-0.764424,-1.72918,-1.12963,-1.01634,-1.25534,-0.553893,-0.850014,-0.383453,-0.99188,0.326366,-0.921448,-0.604774,-0.268108,0.0113327,-0.284623,-0.272462,-0.250744,-0.265977,-0.287121,-0.268842,-0.265618,-0.275451,-0.285254,-0.268096,-0.286145,-0.284591,-0.280493,-0.286401,-0.247369,-0.270546,-0.265678,-0.267569,-0.273193,-0.268872,-0.272559,-0.268574,-0.258662,-0.273509,-0.276641,-0.265659,-0.282733,-0.277409,-0.278442,-0.263296,-0.288566,-0.297391,-0.591529,-0.501376,-0.0704542,-0.0884046,-0.352136,0.743102,-0.137795,0.406946,0.153235,0.169425,-0.661555,-0.519044,0.764251,-0.602248,-0.506389,-0.314843,-0.521508,0.280163,-1.1059,-0.784834,-0.414892,-1.50852,-1.1133,-1.52407,-1.47957,-0.856552,-0.72724,-0.320818,-1.27512,0.413659,-1.1016,-0.561554
106.531,0.936052,0.00313476,9,511,0,-58.7872,0.26523,-0.197276,-0.0769347,-0.377023,-0.224524,0.0698042,-0.556182,0.616736,-1.30797,-1.01168,-0.397458,-0.44133,-0.474351,0.101251,-0.355484,-0.521244,-0.224174,-0.24556,-0.852304,-0.866782,0.320305,-0.825045,-0.5071,-0.50276,-0.797658,-0.160273,-1.03272,-1.34749,-0.670715,-1.59723,-0.999499,-1.10047,-1.35249,-0.676867,-0.680527,-0.124265,-1.16463,0.313231,-1.0781,-0.868195,-0.242364,0.00656473,-0.234692,-0.239905,-0.253802,-0.255343,-0.249452,-0.255937,-0.237911,-0.241778,-0.242184,-0.263293,-0.230181,-0.240075,-0.231787,-0.247293,-0.245171,-0.237848,-0.248564,-0.245745,-0.247118,-0.242485,-0.246712,-0.248509,-0.256807,-0.245706,-0.244395,-0.243211,-0.243336,-0.247674,-0.245766,-0.237513,-0.23132,-0.229531,-0.563506,-0.510828,-0.0646342,-0.0526407,-0.29943,0.705125,-0.268663,0.180857,0.21842,0.224477,-0.613351,-0.616286,0.676223,-0.56975,-0.456426,-0.509367,-0.493249,0.259678,-0.85638,-0.876031,-0.397124,-1.46085,-0.91285,-1.57182,-1.52198,-0.85212,-0.713776,-0.221547,-1.4747,0.319947,-1.2784,-0.83066
95.3912,0.961696,0.00313476,10,2047,0,-49.3401,0.18213,0.176355,0.259221,-0.193095,-0.168703,0.089529,-0.681363,0.551952,-1.32709,-1.34647,-0.70219,-0.471896,-0.745568,0.0459491,-0.459394,-0.491632,-0.646116,-0.133483,-0.916953,-1.10359,0.357435,-0.990585,-0.609935,-0.712931,-0.739864,-0.411656,-1.22145,-1.20096,-1.09502,-1.99518,-1.19319,-1.03916,-1.19251,-0.702895,-0.536783,-0.125702,-1.17499,0.185355,-1.05646,-0.775944,-0.407424,0.0109964,-0.413148,-0.398401,-0.421176,-0.39408,-0.425967,-0.416584,-0.401617,-0.416177,-0.416338,-0.408881,-0.411836,-0.419554,-0.398947,-0.411672,-0.434897,-0.422376,-0.406071,-0.401814,-0.416297,-0.419057,-0.402621,-0.409757,-0.415974,-0.405589,-0.394512,-0.407825,-0.412433,-0.402307,-0.396736,-0.40828,-0.402979,-0.412285,-0.349054,-0.588549,-0.0334486,0.127584,-0.269631,0.955432,-0.086733,0.417498,0.105105,0.638358,-0.392903,-0.496707,0.998893,-0.424732,-0.160752,-0.380946,-0.174188,0.277916,-0.751996,-0.435607,-0.515423,-1.51868,-1.01797,-1.28321,-1.20974,-0.761544,-0.340415,0.0225537,-1.26078,0.374674,-1.05977,-0.600549
101.119,0.998038,0.00313476,9,511,0,-63.0617,0.033642,0.216998,-0.0565625,-0.266173,-0.0934568,0.139663,-0.528839,0.53213,-1.09286,-1.21296,-0.847138,-0.294902,-0.666576,-0.0920479,-0.27701,-0.400492,-0.671974,-0.152504,-1.02575,-1.33004,0.339054,-0.999878,-0.600347,-0.332726,-0.408621,0.0946964,-0.978588,-1.29804,-0.773835,-1.68,-0.766203,-1.21302,-0.987287,-0.589228,-0.729473,-0.267084,-1.31337,0.087503,-1.18611,-0.727216,-0.292719,0.0104671,-0.291707,-0.320634,-0.292349,-0.307868,-0.288785,-0.297317,-0.274768,-0.301037,-0.299709,-0.301227,-0.298777,-0.299327,-0.285701,-0.28301,-0.29384,-0.288592,-0.275176,-0.27472,-0.301487,-0.285125,-0.288098,-0.289856,-0.303654,-0.277923,-0.284265,-0.296656,-0.292028,-0.291915,-0.282273,-0.29288,-0.293825,-0.295947,-0.228806,-0.560911,-0.154424,0.0892425,-0.260804,0.824096,-0.0185166,0.335323,0.0664309,0.597324,-0.593322,-0.671597,0.607121,-0.773695,-0.348728,-0.326165,-0.272603,0.389417,-0.895876,-0.871276,-0.540037,-1.50332,-0.805527,-1.48461,-1.13322,-0.848174,-0.486881,-0.0511447,-1.40722,0.236123,-1.23427,-0.676376
100.368,0.974301,0.00313476,9,511,0,-68.2589,0.455537,-0.106192,-0.23671,-0.517553,-0.117755,0.119238,-0.863904,0.512938,-1.06509,-1.35931,-0.707488,-0.628466,-0.806778,0.113747,-0.380707,-0.631743,-0.539138,-0.207997,-0.880246,-1.2845,0.375598,-0.878771,-0.89439,-0.544496,-0.638776,-0.102728,-0.651204,-1.39655,-0.412762,-1.66768,-0.742888,-1.21379,-1.10905,-0.684058,-0.852476,-0.315209,-1.30703,0.178111,-1.58278,-0.778243,-0.369473,0.00870424,-0.37348,-0.349188,-0.360173,-0.37734,-0.365574,-0.376761,-0.366652,-0.369496,-0.36042,-0.36803,-0.354856,-0.3541,-0.38177,-0.378407,-0.358857,-0.36908,-0.370381,-0.381206,-0.356686,-0.367028,-0.365697,-0.373807,-0.37256,-0.387961,-0.37672,-0.37543,-0.359924,-0.368803,-0.365752,-0.358341,-0.378114,-0.358497,-0.113059,-0.617663,0.0286575,-0.110906,-0.318705,1.07468,-0.0214668,0.215448,0.254578,0.600112,-0.358589,-0.59153,0.847595,-0.459548,-0.499855,-0.34526,-0.276423,0.402851,-0.356017,-0.781332,0.0160563,-1.31083,-0.6182,-1.38175,-1.11869,-0.779357,-0.542786,-0.0391019,-1.30778,0.426134,-1.52596,-0.596685
87.8733,0.990645,0.00313476,11,3583,0,-42.5778,-0.71594,0.327172,0.194801,-0.114738,-0.139499,0.140097,0.165204,0.571778,-0.636599,-0.939762,-0.210183,0.401294,-0.00107174,0.712926,0.613855,0.236035,0.0619284,0.26229,-0.355568,-0.314845,0.995869,0.0381047,-0.254769,0.49032,0.0679161,0.992772,-0.170924,-0.305741,0.0334739,-0.803421,0.18525,-0.594851,-0.424324,0.317894,0.315162,0.433997,-0.260577,1.16672,-0.574895,0.0763768,-0.524764,0.0133414,-0.522476,-0.545751,-0.534821,-0.512632,-0.528122,-0.510682,-0.527836,-0.534204,-0.529589,-0.520445,-0.522014,-0.534778,-0.524357,-0.52259,-0.517933,-0.538615,-0.53581,-0.517521,-0.511947,-0.52093,-0.52621,-0.517219,-0.512112,-0.504378,-0.525119,-0.536973,-0.504167,-0.514407,-0.528596,-0.51452,-0.529273,-0.523771,-0.314866,-0.866111,-0.144205,0.211802,-0.226654,1.04404,0.236809,0.434721,0.196107,0.41352,-0.541367,-0.300018,0.772329,-0.247954,-0.571234,-0.0551877,-0.284354,0.809015,-0.602762,-0.360768,-0.241218,-1.16336,-0.425408,-1.5522,-1.19412,-0.552212,-0.0798101,-0.000758937,-1.02099,0.699853,-1.26711,-0.468069
93.5855,0.966171,0.00313476,9,511,0,-57.9328,-0.952447,0.236047,0.197573,0.0930154,-0.293912,0.212475,0.134705,0.484028,-0.805054,-0.541737,-0.0227221,0.447204,0.404181,0.911542,0.961401,0.366324,0.225315,0.523953,0.0349297,-0.165458,1.1157,0.152186,0.51526,0.730999,0.264874,1.03125,0.153622,-0.426096,0.224193,-0.415218,-0.0852423,-0.201641,-0.0961801,0.361781,0.262838,0.517872,-0.247488,0.784215,-0.532324,0.122414,-0.520008,0.0109169,-0.526679,-0.527803,-0.526648,-0.489367,-0.532823,-0.521686,-0.523444,-0.53269,-0.503421,-0.500686,-0.522375,-0.520695,-0.531018,-0.508487,-0.512493,-0.528874,-0.516211,-0.522156,-0.510877,-0.526747,-0.528158,-0.522136,-0.486341,-0.524325,-0.531056,-0.515613,-0.507744,-0.52098,-0.506259,-0.511726,-0.526644,-0.510814,-0.27258,-0.449254,-0.0291013,0.15066,-0.0510974,1.38108,0.269699,0.722246,0.36263,0.697192,-0.336527,-0.279608,0.822452,-0.272784,-0.0564713,-0.157912,-0.216903,0.821822,-0.495799,-0.447,-0.176829,-0.995858,-0.563807,-1.41065,-0.910031,-0.580724,-0.0093837,0.161828,-1.12428,0.443212,-1.26542,-0.299344
94.0717,0.991936,0.00313476,11,4095,0,-59.5104,-0.975056,0.245237,0.44876,0.133895,-0.245153,0.150212,0.155258,0.391003,-0.0610121,-0.234694,0.408155,0.415208,0.511176,0.894938,0.61827,0.0456485,0.616452,0.427153,-0.00284627,-0.0726015,1.02011,-0.367395,1.16627e-10,0.571656,-0.0243606,0.460395,0.0565835,-0.377876,0.0561774,-0.969253,-0.486224,-0.456187,-0.25751,0.0259328,-0.0232239,0.355476,-0.279487,1.07199,-0.195801,-0.0381534,-0.400611,0.00943168,-0.40311,-0.387018,-0.389264,-0.398902,-0.378827,-0.39417,-0.40545,-0.421786,-0.387631,-0.405353,-0.409106,-0.394318,-0.403925,-0.398931,-0.413321,-0.401953,-0.40196,-0.400851,-0.39999,-0.383518,-0.404322,-0.399481,-0.386812,-0.397391,-0.406576,-0.402369,-0.394243,-0.409048,-0.402893,-0.394493,-0.411301,-0.426048,0.169814,-0.34385,0.189523,0.0355912,-0.0278559,1.04625,-0.0909494,0.156227,0.517676,0.358341,-0.471962,-0.381125,0.824829,-0.672548,-0.45458,-0.0934558,-0.349881,0.335025,-0.408769,-0.373009,-0.228999,-1.40425,-1.03672,-1.61595,-1.08767,-0.88452,-0.482648,-0.173864,-1.18916,0.582207,-0.985613,-0.568279
86.3168,0.931789,0.00313476,9,511,0,-47.0019,-0.646831,0.492218,0.192387,-0.135516,-0.0898898,0.14397,0.0969511,0.550178,-0.602551,-0.574409,-0.288642,0.544862,0.143593,0.863075,0.628407,0.163791,-0.122132,0.163269,-0.254329,-0.480353,1.02757,0.118027,-0.314497,0.679876,0.00932865,0.654322,-0.143826,-0.618764,0.058155,-0.901509,0.00507118,-0.987751,-0.140543,0.30278,0.00286284,0.442833,-0.412551,1.20321,-0.641984,0.249516,-0.566579,0.0138157,-0.574428,-0.562778,-0.55288,-0.565014,-0.538376,-0.553646,-0.561371,-0.573546,-0.575009,-0.563737,-0.587421,-0.57139,-0.557478,-0.568105,-0.576147,-0.563449,-0.554394,-0.572562,-0.556232,-0.56018,-0.549081,-0.570547,-0.568223,-0.567395,-0.572662,-0.556443,-0.554836,-0.566811,-0.564306,-0.534831,-0.575359,-0.595313,-0.138249,-0.32366,0.0108572,0.518657,0.147828,1.38711,0.481347,0.49511,0.221314,0.517703,-0.224458,-0.213814,0.872278,-0.0775466,-0.475969,0.263424,-0.282606,0.524669,-0.487032,-0.611772,-0.130094,-1.14469,-0.581805,-1.79803,-0.829963,-0.504975,-0.283945,0.130389,-1.04223,0.816382,-1.22772,-0.241
