# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_model
# start_datetime = 2022-02-23 08:15:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpOWLLXk/standata-47c43f155451.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0022606
# Diagonal elements of inverse mass matrix:
# 0.180589, 0.0945702, 0.095761, 0.10978, 0.0276207, 0.0105696, 0.178408, 0.0199985, 0.145908, 0.0964211, 0.082892, 0.15086, 0.191232, 0.224839, 0.140795, 0.139182, 0.098755, 0.160415, 0.0986971, 0.172353, 0.105539, 0.102953, 0.139063, 0.111732, 0.201744, 0.206334, 0.105214, 0.14591, 0.106634, 0.144756, 0.129878, 0.250375, 0.219105, 0.309653, 0.19379, 0.176948, 0.135956, 0.107746, 0.134534, 0.355974, 0.160536, 0.00645234, 0.0199655, 0.0160828, 0.0202629, 0.0281921, 0.0154617, 0.0201507, 0.016508, 0.0240168, 0.0174242, 0.0152343, 0.0159559, 0.0150555, 0.0271148, 0.0353195, 0.0245535, 0.0154345, 0.0166562, 0.0152804, 0.0156611, 0.0239055, 0.0168338, 0.0191191, 0.0151503, 0.0243627, 0.0173096, 0.0158643, 0.0466948, 0.0158074, 0.0154376, 0.0359614, 0.0161984, 0.0176069, 0.0151149, 0.0199622, 0.07128, 0.0202161, 0.0215047, 0.0166378, 0.0212358, 0.0411697, 0.0208084, 0.0153838, 0.0182927, 0.0256066, 0.0214328, 0.0423413, 0.0196505, 0.0205911, 0.0185515, 0.015868, 0.0232598, 0.0149732, 0.0161391, 0.0190192, 0.0333506, 0.0448491, 0.0154311, 0.0333878, 0.0153706, 0.0232526, 0.0592802, 0.0476901, 0.0151734, 0.0157917, 0.0170954, 0.0167027, 0.0158508, 0.0152607, 0.0179001, 0.0326792, 0.0195374, 0.0153195, 0.0156093, 0.017717, 0.030789, 0.0430965, 0.035479, 0.0160681, 0.0155133, 0.0151508, 8.76504e-05
8566.02,0.998822,0.0022606,9,511,0,-8508.9,-0.536814,0.457774,-0.0387095,-0.225773,-0.231544,0.0222731,-0.0909508,0.554245,1.48762,-0.0543171,0.96635,-1.84276,-1.21598,1.80092,-1.54202,-0.0173187,0.859001,1.29587,-0.949042,1.9814,-0.502586,0.293983,0.424576,-0.271747,-0.847839,-0.29641,-0.537868,0.92868,0.347488,0.18678,-1.12002,-1.96759,-1.19226,-1.1153,2.24192,1.81795,-0.221984,0.426541,-0.0894609,0.303891,0.418705,0.509122,0.5389,-0.0951879,-1.36195,1.12838,-0.294051,0.521364,-0.931511,0.865099,0.124615,-0.624751,0.0382865,-0.382551,1.00256,1.51369,0.871883,-0.182629,-0.964342,-0.227142,-0.773887,0.898157,-0.920793,0.319514,-0.515484,-1.6855,-1.04871,-0.728496,1.97499,-0.190237,-0.543706,-2.28101,-0.79216,-1.16713,-0.482301,-1.39216,2.7447,0.608776,0.631592,0.072557,0.612853,-2.58198,0.597981,-0.115883,0.328793,0.985944,0.644652,1.80031,0.496605,0.616802,-1.19116,-0.100479,0.782584,-0.15094,-0.725368,0.435628,1.4139,1.838,-0.665397,1.46658,-0.617646,0.824057,2.45704,1.97258,-0.354798,-0.0325191,-1.08579,0.13205,-0.0184015,-0.258691,-1.10711,1.30574,-1.3115,-0.644762,-0.233713,-1.09273,1.26621,1.80586,1.56108,0.0564848,-0.0970932,-0.713079,0.155278,0.733553,-0.121056,0.444643,-1.11229,-0.7649,0.907201,-0.945608,-0.10055,0.385146,0.627278,-0.616952,1.00723,-0.369506,0.0719875,0.144368,-0.241565,-0.560861,-0.255235,-0.389061,0.423765,0.101642,0.0125711,-0.711718,-1.18148,-0.751757,-0.709102,1.15162,0.916639,-0.213984,0.145457,-0.140534,0.0774792,0.69307,0.370242,-0.274696,0.993189,0.268997,0.684143,-0.055548,0.859145,0.482149,0.10063,0.438197,0.223939,0.929128,1.18936,0.862599,0.325724,-0.0722631,0.303062,0.0247016,0.875976,-0.0500913,0.581376,0.15626,-0.439419,-0.115216,0.0478113,1.42422,0.321851,0.141892,-0.742609,0.0153988,-0.175506,0.173155,-0.290077,1.81609,0.728646,0.740262,0.455645,0.730721,-0.895838,0.72315,0.359706,0.5861,0.92067,0.746911,1.33528,0.671537,0.732732,-0.18774,0.367549,0.817135,0.341858,0.0494039,0.640492,1.13855,1.35447,0.0799365,1.16537,0.104248,0.83825,1.66964,1.42299,0.238069,0.402148,-0.134094,0.485934,0.409336,0.286999,-0.144948,1.08348,-0.249008,0.0904422,0.299716,-0.137627,1.06336,1.33811,1.21349,0.447462,0.369272,0.0556604,1.09038,-0.0220789,0.529942,-1.10435,-0.365099,0.982334,-0.803656,0.268383,0.650939,0.552784,-0.428514,1.20583,-0.840856,-0.497418,-0.521153,-0.879731,-1.41547,-0.51171,-0.941277,0.0383651,-0.502143,-0.728734,-1.5729,-1.91022,-1.8243,-1.7871,0.166601,0.185955,-1.11657,-0.667665,-0.897003,-1.09506
8567.48,0.96907,0.0022606,9,511,0,-8512.99,-1.03387,0.26565,-0.214642,-0.284818,-0.323242,-0.0298332,-0.0727664,0.691406,1.16686,0.0581154,0.798173,-1.43823,-1.01307,1.31063,-1.15534,-0.117111,0.610783,1.1054,-0.794392,1.71446,-0.338423,0.419969,0.399934,0.0466755,-0.496646,-0.276364,-0.249978,0.727748,0.476919,0.440196,-0.983043,-1.82861,-1.0212,-0.570376,1.85236,1.44329,-0.0688675,0.289611,0.00753366,0.565404,1.11931,0.499817,0.557986,-0.0730552,-1.39976,1.14529,-0.269068,0.531827,-0.965425,0.851228,0.202042,-0.632931,0.0467182,-0.39756,1.10797,1.57667,0.955062,-0.191302,-0.90646,-0.329024,-0.690022,0.850194,-0.902869,0.415977,-0.599075,-1.65949,-1.01732,-0.805148,2.02364,-0.180294,-0.613633,-2.39741,-0.832922,-1.06933,-0.452506,-1.38974,2.83926,0.584704,0.706047,0.145238,0.648128,-2.60292,0.591773,-0.135579,0.340313,0.946113,0.692814,1.84421,0.476362,0.709868,-1.18931,-0.0470893,0.787184,-0.187444,-0.775696,0.436999,1.41829,2.00301,-0.634979,1.45323,-0.633553,0.830818,2.40419,2.05275,-0.357528,-0.0811895,-1.04546,0.0562428,-0.137116,-0.263905,-1.10171,1.37577,-1.33884,-0.647399,-0.218288,-1.093,1.30592,1.89543,1.50426,0.0271108,-0.0514634,-0.680599,0.15617,0.734008,-0.032585,0.479095,-1.06717,-0.77321,0.833411,-0.871573,-0.153738,0.349533,0.691516,-0.622013,1.11262,-0.306754,0.217603,0.203751,-0.0404946,-0.416151,-0.263846,-0.245602,0.430403,0.256978,0.231588,-0.752448,-1.33708,-0.778828,-0.467128,1.20797,0.925131,-0.120382,0.127472,-0.0675575,0.318157,1.3982,1.0828,0.419689,1.69174,0.984825,1.38513,0.636774,1.54477,1.22029,0.80296,1.14266,0.920602,1.67309,1.90736,1.59667,1.02369,0.666246,0.954858,0.774425,1.54425,0.668041,1.32722,0.819882,0.289867,0.610836,0.716883,2.13076,1.0292,0.812605,-0.0789581,0.703001,0.584843,0.89314,0.424694,2.53842,1.41155,1.4722,1.1919,1.44325,-0.181671,1.41509,1.05154,1.2894,1.59219,1.46559,2.04108,1.3574,1.47411,0.524874,1.09577,1.51276,1.02562,0.731604,1.33773,1.82819,2.12045,0.801936,1.84566,0.802649,1.53457,2.32096,2.14531,0.940611,1.07873,0.596769,1.14742,1.05078,0.987405,0.568657,1.80694,0.450136,0.795729,1.01021,0.573012,1.77203,2.06668,1.87116,1.13286,1.09359,0.779135,0.391482,-0.735075,-0.181563,-1.83581,-1.05574,0.280414,-1.51407,-0.418435,-0.0591503,-0.131289,-1.13869,0.488284,-1.53169,-1.20516,-1.23133,-1.55924,-2.11521,-1.18882,-1.64436,-0.67455,-1.21378,-1.43115,-2.26971,-2.60853,-2.53023,-2.46985,-0.543105,-0.531806,-1.8173,-1.38362,-1.56049,-1.81655
8563.47,0.999965,0.0022606,9,511,0,-8520.16,-0.674105,0.457511,0.137885,-0.0946057,-0.362013,0.0186991,0.322124,0.666605,1.16382,0.105057,0.943804,-1.34459,-1.09552,1.60505,-1.17729,-0.0799751,0.700758,1.30213,-0.750396,1.71674,-0.467919,0.248732,0.399696,-0.111696,-0.469986,-0.523905,-0.455286,0.59272,0.332699,0.340293,-0.795873,-1.64237,-0.701504,-0.541547,2.11856,1.56612,0.0436387,0.477163,0.0551335,0.72065,-0.0239696,0.495919,0.58252,-0.0451996,-1.36852,1.25211,-0.273777,0.535497,-0.970382,0.881046,0.212354,-0.543148,0.110214,-0.362763,1.16357,1.53248,0.973098,-0.0849248,-0.874055,-0.284842,-0.73841,0.908042,-0.90947,0.415455,-0.596797,-1.65062,-1.01498,-0.75004,2.06677,-0.114633,-0.592203,-2.34775,-0.74217,-1.07327,-0.47674,-1.31444,2.83643,0.631716,0.744487,0.165008,0.744409,-2.6221,0.612955,-0.150181,0.355484,0.969311,0.725215,1.89774,0.487348,0.719995,-1.16487,-0.0139213,0.825334,-0.21078,-0.75174,0.404169,1.47714,1.9478,-0.601465,1.54261,-0.619743,0.841027,2.5259,2.06848,-0.39556,-0.0409559,-1.0073,0.0640815,-0.0223137,-0.219219,-1.1239,1.3703,-1.2914,-0.645985,-0.225149,-1.05729,1.36247,1.82618,1.60161,0.028192,-0.0763199,-0.639923,0.155666,1.09794,0.392156,0.951269,-0.57419,-0.408154,1.39206,-0.462663,0.268812,0.789253,1.19013,-0.178094,1.46651,0.0102067,0.48793,0.588563,0.247666,0.00882859,-0.0271138,0.0186279,0.717234,0.543903,0.548965,-0.208409,-0.772689,-0.145503,-0.0388743,1.73437,1.36611,0.351214,0.640204,0.358876,0.802513,0.264914,-0.0463849,-0.702645,0.596975,-0.159741,0.241594,-0.505201,0.412958,0.0813409,-0.293327,0.0306878,-0.203871,0.553068,0.736017,0.458609,-0.0660854,-0.45743,-0.165228,-0.390161,0.426346,-0.474993,0.182062,-0.319933,-0.842545,-0.527316,-0.395929,1.00098,-0.0808182,-0.317654,-1.18826,-0.392026,-0.556227,-0.260394,-0.675827,1.38267,0.289311,0.345236,0.0578613,0.345197,-1.32432,0.280007,-0.0984473,0.152322,0.45673,0.335679,0.917157,0.217716,0.33309,-0.601651,-0.0308734,0.385329,-0.128499,-0.396772,0.176466,0.708571,0.941982,-0.322248,0.741043,-0.331312,0.393112,1.22867,1.00183,-0.220135,-0.0442804,-0.523508,0.0078097,-0.0350354,-0.132684,-0.581332,0.655587,-0.664399,-0.344326,-0.135625,-0.548299,0.651706,0.881669,0.770299,-0.00998861,-0.0618181,-0.34132,1.51443,0.405514,0.959366,-0.687035,0.0755338,1.41651,-0.382114,0.720363,1.07955,0.964521,-0.00874128,1.61951,-0.395388,-0.0870982,-0.104491,-0.434866,-0.979862,-0.0967589,-0.529524,0.446019,-0.0848769,-0.294823,-1.14739,-1.48849,-1.39882,-1.36521,0.585635,0.598904,-0.684751,-0.239766,-0.448642,-0.671644
8569.13,0.985191,0.0022606,9,511,0,-8516.98,-0.793261,0.460467,0.137205,-0.0570434,-0.445939,0.104228,0.4832,0.656381,0.876591,-0.0793059,0.883617,-1.40476,-1.48578,1.79921,-1.39381,-0.305671,0.554936,1.50556,-0.874587,1.39312,-0.501296,0.183647,0.612959,-0.153395,-0.185243,-0.659854,-0.551076,0.530713,0.271645,0.328239,-0.683634,-1.46417,-0.305463,-0.632705,2.26854,1.41725,-0.0244795,0.490554,-0.0732024,0.724437,-0.239207,0.499739,0.557084,-0.10769,-1.40531,1.20409,-0.271415,0.577625,-0.928867,0.855596,0.188169,-0.551378,0.096616,-0.331625,1.11293,1.56974,0.912598,-0.213003,-0.948278,-0.292044,-0.768732,0.889203,-0.94265,0.439182,-0.599312,-1.64168,-1.01076,-0.73125,2.07557,-0.072806,-0.587073,-2.3101,-0.788119,-1.08314,-0.453713,-1.37048,2.86449,0.628763,0.703694,0.166133,0.676203,-2.60883,0.636721,-0.119658,0.334332,0.95178,0.703223,1.81108,0.516184,0.677618,-1.18419,-0.0969688,0.785283,-0.204143,-0.77599,0.400949,1.45325,1.99562,-0.699335,1.46729,-0.61774,0.868393,2.46323,2.05636,-0.314428,0.0185135,-0.971311,0.108144,0.0278024,-0.238091,-1.13397,1.40416,-1.29952,-0.623542,-0.156103,-1.039,1.2828,1.94774,1.56087,0.0944342,-0.0964902,-0.605408,0.157693,1.05858,0.431145,1.06319,-0.438858,-0.492038,1.66417,-0.431671,0.282563,0.847449,1.47142,-0.0908628,1.39762,0.154158,0.603742,0.885534,0.382514,0.36161,0.0500836,0.121484,0.831549,0.661502,0.698649,0.0344753,-0.477853,0.2827,0.0679042,1.97223,1.41345,0.467132,0.80519,0.435151,0.958706,0.03919,-0.293024,-0.941496,0.362524,-0.374844,0.0494549,-0.703398,0.188368,-0.145172,-0.514752,-0.190924,-0.404933,0.316967,0.545253,0.216854,-0.345653,-0.713099,-0.385153,-0.623372,0.205163,-0.710286,-0.0197302,-0.538707,-1.05962,-0.744325,-0.604641,0.798037,-0.275591,-0.53259,-1.39365,-0.633061,-0.780492,-0.465945,-0.924089,1.19229,0.0750107,0.112457,-0.156184,0.0987185,-1.54294,0.0789878,-0.299004,-0.0721282,0.236435,0.112222,0.66586,0.0187505,0.0994254,-0.830992,-0.287666,0.15323,-0.341225,-0.626999,-0.0388369,0.48704,0.758081,-0.588692,0.494056,-0.547916,0.194763,0.991764,0.788436,-0.396339,-0.229955,-0.724609,-0.185163,-0.225313,-0.35819,-0.805895,0.462508,-0.888627,-0.550815,-0.317218,-0.758436,0.401859,0.734154,0.540823,-0.192014,-0.287427,-0.541753,1.74923,0.625193,1.16956,-0.481464,0.281378,1.6283,-0.154856,0.935197,1.30144,1.20871,0.214151,1.84487,-0.178604,0.143461,0.117478,-0.210194,-0.77062,0.131156,-0.30569,0.664321,0.135008,-0.0926984,-0.944383,-1.26298,-1.16456,-1.14453,0.81619,0.808585,-0.468804,-0.0197797,-0.219378,-0.435815
8560.43,0.996702,0.0022606,10,2047,0,-8490.56,-0.468996,0.384957,-0.195255,-0.398946,-0.389006,0.122325,0.817889,0.628461,0.700106,-0.346389,0.670763,-1.73685,-1.7129,1.69299,-1.7296,-0.480548,0.395351,1.29517,-1.11439,1.15759,-0.42015,0.257627,0.737924,-0.172606,-0.183769,-0.466765,-0.469238,0.715394,0.324499,0.335552,-0.624146,-1.33134,-0.277659,-0.757257,2.36552,1.55476,-0.0553896,0.588813,-0.0382453,0.592296,-0.666408,0.503305,0.562704,-0.105161,-1.39141,1.2309,-0.219873,0.561066,-0.935391,0.849796,0.199166,-0.562304,0.0882902,-0.293913,1.1059,1.57729,0.891649,-0.23676,-0.916272,-0.264721,-0.75436,0.871857,-0.949477,0.435478,-0.560377,-1.64023,-1.02154,-0.712452,1.97536,-0.0694987,-0.55644,-2.32864,-0.818486,-1.09536,-0.429587,-1.36583,2.82911,0.626784,0.698909,0.156461,0.679451,-2.5981,0.636539,-0.100374,0.340543,0.950365,0.700838,1.76127,0.509266,0.679393,-1.17622,-0.0691253,0.778825,-0.18827,-0.777604,0.398052,1.47097,1.96922,-0.724906,1.4929,-0.625905,0.853839,2.38825,1.96782,-0.347185,0.00410354,-0.950502,0.0904046,0.0125347,-0.205107,-1.12179,1.40055,-1.28457,-0.619895,-0.178874,-1.02791,1.31466,1.89433,1.55546,0.0698664,-0.0906009,-0.565812,0.156955,1.25788,0.600197,1.23944,-0.273653,-0.258604,1.88187,-0.269098,0.515884,1.06635,1.63185,0.117536,1.54539,0.553841,0.979798,1.28165,0.709413,0.702397,0.524546,0.522991,1.26749,1.02182,1.02877,0.425638,-0.0188041,0.643391,0.341982,2.30453,1.79499,0.783079,1.18794,0.793854,1.19012,-0.383196,-0.719336,-1.36671,-0.0468897,-0.777071,-0.384021,-1.1372,-0.238702,-0.566167,-0.949418,-0.621971,-0.814336,-0.109803,0.127452,-0.217637,-0.785571,-1.12757,-0.799643,-1.04608,-0.227598,-1.14428,-0.44723,-0.948449,-1.49194,-1.18055,-1.02499,0.327799,-0.701387,-0.946467,-1.83843,-1.07836,-1.21771,-0.882622,-1.35384,0.757497,-0.350945,-0.314644,-0.58766,-0.324437,-1.97405,-0.346035,-0.716927,-0.495011,-0.188085,-0.313673,0.220047,-0.410092,-0.324466,-1.2584,-0.701199,-0.274422,-0.761166,-1.05778,-0.466066,0.0739367,0.324708,-1.03126,0.0849758,-0.981429,-0.236667,0.535608,0.324007,-0.841148,-0.664343,-1.1448,-0.620907,-0.660099,-0.76964,-1.23101,0.0384941,-1.31294,-0.978404,-0.756436,-1.18376,-0.00473487,0.287017,0.116465,-0.631244,-0.712008,-0.951184,2.16083,1.06995,1.60131,-0.0417439,0.716549,2.05685,0.272856,1.35427,1.73146,1.64036,0.652685,2.26743,0.234418,0.58054,0.551097,0.194636,-0.345831,0.566122,0.152613,1.09246,0.564807,0.340713,-0.523042,-0.829889,-0.745294,-0.716241,1.23269,1.23536,-0.0653497,0.404901,0.190905,-0.0269388
8559.1,0.994259,0.0022606,9,511,0,-8503.12,-0.298979,0.355521,-0.254904,-0.430303,-0.28722,0.119012,0.574733,0.608598,0.936576,-0.351113,0.697004,-1.80874,-1.51111,1.78213,-1.71113,-0.253275,0.521848,1.25743,-1.06656,1.29096,-0.385744,0.220234,0.693931,-0.220096,-0.411711,-0.294432,-0.557362,0.868055,0.250605,0.190486,-0.754536,-1.43201,-0.586735,-1.09641,2.2156,1.57228,-0.209423,0.46853,-0.122253,0.223029,-0.52909,0.488572,0.676588,-0.0994459,-1.35145,1.23769,-0.240466,0.571101,-0.94024,0.874082,0.190237,-0.629739,0.0540421,-0.341463,1.09155,1.60165,0.898272,-0.133456,-0.96017,-0.276743,-0.713083,0.910434,-0.966248,0.476437,-0.526295,-1.77795,-0.988844,-0.771169,2.05382,-0.0226626,-0.542037,-2.3891,-0.885467,-1.09939,-0.431255,-1.40494,2.94378,0.589849,0.733226,0.149859,0.704931,-2.64471,0.652785,-0.137737,0.395594,0.981412,0.688766,1.8375,0.548728,0.736073,-1.13628,-0.0742337,0.85661,-0.197428,-0.756055,0.460993,1.5414,1.99847,-0.549957,1.54358,-0.584338,0.907051,2.62181,2.06603,-0.399859,-0.0215182,-1.00658,0.0946211,-0.00199725,-0.241563,-1.17721,1.41055,-1.32617,-0.621977,-0.195007,-1.06983,1.30869,1.94484,1.59358,0.0517084,-0.0648345,-0.594642,0.156978,1.14473,0.361046,0.998928,-0.526061,-0.344926,1.65933,-0.466655,0.42059,0.892329,1.34,-0.0743706,1.36041,0.33997,0.708767,0.997058,0.440783,0.324166,0.395542,0.235524,1.10303,0.727251,0.690662,0.115523,-0.296784,0.217647,-0.0925414,1.92314,1.53162,0.447278,0.85988,0.50033,0.710468,-0.198529,-0.577677,-1.18937,0.0756084,-0.646575,-0.250067,-0.988465,-0.102038,-0.436146,-0.836763,-0.502687,-0.69592,0.00421047,0.253432,-0.09022,-0.594293,-0.998203,-0.6643,-0.877483,-0.0842776,-1.00117,-0.296317,-0.786224,-1.39775,-1.01221,-0.905862,0.474349,-0.540163,-0.793915,-1.69634,-0.961705,-1.06622,-0.73979,-1.2155,0.909158,-0.240907,-0.170857,-0.455874,-0.184681,-1.82122,-0.210158,-0.596385,-0.335814,-0.0496001,-0.192579,0.36866,-0.260997,-0.169466,-1.08424,-0.565359,-0.110575,-0.625548,-0.898478,-0.303862,0.223997,0.447305,-0.797784,0.225059,-0.814582,-0.0859307,0.75185,0.480312,-0.724451,-0.539604,-1.02088,-0.482861,-0.530066,-0.647112,-1.10424,0.160064,-1.17702,-0.832971,-0.624366,-1.05178,0.1103,0.421106,0.249487,-0.503827,-0.560767,-0.819616,2.0161,0.91256,1.44209,-0.178853,0.579746,1.90712,0.138167,1.21559,1.55939,1.49357,0.496732,2.12689,0.0980769,0.436623,0.42292,0.0833453,-0.484529,0.42019,-0.0152972,0.967753,0.41246,0.205285,-0.644676,-0.984085,-0.896121,-0.847538,1.10071,1.11606,-0.181513,0.250678,0.0527869,-0.161807
