lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0954928
# Diagonal elements of inverse mass matrix:
# 0.126623, 0.129145, 0.0141955, 0.184264, 0.160868, 0.163211, 0.166989, 0.160235, 0.185105, 0.160845, 0.163466, 0.159725, 0.178802, 0.16394, 0.172845, 0.163808, 0.16676, 0.152524, 0.165932, 0.153706, 0.163624, 0.165211, 0.1552, 0.152275, 0.160055, 0.15289, 0.17242, 0.162564, 0.165155, 0.191603, 0.185628, 0.166444, 0.181668, 0.158922, 0.160145
-3898.62,0.994432,0.0954928,5,31,0,3919.7,-0.407498,0.783388,1.20385,2.21405,-0.314398,1.4549,-1.74266,-0.899757,2.31689,-0.9987,0.269158,1.31938,2.04638,-0.727976,1.61521,0.0283104,0.48364,0.897451,-0.0784752,-0.727535,0.413025,0.32789,1.34804,0.833138,0.285527,-0.259952,-0.783282,0.0958355,-0.386963,3.03112,2.60818,0.981606,2.10332,1.26356,0.141747,1.80655,-0.721896,1.0474,-2.15016,-1.30725,1.90939,-1.4062,-0.13834,0.911881,1.63888,-1.13547,1.20771,-0.379187,0.0761419,0.489953,-0.485973,-1.13503,0.00552719,-0.0796072,0.940544,0.42564,-0.121971,-0.667449,-1.19078,-0.311662,-0.794461,2.62363,2.20068,0.574108,1.69582,0.856064,-0.265751,0.141055,0.673024,0.259725,0.895684,0.787053,0.129049,0.803165,0.53453,0.286615,0.162617,0.756848,0.230106,0.593677,0.480974,0.379905,0.619157,0.756767,0.498618,0.519891,0.280791,0.395168,0.530455,0.660932,0.766881,0.577291,0.688788,0.0676332,0.0996895,0.360289,0.155012,0.298162,0.56605
-3893.95,0.96948,0.0954928,4,31,0,3912.64,-0.361764,0.465115,1.18974,2.67109,-0.622082,1.74534,-1.6463,-0.363411,2.55436,-0.714839,0.684927,1.12372,2.29475,-0.899014,1.97197,0.0610262,0.503353,0.618991,-0.152824,-0.485748,0.392868,-0.320331,1.06444,0.625616,0.346224,-0.171684,-1.44446,0.116611,-0.538556,2.63291,2.49931,0.591606,1.60386,1.26536,0.555746,2.30933,-0.983846,1.38357,-2.00807,-0.725175,2.1926,-1.0766,0.323163,0.761954,1.93298,-1.26078,1.6102,-0.300738,0.141589,0.257227,-0.514588,-0.847513,0.0311039,-0.682095,0.702672,0.263852,-0.01554,-0.533448,-1.80622,-0.245153,-0.900321,2.27115,2.13754,0.229842,1.2421,0.903593,0.193982,0.0903532,0.727871,0.200436,0.881642,0.673746,0.100417,0.745851,0.419905,0.318222,0.126421,0.77916,0.16656,0.574623,0.464662,0.436046,0.625882,0.700045,0.492225,0.664206,0.33122,0.434417,0.503885,0.630287,0.858905,0.560983,0.711015,0.0935406,0.105501,0.442791,0.224071,0.288313,0.451656
-3895.31,0.984591,0.0954928,5,31,0,3917.79,-0.266331,0.359839,0.931877,1.82163,-0.0575027,1.55478,-1.99449,-0.874367,2.2934,-0.830673,0.443817,0.967191,2.18332,-1.17496,1.55452,-0.460051,0.492548,0.92638,-0.222932,-0.615779,0.311031,-0.00451975,1.24156,0.279756,0.477007,-0.113612,-1.60753,-0.213598,-0.648108,2.52726,2.45888,0.710124,1.70829,1.03749,0.0384197,1.5553,-0.323833,1.28845,-2.26082,-1.1407,2.02707,-1.097,0.177487,0.700861,1.91699,-1.44129,1.28819,-0.726382,0.226218,0.66005,-0.489262,-0.88211,0.0447001,-0.27085,0.975232,0.0134258,0.210677,-0.379943,-1.87386,-0.479929,-0.914439,2.26093,2.19255,0.443794,1.44196,0.771162,-0.227911,0.174323,0.580258,0.216115,0.90558,0.757808,0.11639,0.749698,0.455744,0.331621,0.128198,0.808655,0.21616,0.674011,0.443686,0.340728,0.619933,0.707259,0.488827,0.567302,0.273839,0.496644,0.447525,0.593859,0.866905,0.617731,0.713908,0.0944111,0.100421,0.390837,0.191242,0.316228,0.556732
-3905.79,0.944508,0.0954928,4,31,0,3922.05,-0.179597,0.415167,1.02138,2.44914,-0.965805,1.57733,-2.12305,-0.664821,2.09931,-0.571039,0.458021,0.560934,1.73575,-0.985613,1.15977,-0.157495,0.237027,0.640017,-0.356809,-0.363227,0.329122,-0.110829,0.583633,-0.0263193,0.421633,-0.27151,-1.20113,-0.19197,-0.978569,2.27724,2.30033,0.428491,1.81223,1.27499,0.136901,2.26954,-1.1454,1.39773,-2.30265,-0.844418,1.91971,-0.750636,0.278424,0.381337,1.55615,-1.16521,0.980175,-0.337092,0.0574292,0.460419,-0.536406,-0.542825,0.149525,-0.290426,0.404035,-0.205917,0.242035,-0.451107,-1.38072,-0.371568,-1.15817,2.09765,2.12074,0.248894,1.63263,1.0954,-0.0426966,0.0936773,0.75867,0.198176,0.909096,0.699395,0.127894,0.679317,0.43084,0.405805,0.174199,0.762278,0.272857,0.583484,0.485647,0.386886,0.630976,0.632469,0.462688,0.572101,0.400343,0.551298,0.439785,0.610902,0.799107,0.591838,0.760999,0.109326,0.107098,0.438096,0.16347,0.250603,0.510673
-3907.51,0.839496,0.0954928,6,95,0,3922.75,-0.280922,0.377899,1.35345,1.81962,0.0983195,1.56944,-1.52302,-0.844204,2.75938,-1.43469,0.495406,1.46957,2.53641,-0.738686,1.96917,-0.339029,0.755196,0.919734,-0.198069,-0.89265,0.376756,-0.624005,1.3539,0.939338,0.123695,-0.32676,-1.1042,-0.148135,-0.63373,3.344,2.16963,0.962896,1.52773,0.767701,0.195104,1.5387,-0.182602,1.28852,-1.80395,-1.12513,2.47845,-1.71561,0.214484,1.18864,2.25548,-1.01961,1.68825,-0.619951,0.474274,0.638812,-0.478991,-1.17357,0.0958339,-0.904927,1.07298,0.658416,-0.157226,-0.607682,-1.38513,-0.429057,-0.914652,3.06308,1.88871,0.681974,1.24681,0.486779,-0.0858182,0.176724,0.545524,0.216104,0.858628,0.754938,0.0773825,0.847563,0.446584,0.233502,0.0948775,0.734896,0.156007,0.650207,0.383605,0.345515,0.61751,0.76379,0.47606,0.711961,0.254837,0.341095,0.539226,0.647412,0.799813,0.605648,0.713951,0.0446562,0.131392,0.335821,0.223253,0.380653,0.521441
-3902.91,0.99902,0.0954928,5,31,0,3923.84,-0.368538,0.500974,1.31923,2.32336,-0.73751,1.86328,-1.4862,-0.700534,2.33387,-0.939747,0.485671,0.627368,2.53939,-1.19227,1.92491,0.0990784,0.722661,0.479628,-0.219364,-0.724556,0.316325,-0.110747,0.617482,0.326299,0.439964,0.0150236,-1.21903,-0.13911,-0.842877,2.83128,2.25768,0.747334,1.51722,1.28368,0.218769,1.95482,-1.10605,1.49474,-1.85473,-1.06907,1.96533,-1.30829,0.117133,0.25883,2.17085,-1.56081,1.55637,-0.26946,0.354123,0.11109,-0.587902,-1.09309,-0.0522132,-0.479286,0.248943,-0.0422397,0.0714262,-0.353515,-1.58757,-0.507648,-1.21142,2.46274,1.88915,0.378796,1.14868,0.915142,-0.149769,0.124029,0.751392,0.183211,0.864682,0.74442,0.122891,0.787226,0.47075,0.435651,0.102399,0.826469,0.174168,0.56696,0.412383,0.472256,0.642884,0.748964,0.51305,0.617579,0.438084,0.510558,0.482151,0.58747,0.830274,0.624255,0.770549,0.0785118,0.131342,0.406417,0.24073,0.285949,0.537372
-3899.53,1,0.0954928,4,15,0,3912.41,-0.275361,0.479246,1.30909,2.31229,-0.660492,1.9199,-1.55399,-0.642208,2.34163,-0.960477,0.565759,0.700845,2.58728,-1.22116,1.84217,0.0934499,0.690403,0.500575,-0.165826,-0.615453,0.459008,-0.22275,0.565224,0.340037,0.416199,0.00804986,-1.33069,-0.163196,-0.773727,2.78399,2.26709,0.749736,1.51508,1.20179,0.300201,2.03693,-0.935853,1.64454,-1.82935,-0.917569,2.06627,-1.23584,0.290398,0.425484,2.31192,-1.49652,1.56681,-0.181911,0.415042,0.225214,-0.441187,-0.890814,0.183647,-0.498111,0.289863,0.0646758,0.140839,-0.267311,-1.60605,-0.438557,-1.04909,2.50863,1.99173,0.474375,1.23972,0.926425,0.02484,0.11538,0.718261,0.161848,0.861685,0.714547,0.112419,0.774839,0.427906,0.395205,0.0901408,0.817055,0.172672,0.545353,0.397704,0.443933,0.608542,0.709058,0.454217,0.622015,0.428037,0.483837,0.464848,0.566433,0.832862,0.607915,0.7406,0.0752552,0.120074,0.383581,0.224485,0.283651,0.49379
-3907.5,0.919244,0.0954928,4,31,0,3926.32,-0.38304,0.382609,1.2553,2.18747,-0.400663,1.56395,-2.10408,-0.499549,2.18642,-1.10028,0.893985,0.957491,1.94663,-0.189913,1.58017,-0.519584,0.311534,1.01511,-0.146363,-0.159822,0.732454,-0.0288302,1.27074,0.413012,0.210988,-0.757082,-0.927808,-0.279311,-0.416798,2.62603,1.94382,0.796199,1.58168,0.821681,0.251479,1.80443,-0.783703,1.18091,-2.48712,-0.882589,1.80338,-1.48332,0.510945,0.574451,1.56359,-0.572953,1.19713,-0.902625,-0.0715067,0.632069,-0.529403,-0.542862,0.349414,-0.41187,0.887703,0.0299716,-0.172052,-1.14012,-1.31085,-0.662351,-0.799838,2.24299,1.56078,0.413159,1.19864,0.438641,-0.131561,0.141312,0.686478,0.234889,0.923234,0.707358,0.14144,0.815074,0.374972,0.36021,0.173132,0.639444,0.231985,0.711489,0.517869,0.347042,0.629344,0.632478,0.413525,0.601536,0.291584,0.492508,0.542907,0.757702,0.787655,0.659788,0.68994,0.0959558,0.173534,0.398155,0.231718,0.392065,0.532843
-3903.33,1,0.0954928,4,15,0,3921.53,-0.292675,0.326374,1.23203,2.15115,-0.343947,1.46919,-2.13697,-0.549957,2.24712,-0.799241,0.84894,0.842955,1.97156,-0.327218,1.59978,-0.539588,0.24274,1.04272,0.0147843,-0.260054,0.87919,-0.0199064,1.20924,0.466956,0.19755,-0.699006,-1.01033,-0.249475,-0.726436,2.77172,2.12963,0.789085,1.54066,0.967942,0.309741,1.85847,-0.636623,1.17652,-2.42964,-0.842632,1.95444,-1.09192,0.556265,0.55028,1.67888,-0.619893,1.30711,-0.832264,-0.0499358,0.750044,-0.277891,-0.55273,0.586514,-0.312582,0.916569,0.174281,-0.0951257,-0.991681,-1.30301,-0.54215,-1.01911,2.47904,1.83695,0.49641,1.24798,0.675267,0.0170656,0.134881,0.65399,0.235679,0.91906,0.699019,0.12407,0.748742,0.364412,0.365799,0.157243,0.650194,0.212971,0.696833,0.512481,0.320812,0.569029,0.634769,0.357435,0.577515,0.285658,0.45654,0.523764,0.72942,0.78634,0.632312,0.734799,0.0773404,0.137412,0.378385,0.22305,0.337319,0.495734
-3902.69,0.829754,0.0954928,5,31,0,3922.17,-0.406165,0.348191,1.27836,2.226,-0.487556,1.36532,-2.09069,-0.425969,2.13535,-0.822483,0.820566,0.81306,2.00825,-0.583928,1.82062,-0.273912,0.363486,1.08248,-0.0596674,-0.358411,0.879496,-0.0768484,1.31798,0.535952,0.282491,-0.769278,-1.0798,-0.356437,-0.565843,2.59495,2.20556,0.946373,1.46269,1.08571,0.328301,1.81984,-0.893721,0.959158,-2.49685,-0.832134,1.72918,-1.22865,0.4144,0.406895,1.60208,-0.990093,1.41446,-0.680078,-0.0426789,0.67631,-0.465833,-0.764577,0.47333,-0.483014,0.911816,0.129787,-0.123675,-1.17544,-1.48597,-0.762603,-0.972009,2.18878,1.7994,0.540208,1.05653,0.679549,-0.0778645,0.139453,0.709657,0.277047,0.923921,0.696806,0.150692,0.773582,0.397857,0.399657,0.167691,0.729106,0.195532,0.663756,0.510668,0.337085,0.614397,0.682347,0.383828,0.618459,0.286628,0.467599,0.530879,0.764128,0.815473,0.681919,0.72552,0.100762,0.141924,0.368139,0.257973,0.336362,0.519456
