# 0.14291, 0.0997881, 0.0944313, 0.0962522, 0.0163967, 0.00659562, 0.125927, 0.437331, 0.275785, 0.244283, 0.18223, 0.169951, 0.162214, 0.221658, 0.183729, 0.179873, 0.177842, 0.178975, 0.183629, 0.232127, 0.245708, 0.196277, 0.191348, 0.185183, 0.178142, 0.190695, 0.184299, 0.264868, 0.158933, 0.323957, 0.21994, 0.2483, 0.198105, 0.1693, 0.194047, 0.196937, 0.203692, 0.232364, 0.225219, 0.177678, 2.22119, 0.018984, 0.0246103, 0.0198275, 0.0196517, 0.0241154, 0.0222894, 0.0178127, 0.0198819, 0.020427, 0.0214701, 0.0173525, 0.0189526, 0.0180044, 0.017279, 0.0187791, 0.0247318, 0.015723, 0.0206939, 0.0200035, 0.0209951, 0.0183089, 0.0192751, 0.0225057, 0.0221095, 0.0183307, 0.0197733, 0.0184279, 0.0200627, 0.0195634, 0.0181591, 0.0201849, 0.0227834
-1.63512,0.997546,0.0431738,7,127,0,43.9544,-0.318023,-0.268424,0.118304,-0.609253,-0.136889,0.0743572,-0.341029,0.44326,-0.6017,-0.437244,-0.178204,-0.216817,-0.389042,0.0375988,0.374722,-0.540289,0.0912021,0.151769,-0.57417,-0.22645,0.411605,-0.751785,-0.139508,-0.371792,-0.369595,0.17363,-0.945431,-0.934978,-0.584631,-1.07596,-0.244187,-0.315632,-0.368295,-0.323135,-0.128446,0.343736,-0.267293,0.322695,-0.595634,0.114,0.323849,-0.639722,-0.991105,-0.487386,-0.193332,-0.513709,0.622688,-0.348106,-0.100004,0.102696,-0.224715,-0.843542,-0.972022,0.779698,-0.716142,-0.813393,-0.580458,-0.708705,0.16151,-1.1595,-1.27528,-0.642549,-1.44508,-1.16913,-1.67524,-1.49379,-1.0811,-0.901081,-0.523054,-1.58869,0.277049,-1.56002,-0.996936
-0.532443,0.981148,0.0431738,6,63,0,50.0001,-0.70314,-0.0551718,0.242266,0.314185,-0.41068,0.0399215,-0.239821,0.602556,-0.505758,-0.135988,0.0143656,-0.570249,0.181913,0.758366,0.683056,-0.306734,-0.418336,0.345565,-0.430762,-0.340445,0.349938,-0.686523,0.107694,0.245722,-0.186585,0.383762,0.0616218,-0.2765,0.192336,-0.943006,-0.730657,-1.20542,-0.888044,-0.660692,-0.117759,0.458264,-0.27573,0.270396,-1.02579,-0.16027,0.254021,-0.574892,-0.867302,-0.489264,-0.305715,-0.595062,0.790738,-0.441678,-0.0606504,-0.375514,0.06141,-0.831923,-1.00491,0.23578,-1.12992,-0.851082,-0.437987,-0.844885,-0.0521521,-0.962454,-0.659802,-0.516004,-1.86122,-1.43096,-2.10741,-1.44915,-1.12086,-0.70584,-0.270865,-1.5226,-0.0225823,-1.77823,-0.87489
1.18085,0.99248,0.0431738,7,127,0,34.8284,0.0836095,-0.410729,-0.7328,-1.02127,-0.147919,0.184776,-0.435034,0.434434,-1.13032,-1.12708,-0.722346,-0.191682,-0.408444,0.243578,-0.673382,-0.177013,-0.160652,-0.815797,-0.884966,-1.3116,0.0811522,-0.262073,-0.669991,-0.168545,-0.55881,0.1359,-0.713425,-0.457558,-0.0281775,-0.978829,-0.503587,-0.851349,-0.401088,0.0725094,-0.248905,-0.0700932,-0.658002,0.0475244,-0.388622,-0.457992,0.224613,-0.403203,-1.14616,-0.293065,-0.321896,-0.494791,0.67325,-0.449365,-0.0587146,0.0697888,-0.208847,-0.820884,-0.866903,0.473712,-0.832882,-0.802504,-0.702075,-0.811267,-0.205513,-1.25791,-0.904189,-0.625306,-1.46325,-1.30869,-1.88965,-1.41257,-1.1466,-0.657872,-0.473919,-1.28372,0.0417008,-1.46988,-0.936701
5.23865,0.991778,0.0431738,7,127,0,28.7308,-0.3785,-0.0948412,-0.546622,-1.09832,-0.0599686,0.30285,-0.475505,0.494061,-0.845514,-1.16722,-1.01817,0.00605032,-0.356424,0.181542,-0.191672,-0.556878,-0.574353,-0.663621,-0.436857,-1.142,0.77112,-0.171158,-0.718333,0.427638,-0.357199,0.358819,-0.532174,-1.2284,0.0320058,-1.54312,-0.460732,-0.929647,-0.213087,0.650414,-0.425696,-0.253349,-0.692911,0.160932,-0.426482,0.0828678,0.193397,-0.519623,-0.977362,-0.381112,-0.369644,-0.595824,0.784506,-0.464693,-0.182714,-0.20405,-0.0382409,-0.731396,-0.729164,0.486826,-0.992727,-0.918639,-0.397046,-0.80052,-0.190517,-1.09651,-1.27297,-0.51006,-1.64489,-1.55522,-1.95252,-1.43288,-0.991016,-0.64549,-0.548469,-1.54692,-0.0694261,-1.4315,-0.94527
-0.286633,0.974389,0.0431738,6,63,0,36.9085,-0.660744,-0.367791,-0.350468,-0.403603,-0.171853,0.160295,-0.0201062,0.366728,-0.730391,-0.0778329,0.0580665,-0.191133,0.165341,0.641338,0.297825,0.175172,0.103424,0.116391,0.440363,-0.263402,0.68911,0.0800484,0.00587995,0.105361,0.402185,0.451932,0.066702,-0.838667,-0.220597,-0.309484,-0.465092,-0.158208,-0.287691,-0.0954455,-0.0608156,0.0965561,-0.164169,0.394708,-0.293443,-0.513513,0.275963,-0.762366,-0.817218,-0.476896,-0.507309,-0.605727,0.717829,-0.272181,-0.0585708,-0.350091,0.222252,-0.982399,-0.864229,0.330271,-0.911114,-0.976511,-0.644234,-0.607126,-0.0303296,-0.802627,-0.799306,-0.800941,-1.47718,-1.00074,-2.00907,-1.33232,-1.34898,-0.667609,-0.500155,-1.40725,0.0103867,-1.79631,-0.917937
-6.39461,0.845762,0.0431738,6,63,0,48.7405,-0.746329,-0.00876916,-0.362161,-0.359352,-0.14357,0.157412,-0.100508,0.429845,-0.125281,-0.447475,-0.241458,-0.0527722,0.144377,0.468527,0.0342466,-0.0198651,0.0170027,-0.252813,0.218592,-0.623771,0.164988,0.146215,-0.00223678,-0.0750445,-0.000637362,0.748555,0.014904,-0.718603,-0.263569,-0.37417,-0.401724,-0.528173,-0.192637,-0.131878,0.197174,0.266964,-0.349579,0.576654,-0.220563,-0.176754,0.211974,-0.676567,-0.863807,-0.56899,-0.439422,-0.45969,0.681744,-0.357389,-0.431761,-0.109217,-0.245996,-0.819902,-0.661256,0.0766287,-0.909866,-0.675478,-0.59418,-1.00584,-0.0733921,-1.15855,-1.18574,-0.785666,-1.73665,-1.19592,-1.68168,-1.37233,-1.09893,-0.725207,-0.49814,-1.6206,0.239446,-1.54099,-0.631148
-7.57909,0.925901,0.0431738,6,127,0,51.9783,-0.726899,-0.265436,-0.313466,-0.5283,-0.166263,0.250094,-0.0618055,0.339067,-0.605843,-0.73414,-0.443452,-0.424773,0.0551621,0.262392,0.753081,-0.575963,-0.0725671,0.0468254,0.170569,-0.187234,0.724572,-0.798651,0.0761882,0.153653,-0.350781,0.362701,-0.225438,-0.0455556,0.332679,-0.553062,-0.343066,-0.43345,-0.265045,0.134928,-0.715628,-0.202112,-0.510792,0.560606,0.0392666,-0.256016,0.387137,-0.789664,-0.848579,-0.564706,-0.49949,-0.377776,1.1187,-0.350483,-0.373547,-0.0401446,-0.13782,-0.808897,-0.73776,0.419058,-1.00283,-0.778673,-0.575286,-0.630866,-0.152153,-0.930623,-0.840354,-0.390109,-1.78966,-1.42192,-1.96962,-1.36109,-1.10642,-0.643963,-0.319765,-1.56926,0.133231,-1.62519,-1.17155
-2.40716,0.988961,0.0431738,6,63,0,39.2496,-0.946788,-0.414314,-0.139414,-0.375112,-0.465689,0.182556,0.312434,0.445663,-0.207207,-0.419693,0.202702,-0.0187486,0.0884633,0.427274,0.887813,0.0484116,0.1384,0.649079,0.359874,0.311123,0.731475,-0.44694,0.225704,0.359961,-0.0831439,0.677966,0.222002,0.166208,0.465904,-0.200806,-0.0134656,0.114776,0.158256,0.289597,-0.239854,0.0709072,-0.0573306,0.690377,0.3675,-0.049666,0.387732,-0.624361,-1.02112,-0.320111,-0.206137,-0.704192,0.699401,-0.625996,-0.0471396,-0.435662,0.169224,-0.98849,-0.854315,0.473398,-0.989198,-0.936796,-0.676875,-0.649813,0.162241,-0.894306,-0.862465,-0.642759,-1.74601,-1.20824,-2.2052,-1.38536,-1.4056,-0.833053,-0.549375,-1.51706,0.181054,-1.67411,-0.850929
3.14602,0.999341,0.0431738,7,127,0,29.8138,-0.281152,0.386072,-0.131304,-0.254856,-0.105714,0.105958,-0.510816,0.53169,-0.853269,-1.58025,-1.13421,-0.226948,-0.854727,-0.0819729,-0.192568,-0.53645,-0.574725,-0.113879,-1.01722,-1.30411,0.369579,-0.968538,-0.271598,0.140477,-0.499164,0.524005,-0.967114,-1.09829,-0.641702,-1.4019,-1.0101,-1.24029,-0.852005,-0.41983,-0.633962,-0.422083,-1.37204,0.382319,-0.941981,-1.00026,0.212815,-0.575229,-0.986338,-0.35666,-0.195156,-0.617877,0.719733,-0.145259,-0.0473432,-0.198621,0.117054,-0.920106,-1.12848,0.259784,-0.84031,-0.469085,-0.397256,-0.872146,0.134779,-0.945221,-1.09373,-0.489375,-1.70142,-1.28736,-2.11201,-1.57448,-0.984554,-0.73244,-0.293534,-1.54935,0.19159,-1.77185,-1.14368
-2.01693,0.989727,0.0431738,7,127,0,33.0187,-0.108003,-0.533915,-0.0829233,-0.589958,-0.391334,0.174545,-0.41361,0.262894,-0.204269,-0.430513,0.00591796,-0.720115,-0.38953,-0.0302724,-0.359783,-0.377561,0.0262038,-0.560373,-0.23281,-0.391137,-0.20181,-0.715548,-0.47019,-0.474748,-0.609138,-0.534191,-0.473794,-0.567111,-0.626885,-0.636961,-0.123091,-0.364007,-0.545628,-0.74318,0.0568722,-0.494706,-0.651514,-0.534792,-1.00663,-0.157256,0.512393,-0.609247,-1.01645,-0.599014,-0.474423,-0.689207,0.732748,-0.175504,-0.093038,-0.0810195,0.235796,-0.685885,-0.941728,0.584232,-0.921163,-0.93608,-0.620439,-0.786138,0.353145,-1.12651,-1.05015,-0.702677,-1.7026,-1.35827,-1.73917,-1.40239,-1.18443,-0.645073,-0.410824,-1.84117,-0.0598844,-1.72012,-1.00353
