# 0.142449, 0.100232, 0.0867982, 0.0934292, 0.0117026, 0.0057447, 0.12578, 0.535647, 0.231437, 0.194275, 0.184559, 0.171585, 0.176422, 0.240818, 0.190594, 0.177415, 0.176495, 0.20387, 0.168624, 0.190331, 0.258662, 0.155403, 0.171535, 0.184574, 0.159797, 0.198944, 0.164156, 0.218615, 0.168392, 0.214356, 0.184953, 0.180597, 0.169418, 0.178319, 0.180059, 0.211375, 0.196442, 0.303064, 0.194875, 0.170552, 1.47232, 0.0180954, 0.0193633, 0.0167521, 0.0169549, 0.0164088, 0.027686, 0.0177402, 0.0223678, 0.0187831, 0.023004, 0.0174603, 0.0176195, 0.0258145, 0.018061, 0.0186888, 0.0181944, 0.0193651, 0.0220183, 0.019312, 0.0197583, 0.0194734, 0.0185385, 0.0205784, 0.0251553, 0.019032, 0.0179224, 0.018676, 0.0173273, 0.0228014, 0.0211677, 0.0226618, 0.01989
-4141.38,0.652077,0.0311875,7,127,0,4174.54,-0.595786,0.0570598,0.272665,-0.164214,-0.342271,0.22847,0.0658001,0.511644,-1.11269,-0.254764,-0.263858,0.384821,0.679193,0.594139,0.919261,-0.351668,0.116818,0.65312,-0.0786165,-0.31306,1.07954,-0.128372,0.227216,0.602574,0.0892701,0.363448,-0.204429,-0.694565,0.213643,-0.453058,-0.389039,-0.10446,-0.348146,0.257998,-0.38255,0.755345,-0.133414,1.21111,-0.382549,-0.146448,0.0816847,-0.169685,0.00742148,0.0092239,0.400441,0.440818,1.41533,0.398371,0.469076,0.405698,1.03568,-0.214261,-0.15902,1.21679,-0.186627,-0.0192059,0.0905352,0.0046282,0.697464,-0.356179,-0.239441,0.260537,-0.597471,-0.795231,-1.30781,-1.02048,-0.556896,-0.312027,0.390428,-0.987681,1.11047,-1.18008,-0.225747
-4144.06,0.961561,0.0311875,7,127,0,4191.15,-0.439869,-0.125635,-0.110362,-0.299705,-0.119782,0.100627,0.361905,0.466,0.262535,0.0404848,0.200217,0.934394,0.416341,1.01869,0.819205,0.510216,0.803363,0.916257,0.0727292,0.177937,1.36103,0.585637,0.291877,0.588895,0.504146,0.885669,-0.00636954,0.253343,0.765188,-0.722293,-0.097694,0.0325918,0.120919,0.547386,0.0558207,0.685493,-0.351515,1.11365,-0.389171,0.443165,0.087706,0.310858,-0.0418944,-0.0753538,0.571903,0.0580946,0.966125,0.179531,0.647284,0.488956,0.768017,-0.433125,-0.14303,1.0235,0.146453,-0.182627,0.022597,-0.0749793,0.605631,-0.520694,0.0215849,0.274796,-1.09591,-0.718921,-0.883527,-0.625039,-0.202065,-0.270794,0.227675,-0.971384,0.752101,-1.22404,-0.100276
-4124.21,0.972268,0.0311875,7,127,0,4170.59,-0.293974,-0.107271,-0.0993395,-0.877264,-0.151624,0.181251,0.265262,0.487538,-0.604558,-0.280201,-0.0661809,0.492844,0.50319,0.735894,0.400116,0.549755,0.571897,0.635248,0.0809588,-0.20186,0.992993,0.0221545,-0.04102,0.50475,0.081013,0.77741,-0.0987276,-0.547853,0.377847,-0.533763,0.203693,0.0301092,0.355849,0.906277,0.448403,0.786065,0.0338855,1.27344,0.175812,0.677829,0.0699189,-0.13455,-0.126265,0.179636,0.337136,0.365859,1.26007,-0.0329328,0.735139,0.881262,0.932359,-0.0977702,-0.186398,0.949675,-0.0258723,-0.155064,0.0848786,-0.0633992,0.820788,-0.291009,-0.411638,0.250841,-0.52968,-0.614269,-1.12133,-0.648247,-0.349872,-0.145264,0.169265,-0.972681,0.606714,-0.819695,-0.178251
-4128.93,0.860119,0.0311875,7,127,0,4165.84,-0.432118,0.170684,-0.0314782,-0.207156,-0.224249,0.169576,0.244647,0.490662,-0.88271,-0.657028,-0.241134,0.491388,0.453667,0.479197,0.2549,0.156734,0.443864,0.590464,0.0937982,-0.360139,1.06528,0.227036,0.200992,0.681068,0.0942515,0.8997,0.230374,-0.417403,0.382053,-0.536775,-0.199584,-0.289377,-0.116097,0.425577,0.200448,0.686629,-0.0668927,0.823906,-0.231217,0.266984,0.0606425,-0.136547,-0.245562,0.0550391,0.569716,0.363562,1.09399,0.0381535,0.686185,0.826336,0.919359,-0.0474978,-0.267224,0.946676,0.0641096,-0.139936,0.0891703,-0.0944599,0.82468,-0.130276,-0.43293,0.138363,-0.758069,-0.532045,-1.16681,-0.649465,-0.386599,0.0419574,0.376899,-0.774047,0.583752,-0.709896,-0.0718944
-4120.08,0.991406,0.0311875,7,127,0,4159.61,-0.546219,0.164546,0.421379,-0.178338,-0.136386,0.130571,0.16371,0.486786,-0.394026,-0.0192648,-0.0227229,0.495159,0.673305,0.840812,0.36474,0.226476,0.41304,0.855341,0.0777073,-0.152616,0.490527,0.00415476,-0.260035,0.143076,0.147722,0.533087,-0.313002,-0.612357,-0.0634732,-0.69436,-0.058472,-0.133193,0.237466,0.448363,0.400582,0.539801,-0.0800508,1.29069,-0.103918,0.159512,0.0497102,0.019655,-0.0747042,0.159856,0.230985,0.409837,1.1691,0.0127516,0.383429,0.534945,1.01046,-0.113235,-0.17751,0.653468,0.106908,-0.252515,0.0842589,0.175946,0.699047,-0.33267,-0.336643,0.0551839,-0.674787,-0.564429,-0.958465,-0.479822,-0.304115,0.044681,0.189221,-0.712852,0.864779,-0.743533,-0.269339
-4125.77,0.753854,0.0311875,4,18,1,4151.45,-0.204729,0.0528841,-0.306673,-0.23438,-0.334309,0.164231,0.100217,0.389667,-0.805405,-0.421432,-0.216475,0.0759623,0.197924,0.167372,0.406872,-0.1528,-0.164581,0.207526,-0.170274,-0.831975,0.994639,0.221797,0.541926,0.630035,0.167682,0.53506,-0.0796328,-0.408094,0.561504,-0.293265,-0.660004,0.189004,-0.147587,0.0499395,-0.0433205,0.157584,-0.4792,0.786051,-0.521043,-0.00346442,0.0605897,0.26679,0.250989,0.132228,0.423208,0.316664,1.06934,0.244304,0.763966,0.421552,0.815397,0.0548606,-0.462053,0.883349,-0.0599385,0.00918007,-0.12513,-0.0735559,0.559423,-0.562681,-0.285332,0.309908,-0.8122,-0.799417,-0.756639,-0.609465,-0.504665,-0.064571,0.0421747,-1.16093,0.717441,-0.9713,-0.188645
-4120.68,0.0628839,0.0311875,7,127,0,4152.14,-0.153521,0.0650579,-0.334666,-0.28282,-0.326197,0.148423,0.178832,0.466252,-0.770305,-0.428176,-0.303496,0.0549816,0.12525,0.157107,0.2387,-0.14678,-0.142485,0.23358,-0.0196759,-0.689365,1.10885,0.283,0.521628,0.568579,0.158988,0.549048,-0.0793414,-0.311802,0.523867,-0.412713,-0.684001,0.146729,-0.213867,0.00237742,0.0520848,0.219456,-0.542562,0.820051,-0.570672,-0.14889,0.0455546,0.263722,0.1727,0.207535,0.439703,0.264175,1.03438,0.21292,0.824075,0.484047,0.872229,0.08159,-0.413276,0.888063,-0.0512689,-0.0472155,-0.108804,-0.108542,0.534755,-0.54319,-0.263232,0.285128,-0.847072,-0.767176,-0.750975,-0.676879,-0.484745,-0.0678067,0.0383802,-1.20805,0.698598,-0.973776,-0.226642
-4119.94,0.216273,0.0311875,7,127,0,4159.33,-0.0733867,-0.0872552,-0.280301,-0.356514,-0.258681,0.0975679,0.297283,0.530801,-0.379095,-0.43968,-0.182655,0.376889,0.319951,0.613794,0.372836,-0.447666,0.123582,0.597587,-0.0861607,-0.290878,0.961087,0.14195,0.32941,0.787985,0.211688,0.728564,0.135855,-0.0813882,0.567925,-0.29306,-0.567117,0.0657927,-0.228064,0.283905,0.104698,0.442434,-0.241874,0.948344,-0.569545,0.203146,0.05534,0.262652,-0.0253,0.0508627,0.62302,0.333994,1.19773,0.296335,0.176922,0.497019,0.92154,-0.149015,-0.205457,0.797703,-0.0843333,-0.162135,0.174245,-0.0317805,0.690437,-0.201782,-0.0565486,0.411048,-0.706402,-0.682676,-0.808128,-0.782194,-0.219992,-0.188584,0.0519813,-1.00051,0.781492,-1.05507,-0.0693609
-4122.54,0.959165,0.0311875,7,127,0,4158.18,-0.580111,0.223165,0.27589,0.183771,-0.28041,0.0805007,0.0791373,0.410946,-0.418987,-0.279672,0.154672,0.251889,0.465621,1.05574,0.414395,-0.0809964,0.345634,0.596586,0.0890823,-0.106995,0.848271,0.0950179,0.432881,0.262299,0.0608021,0.663652,0.0822837,-0.14769,0.321009,-0.080081,-0.54358,-0.355676,-0.412858,0.429256,0.0456994,0.874549,-0.150694,0.989134,-0.285155,0.125838,0.0581187,0.0170678,-0.00815767,0.106428,0.354318,0.251853,1.35047,0.0829804,0.393398,0.545221,0.719818,-0.100683,-0.284368,0.709806,-0.136209,0.0422898,-0.243013,-0.0619955,0.635814,-0.206112,-0.214425,0.173978,-0.483169,-0.695345,-1.16084,-0.996091,-0.0189768,-0.255894,0.484279,-0.85779,0.688237,-0.886563,-0.115911
-4117.47,0.673749,0.0311875,7,127,0,4157.92,-0.393624,0.344388,0.151053,-0.1002,-0.114568,-0.00829039,0.294296,0.372139,-0.121919,0.126154,-0.164928,0.386142,0.413428,1.01138,0.240178,0.443132,0.67732,0.933498,-0.210584,0.0713027,1.24146,0.288892,0.282966,0.444404,0.136954,0.899306,-0.269423,0.0519715,0.747395,-0.300036,-0.310664,-0.29918,-0.146585,0.280658,0.283137,0.750197,-0.247112,1.28273,-0.186828,0.268972,0.0424644,0.0510609,0.132785,-0.121062,0.554988,0.296511,1.12698,0.26819,0.633758,0.604545,1.02771,-0.217521,0.00280165,0.983424,0.0272644,-0.116529,0.0738187,-0.116237,0.724699,-0.561858,-0.157942,0.483166,-0.692899,-0.770818,-1.07134,-0.777559,-0.178069,-0.310312,0.120682,-0.907799,0.671064,-0.813515,-0.208963
