lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0753401
# Diagonal elements of inverse mass matrix:
# 0.129947, 0.0956468, 0.104676, 0.122224, 0.0168227, 0.00896447, 0.123687, 0.0223371, 0.184059, 0.173293, 0.157914, 0.166864, 0.171985, 0.168814, 0.171516, 0.171085, 0.159577, 0.167764, 0.14413, 0.204626, 0.190349, 0.209943, 0.192734, 0.214005, 0.231467, 0.213407, 0.208313, 0.196768, 0.204655, 0.230408, 0.168119, 0.205509, 0.205086, 0.254495, 0.181732, 0.19314, 0.194857, 0.186263, 0.205299, 0.271459
-3892.31,1,0.0753401,5,31,0,3907.66,-0.295438,0.0619523,-0.682248,-0.993156,-0.243737,-0.0206516,0.222915,0.508393,0.885981,0.0869457,0.773257,-0.639674,-0.521104,0.728347,-0.786102,-0.0112516,0.390538,0.824303,-0.575475,0.702865,0.125362,0.231574,0.515286,0.787766,-0.166073,0.25462,0.157032,0.44704,0.413995,0.277089,-0.179714,-0.847564,-0.446711,-0.0269542,1.63618,1.08817,-0.273235,0.0515206,0.00613714,0.653869,0.97902,-0.0914424,0.624569,-0.869791,-0.382828,0.657152,-0.919252,0.138629,0.431847,0.551505,-0.615593,0.585253,-0.830861,-0.871966,-0.601236,-0.388155,-1.48164,-0.475414,-0.928412,-0.418707,-0.725735,-1.0074,-1.61619,-2.10053,-2.06158,-1.82396,0.0252453,-0.299134,-1.84149,-1.37847,-1.40831,-1.24265,0.273086,0.522845,0.348743,0.704702,0.594555,0.34138,0.71489,0.465398,0.393685,0.365515,0.649216,0.357725,0.696537,0.705155,0.645939,0.595838,0.81482,0.616664,0.716753,0.603174,0.673869,0.732511,0.834269,0.890955,0.887113,0.86104,0.493689,0.574231,0.863125,0.798744,0.803499,0.776026
-3891.46,0.934967,0.0753401,5,31,0,3907.22,-0.286813,0.121557,-0.722841,-0.857418,-0.286111,-0.0192047,0.286985,0.522323,1.007,0.0563607,0.622172,-0.687708,-0.454721,0.678603,-0.604296,-0.111632,0.240634,0.591781,-0.583152,0.913708,0.0997882,0.308677,0.404425,0.951979,-0.369513,0.142482,0.237387,0.467507,0.476873,0.284252,0.047351,-0.745862,-0.154625,0.172251,1.38343,1.06125,-0.442238,0.245309,0.0567685,0.557421,1.24015,-0.0291073,0.566529,-0.838935,-0.168473,0.703851,-0.636662,0.183201,0.408021,0.385415,-0.511349,0.90462,-0.874596,-0.833598,-0.763164,-0.275261,-1.77075,-0.566391,-0.883648,-0.400672,-0.707884,-1.07043,-1.26544,-1.84828,-1.68186,-1.54863,-0.129105,-0.183743,-1.89964,-1.05482,-1.22008,-1.28028,0.22441,0.507276,0.362038,0.698241,0.542019,0.330959,0.653999,0.454327,0.399387,0.404822,0.625123,0.288102,0.705701,0.697115,0.68204,0.568384,0.854551,0.63793,0.707578,0.598849,0.669934,0.744679,0.77996,0.863924,0.84315,0.824715,0.532232,0.545807,0.869851,0.7417,0.772078,0.782498
-3887.73,0.796029,0.0753401,5,31,0,3909.25,-0.42102,0.0867716,-0.581405,-0.789457,-0.33504,0.00467641,0.202238,0.571802,0.816863,-0.22392,0.884488,-0.68854,-0.351804,1.10995,-0.193882,-0.258582,0.280987,0.969918,-0.226663,0.514348,-0.122646,0.441725,0.175687,0.524798,-0.0107061,0.29564,0.434634,0.749885,0.632435,0.448728,-0.554633,-1.04922,-0.218062,-0.395764,1.29244,1.17236,-0.0455238,0.127638,0.541904,0.490161,1.03065,-0.383238,0.73293,-0.952028,-0.0758351,0.998791,-0.291016,0.000273878,0.390601,0.614696,-0.22898,0.471637,-1.02944,-0.634505,-0.984516,-0.650926,-1.44452,-0.300233,-0.616723,-0.0325392,-0.493542,-0.876238,-1.93532,-2.21073,-1.87704,-2.17284,-0.295004,-0.0746135,-1.54123,-1.21107,-0.742377,-1.42372,0.262959,0.594654,0.324552,0.721523,0.51895,0.269179,0.572245,0.499932,0.403573,0.350989,0.556996,0.384229,0.736807,0.65351,0.728003,0.657219,0.809153,0.574499,0.649473,0.508134,0.62094,0.706042,0.873838,0.901209,0.867271,0.897784,0.573221,0.518645,0.823644,0.770488,0.677516,0.805921
-3889.72,0.956054,0.0753401,5,63,0,3900.51,-0.206851,-0.19876,-0.532841,-0.749809,-0.492907,-0.0290888,0.216399,0.510557,1.34223,0.0594476,0.580677,-0.782115,-0.538389,0.583738,-0.152204,-0.348621,0.629927,1.1353,-0.53396,1.17755,-0.255491,0.425746,0.454223,0.652564,0.247884,-0.194793,0.0531275,0.313061,0.237739,0.154732,-0.258239,-1.03656,-0.104372,0.231957,1.38517,0.78596,0.10281,0.245423,-0.193526,0.556128,1.63497,-0.196715,0.371901,-1.15556,-0.154163,0.506326,-0.316882,0.0463974,0.805384,0.662863,-0.523175,1.05697,-0.926426,-0.530433,-0.55356,-0.44999,-1.16243,-0.408308,-0.866458,-0.174906,-0.791627,-1.16738,-1.50129,-1.92118,-1.72086,-1.70215,-0.198012,-0.332297,-1.38138,-0.971823,-1.36667,-1.57925,0.163151,0.549021,0.408082,0.760526,0.538465,0.376055,0.578564,0.488403,0.308875,0.340097,0.62789,0.257889,0.71635,0.629584,0.634961,0.610637,0.761774,0.600682,0.704008,0.543615,0.688181,0.762672,0.817766,0.872269,0.84824,0.845816,0.549342,0.582318,0.799213,0.725483,0.796842,0.829098
-3893.41,0.917997,0.0753401,6,63,0,3911.51,-0.485677,-0.0744867,-0.32036,-0.644351,-0.592644,-0.0797961,0.418656,0.695034,0.630031,-0.0605163,1.15779,-0.274535,-0.439514,1.23189,-0.141698,-0.29995,0.25918,1.10406,-0.421739,0.761125,-0.371907,0.400988,0.232645,0.601172,0.125283,0.00946805,0.447356,0.504781,0.514153,0.91115,-0.0781586,-1.25654,0.0881391,0.64767,1.65773,1.37239,0.398524,0.209619,0.713882,1.45618,0.775063,-0.575456,0.744649,-0.885671,-0.184487,1.06634,-0.546642,0.0128749,0.308016,0.418725,-0.570895,0.364381,-1.18492,-0.799807,-0.940552,-0.775614,-1.53189,-0.253567,-0.70944,-0.0882398,-0.774638,-0.729626,-1.59734,-2.29995,-1.83523,-1.83687,-0.315235,-0.0863958,-1.50024,-1.32337,-0.810903,-1.27035,0.315385,0.640021,0.321988,0.707996,0.545991,0.2561,0.633356,0.496781,0.423599,0.396822,0.63897,0.409899,0.765831,0.689933,0.719211,0.684734,0.822283,0.563054,0.670277,0.522046,0.684523,0.674723,0.831647,0.908873,0.862384,0.862578,0.578162,0.521586,0.817611,0.789741,0.692302,0.780803
-3887.18,0.977589,0.0753401,7,159,0,3910.37,-0.320993,0.3283,-0.459458,-0.567331,-0.0747772,0.12611,-0.264969,0.49407,0.821115,-0.852164,0.0715267,-1.18273,-0.764795,0.706118,-0.769091,-0.434925,0.33905,0.642624,-1.06078,0.377481,-0.483145,-0.228403,0.181208,-0.152755,-0.422818,-0.200951,-0.634803,0.211538,-0.255411,-0.915129,-0.498149,-1.32474,-0.897878,-1.3501,0.691536,0.483778,-0.805042,-0.352124,-0.663934,-1.04967,1.32593,-0.430617,0.36974,-0.909498,-0.246098,0.763215,-0.333666,-0.0451123,0.695553,0.770316,-0.72926,0.950119,-0.992121,-0.650129,-0.509392,-0.596687,-1.17448,-0.640532,-1.05098,-0.26968,-0.688241,-1.39237,-1.2994,-2.20214,-1.8863,-1.86462,-0.0307902,-0.0374934,-1.38183,-1.01894,-1.19353,-1.59472,0.209833,0.606021,0.408604,0.712897,0.561216,0.317949,0.582651,0.511276,0.332799,0.316411,0.674643,0.278861,0.729507,0.65704,0.624664,0.644898,0.763955,0.654874,0.740963,0.567014,0.665575,0.80097,0.785734,0.900441,0.868333,0.865835,0.507697,0.509372,0.799285,0.734765,0.767372,0.831279
-3890.32,0.872841,0.0753401,6,95,0,3904.62,-0.60953,0.565498,-0.425768,-0.443246,-0.246767,0.0466951,-0.0518011,0.803303,0.898816,-0.633133,0.240542,-1.23098,-1.06938,0.941112,-0.808457,-0.388518,0.163012,0.695507,-0.867469,0.590843,-0.385699,-0.0468114,0.550204,0.391522,-0.185819,-0.168583,0.00208213,0.652725,0.272883,-0.0917543,-0.841102,-1.25333,-0.529959,-0.56665,1.2785,0.950581,-0.66034,-0.481113,-0.321277,-0.0813708,1.38818,-0.418572,0.417568,-1.1364,-0.534213,1.06139,-0.548096,0.090789,0.532399,0.679277,-0.580522,0.934539,-1.26406,-1.00672,-0.558052,-0.641664,-1.4956,-0.817943,-0.939504,-0.134035,-0.723663,-1.23486,-1.976,-2.27004,-1.91307,-1.86374,0.0345798,0.000676887,-1.79344,-1.54183,-1.29866,-1.47922,0.199699,0.603141,0.397099,0.757018,0.630465,0.257044,0.633694,0.477318,0.369957,0.336423,0.641188,0.282005,0.779724,0.732377,0.636002,0.65513,0.816917,0.6938,0.718999,0.533459,0.673413,0.774668,0.878254,0.906365,0.871364,0.865732,0.491356,0.499831,0.857349,0.823731,0.78561,0.814455
-3894.28,0.993493,0.0753401,5,63,0,3915.54,-0.697382,1.02495,0.0825613,-0.787504,-0.0261729,0.00707347,0.00433265,0.45494,0.502862,-0.547132,0.365664,-1.11955,-0.564737,0.718678,-0.760282,-0.52245,0.0199464,0.258152,-0.781026,0.273194,-0.502352,0.17318,-0.139111,-0.033365,-0.62257,0.00416229,-0.330799,0.146526,-0.0729849,-0.0124021,0.180845,-0.761342,-0.0713923,-0.22617,1.14744,0.712762,0.0235694,0.3317,0.140622,0.246262,0.893366,-0.185774,0.72092,-0.773035,-0.169375,1.06367,-0.394066,-0.135133,0.395605,0.59079,-0.414112,0.650369,-1.09629,-0.427282,-0.759548,-0.641599,-1.26438,-0.565483,-0.929318,-0.437692,-0.677333,-0.632295,-1.31063,-2.2424,-1.59131,-1.72849,-0.353473,-0.75485,-1.46347,-1.14979,-1.3299,-1.26674,0.290416,0.546311,0.32719,0.684177,0.542243,0.256608,0.597261,0.533732,0.402369,0.356454,0.602073,0.342906,0.749563,0.605224,0.681256,0.655115,0.77978,0.63772,0.716937,0.607709,0.663143,0.65301,0.787618,0.903993,0.830801,0.849219,0.58746,0.680235,0.812063,0.759472,0.790825,0.780184
-3887.73,0.919171,0.0753401,5,31,0,3909.47,-0.527263,0.35857,-0.0124015,-0.564601,-0.311139,-0.00790907,-0.0895869,0.53457,1.14926,-0.473885,0.322495,-0.959399,-0.573137,0.448994,-0.276037,-0.131967,0.304252,0.638668,-0.728761,0.744843,-0.638985,-0.233877,0.0624451,0.124631,-0.400601,-0.131034,-0.0795257,0.47185,0.0692002,-0.457564,-0.438561,-0.967412,-0.449169,-0.0721402,1.26625,1.51984,-0.0799515,0.0583012,0.204262,0.00165432,1.45275,-0.516884,0.298955,-1.08689,-0.211902,0.48747,-0.261288,0.225628,0.523252,0.438244,-0.613706,0.797881,-1.11434,-0.878838,-0.635995,-0.612726,-1.35313,-0.317653,-0.701387,0.111987,-0.621959,-1.33352,-1.70075,-2.0138,-1.95754,-1.73919,-0.200185,0.357332,-1.47345,-1.17715,-0.992898,-1.79244,0.189579,0.626419,0.425813,0.747795,0.552778,0.38049,0.564953,0.443831,0.372092,0.392159,0.648786,0.310479,0.752938,0.706581,0.653847,0.648562,0.794641,0.578752,0.668495,0.472032,0.650664,0.791422,0.845633,0.882238,0.876266,0.850584,0.54988,0.411605,0.813582,0.764435,0.72966,0.857226
-3895.5,0.97751,0.0753401,5,31,0,3907.06,-0.345117,0.435439,-0.0455917,-0.618868,-0.267273,-0.0956538,0.15039,0.648251,0.616899,0.0519701,0.687037,-1.13534,-0.625594,0.952169,-0.472711,-0.460443,0.355592,0.519715,-0.59369,0.702856,-0.391646,0.334347,0.10543,0.33368,-0.547477,-0.204144,-0.469751,-0.148139,0.221571,0.102282,-0.433311,-1.01084,-0.721428,0.251673,1.17469,1.01056,0.249328,-0.144691,0.244925,0.757938,0.846251,-0.0163143,0.724327,-1.18734,-0.346636,1.22045,-0.491389,-0.0957526,0.601227,0.49392,-0.437345,0.628209,-0.904834,-0.413392,-0.510528,-0.493429,-1.3817,-0.469302,-1.19765,-0.562116,-0.565853,-0.843881,-1.63247,-1.93576,-2.0432,-1.56184,-0.28878,-0.280688,-1.24035,-1.40974,-1.07609,-1.16471,0.30022,0.504078,0.326441,0.766265,0.585802,0.227857,0.620434,0.52392,0.354063,0.378971,0.607626,0.347917,0.711942,0.601901,0.62493,0.620914,0.799264,0.615219,0.768106,0.636942,0.637806,0.699282,0.836507,0.873886,0.885258,0.826618,0.571697,0.569715,0.775625,0.803724,0.745753,0.762188
