# 0.16708, 0.0858279, 0.0837311, 0.0808852, 0.0142271, 0.00521879, 0.160576, 0.529744, 0.621344, 0.503864, 0.488771, 0.516079, 0.542364, 0.679033, 0.544668, 0.442664, 0.478087, 0.511129, 0.515086, 0.521476, 0.715184, 0.407922, 0.446624, 0.565948, 0.52235, 0.552115, 0.442226, 0.67811, 0.500297, 0.650577, 0.512961, 0.452689, 0.482614, 0.582217, 0.493453, 0.559151, 0.599886, 0.847034, 0.586965, 0.407915, 0.738803, 0.0182756, 0.0180771, 0.0207954, 0.0185121, 0.0174121, 0.0281494, 0.0171788, 0.0209085, 0.0196841, 0.0229453, 0.0180347, 0.0196038, 0.02483, 0.0193471, 0.0183413, 0.0192453, 0.0194686, 0.0210709, 0.0194633, 0.0219547, 0.0202494, 0.021236, 0.0208382, 0.0207411, 0.0195736, 0.0185618, 0.0202094, 0.0190242, 0.0204064, 0.0202861, 0.0224307, 0.0203979
-4114.03,0.997925,0.00380267,10,1023,0,4152.01,-0.576215,0.108396,0.0248466,-0.0578439,-0.0212506,0.0324085,0.309029,0.650068,-0.180413,-0.0126698,-0.0710508,0.437778,0.504059,2.25805,0.482541,0.446967,0.889356,2.03175,0.118871,0.0817131,1.27334,0.608013,0.28063,0.445026,0.0348064,1.16695,-0.0731348,-0.697732,0.490096,-1.05993,-0.545862,-0.634388,-1.17001,-0.121906,0.263448,0.957709,-1.1241,1.49266,-1.35189,0.0281558,0.0172575,-0.138963,-0.0792594,-0.0900287,0.187863,0.20075,1.46452,0.17674,0.243931,0.568252,1.24192,-0.0390709,-0.0355057,0.628472,0.187417,0.0190802,0.0264339,-0.17169,0.590327,-0.264858,-0.587817,0.127855,-0.87064,-0.6502,-0.762738,-1.06747,-0.42562,-0.0376292,0.386145,-1.04922,0.773977,-1.18856,-0.249368,0.191748,0.300793,0.262841,0.593614,0.636701,1.77691,0.622714,0.599588,0.887171,1.6298,0.386303,0.362148,1.13678,0.704279,0.491458,0.598326,0.331656,1.06763,0.261486,-0.144544,0.627624,-0.379995,-0.0458183,-0.103366,-0.451556,0.229782,0.480288,0.931605,-0.421715,1.27936,-0.569794,0.327332
-4113.99,0.999594,0.00380267,10,1023,0,4155.45,-0.101897,-0.109018,-0.0523198,-0.220645,-0.122378,0.189499,-0.122754,0.515337,-0.413348,-0.432483,-1.017,1.62397,0.516129,1.65699,0.777737,0.616134,0.154304,1.20903,-0.300645,-0.813639,1.74005,-0.177633,-0.584286,0.827688,-0.18781,0.935824,-0.254365,-1.09619,0.39332,-0.904593,-1.12756,-1.08738,-1.09787,0.573687,-0.871455,0.352052,-1.27201,1.54853,-0.823864,-0.593467,0.0139341,0.285042,-0.0474229,-0.24984,0.677704,0.169925,1.45447,0.0478235,0.639623,0.415304,0.982946,-0.26829,-0.213738,1.03228,-0.0522508,-0.188405,0.196793,-0.185289,0.641082,-0.271593,-0.214228,0.262729,-0.464174,-0.752785,-1.06768,-0.902374,-0.162903,-0.237755,0.348306,-0.904865,0.830003,-0.629998,-0.361387,-0.335768,-0.345628,-0.646853,0.714137,0.143226,0.731154,0.278043,0.194763,-0.0432354,0.500304,-0.277687,-0.542052,0.773957,-0.214295,-0.423858,0.303784,-0.219539,0.359511,-0.253838,-0.687659,0.0799387,-0.588924,-0.703826,-0.683121,-0.688526,0.172888,-0.571847,0.0586718,-0.778269,0.675262,-0.547321,-0.428589
-4101.1,0.995564,0.00380267,10,1023,0,4149.31,0.255287,-0.404273,0.190083,-0.0748814,-0.298042,0.0823124,-0.193472,0.531298,-0.34183,-0.323039,-0.310656,0.928842,1.21379,1.60615,1.22241,0.389955,0.601331,1.70559,-0.0737501,0.027338,1.07515,-0.464212,-0.492242,0.331627,-1.05067,0.313956,-0.854396,-1.77559,-0.142547,-1.409,-2.13587,-1.06848,-1.60789,-0.456742,-0.551151,0.549943,-1.37602,1.48519,-0.801788,-0.976384,0.0129978,0.337595,0.0344564,-0.172774,0.567211,0.44473,1.1708,0.307038,0.672331,0.44213,1.06212,-0.193403,-0.106633,1.02997,0.0656687,-0.217159,0.178032,-0.16935,0.720291,-0.227103,-0.328761,0.265534,-0.599327,-0.879338,-1.05907,-0.931823,-0.32626,-0.238768,0.260738,-1.04044,0.902908,-0.598043,-0.363269,-0.375086,-0.365102,-0.358523,0.300019,0.45141,0.659871,0.455991,0.0137101,0.126014,0.712702,-0.232655,-0.178948,0.377753,-0.440107,-0.454999,-0.0172794,-0.75169,-0.0266682,-0.647411,-1.13684,-0.269207,-0.942068,-1.32826,-0.761155,-1.04774,-0.436138,-0.486297,0.0987116,-0.924548,0.595608,-0.61946,-0.712223
-4103.76,0.880688,0.00380267,10,1023,0,4141.56,-0.853607,0.539599,0.26257,0.0532575,-0.153064,0.155465,0.14448,0.5596,-1.13728,-0.614391,-0.470955,0.533617,0.353881,0.677459,0.486512,0.166363,0.371458,1.25526,-0.416265,-0.66571,2.08987,-0.111151,0.0457416,0.839247,0.494903,0.76872,-0.197397,-0.817566,0.595091,-0.812026,-0.688792,-0.0925462,-0.696348,0.77803,0.598975,0.905637,-0.738296,1.70988,-0.563837,0.583473,0.0191075,-0.0259214,0.0167806,0.0692288,0.335188,0.220737,0.988586,0.0798357,0.572206,0.629383,1.10801,-0.155669,-0.0861744,1.01701,-0.237536,-0.200566,0.00316293,0.0278179,0.344277,-0.45879,-0.397305,0.161474,-0.69945,-0.810255,-0.839033,-0.987123,-0.283652,0.159044,0.313156,-0.990263,0.715827,-0.84588,-0.0149187,-0.491941,-0.199333,-0.119066,0.443092,0.342512,0.523586,0.416732,0.237577,0.352348,0.846926,-0.0884618,-0.228051,1.31397,0.0822804,0.170077,0.614123,0.421428,0.574656,0.0340167,-0.313029,0.477493,-0.309929,-0.240968,0.0926914,-0.245196,0.579866,0.479667,0.651275,-0.26867,1.10133,-0.171043,0.470992
-4100.36,0.97446,0.00380267,10,1023,0,4142.36,-0.652783,0.0177838,0.0468174,-0.154292,-0.22261,0.183414,0.24434,0.448521,-0.954719,-0.861389,-0.690898,1.13095,1.00673,1.83286,1.50778,0.448425,0.327676,0.884258,-0.79018,-0.439719,1.78924,-0.141805,0.106591,1.25753,-0.167736,1.6869,0.408975,-1.27779,0.298802,-1.46574,-0.172347,-0.997985,-0.554973,0.583695,-0.543098,0.983884,-1.10083,2.21519,-0.775223,-0.0293585,0.0097018,0.199116,-0.124399,-0.0722475,0.449984,0.287124,1.43742,0.301149,0.676996,0.461578,0.748333,-0.454714,-0.0679752,0.844054,-0.128787,-0.128191,0.119672,-0.205943,0.860708,-0.0961286,-0.298151,0.102276,-0.857848,-0.349481,-1.27268,-0.738658,-0.358484,-0.260957,0.357757,-1.04138,0.892425,-0.771055,-0.201493,-0.183871,-0.142011,-0.0655421,0.751593,0.695879,1.06642,0.920613,0.445468,0.391309,0.640948,-0.110072,0.0471169,1.04685,0.180738,0.292148,0.808367,0.169107,1.00095,0.427774,-0.328778,0.378359,-0.413077,0.167039,-0.203277,-0.00457726,0.506139,0.000749017,0.685632,-0.249404,1.2379,-0.103364,0.231172
-4112.22,0.998877,0.00380267,10,1023,0,4149.18,-0.277985,-0.469621,-0.533104,-0.7434,-0.198822,0.149369,0.612298,0.475454,-1.22391,-1.07799,-0.974821,0.371058,0.383627,0.905078,1.09429,0.0871889,0.732611,1.4463,0.0378006,-1.16628,1.90783,-0.136392,-0.539616,1.13474,-0.263833,1.18216,-0.199677,-0.973458,-0.0881137,-1.00282,-0.953972,-0.301971,-0.993885,0.155107,-0.140597,0.890648,-1.25244,2.35707,-0.4636,-0.132802,0.0143832,0.142563,-0.101693,-0.0811217,0.3175,0.245579,1.09431,0.390768,0.632097,0.781557,1.16631,0.115897,-0.252328,1.0597,-0.0283287,-0.347716,0.258261,-0.14536,0.741817,-0.216682,-0.146974,0.0418599,-0.552445,-0.611334,-0.791744,-0.812534,-0.38395,-0.0400652,0.38158,-1.00369,1.067,-0.541426,-0.159362,0.0303864,0.0997605,0.148815,0.788718,0.794695,1.04262,1.13258,0.653752,0.960621,1.29995,0.63027,0.0577871,1.51938,0.547449,0.355735,1.15181,0.486857,1.17436,0.51736,0.149463,0.570404,0.135505,0.158728,0.468724,0.139751,0.686044,0.54545,1.03576,0.0168214,1.73298,0.391877,0.549156
-4097.78,0.999364,0.00380267,10,1023,0,4139.26,-0.0582275,0.0263963,0.0716104,-0.241559,-0.235203,0.215219,-0.364652,0.4315,-1.18186,-1.15701,-0.380789,0.484206,0.638813,1.58375,1.05824,0.0873502,-0.103651,0.922421,-0.867732,-0.613377,1.31956,-0.293996,-0.244808,0.813126,0.0640464,0.707035,-0.0348906,-1.88747,0.267888,-1.46368,-0.835451,-0.532834,-0.890104,0.716974,-0.474321,0.424647,-0.902665,1.83895,-1.73912,0.257916,0.0153606,0.208022,-0.140078,0.133331,0.150477,0.142406,1.43547,0.0672497,0.591082,0.391586,0.850432,-0.471525,-0.0508042,0.666531,-0.120276,-0.183343,-0.0540508,-0.0730547,0.482418,-0.245044,-0.441649,0.148704,-0.757493,-0.670324,-1.12056,-0.965587,-0.418105,-0.221724,0.0955141,-0.963043,0.647832,-1.22473,-0.124175,-0.874624,-0.863901,-0.528962,-0.155717,-0.0890042,0.318735,0.0919786,-0.32696,-0.409377,0.0333725,-0.739078,-0.629324,0.204736,-0.491511,-0.470287,-0.0137886,-0.337016,-0.0595665,-0.379707,-1.1791,-0.249058,-0.996228,-0.725149,-0.59457,-0.748731,-0.0552779,-0.569321,-0.181417,-0.754152,0.428856,-1.11508,-0.253361
-4103.33,0.972722,0.00380267,10,1023,0,4134.28,0.303005,-0.189433,-0.200823,-0.600145,-0.135523,0.157101,-0.253594,0.414096,-0.8755,-0.975509,-0.854459,0.100812,0.289328,1.50291,0.581298,0.315969,0.526287,1.5692,-0.661348,-0.529355,1.10778,-0.408344,-0.763144,-0.0411946,-0.325157,0.641164,0.0243005,-1.39596,0.340227,-1.33908,-0.899529,-0.992523,-0.549334,0.239873,-0.269703,1.33678,-0.804613,2.6177,-1.62942,0.561622,0.0130318,0.253997,-0.0598936,-0.0210958,0.0914202,0.167294,1.26961,0.0973164,0.597823,0.643197,1.09698,-0.202273,0.0947075,0.656398,-0.0652042,-0.202451,-0.175718,-0.118881,0.485504,-0.00758232,-0.212506,0.287528,-0.507823,-0.6672,-1.06904,-0.71299,-0.487276,-0.15518,0.473088,-0.781443,0.94932,-1.04549,-0.0165319,-0.616134,-0.657548,-0.607421,-0.211848,-0.133784,0.368757,-0.0128804,-0.122752,-0.0356602,0.396206,-0.527455,-0.472797,0.205133,-0.422687,-0.569608,-0.270652,-0.38824,0.0119099,-0.243531,-0.831654,-0.112707,-0.808102,-0.626085,-0.664593,-0.48107,-0.154263,-0.365277,0.29996,-0.58678,0.830387,-0.928329,-0.0210284
-4107.86,0.976308,0.00380267,10,1023,0,4142.21,0.276352,-0.167687,-0.525635,-0.472289,-0.135578,0.112915,-0.159713,0.444434,-1.01371,-1.39228,-0.742455,0.663785,0.866452,1.20797,0.588199,-0.265359,0.505575,0.870317,-1.2005,-1.32111,1.7489,0.58085,0.170535,1.65658,0.634338,1.61818,-0.315153,-0.974722,0.397924,-0.564451,-1.61978,-0.994891,-1.57735,0.221594,-0.0524388,0.2524,-1.60127,1.66297,-1.47737,-0.200294,0.0164808,0.118608,-0.272514,-0.0327451,0.450679,0.437969,1.08384,0.203459,0.368735,0.603749,0.802601,-0.400193,-0.323791,0.601274,0.0212042,-0.233368,0.280846,0.0183308,0.616038,-0.475273,-0.46951,-0.0406688,-0.539855,-0.86985,-0.929507,-0.991484,-0.295194,-0.0457296,0.0374673,-1.03786,0.662175,-0.912052,-0.216718,-0.610242,-0.77849,-0.489685,0.135296,0.225368,0.377149,0.101703,-0.277648,0.0649821,0.227086,-0.693255,-0.746859,0.617559,0.0984371,-0.0839213,0.576526,0.122209,0.559463,-0.299777,-0.592913,0.0171382,-0.410574,-0.8796,-0.601876,-0.860741,-0.0612287,-0.183018,-0.0475378,-0.87137,0.579368,-0.816306,-0.24873
-4114.66,0.950555,0.00380267,10,1023,0,4146.29,-0.142533,0.0254189,0.339499,-0.149731,-0.333857,0.194152,-0.315199,0.437692,-1.71166,-1.45403,-0.0855837,0.926075,1.21689,1.14824,1.7043,-1.01108,0.234783,0.756841,-1.6584,-0.707044,1.35272,-0.480447,-0.421515,0.770521,-0.47092,0.877597,-0.0573449,-2.20818,0.41223,-2.04221,-1.31137,0.1349,-0.776606,1.09968,0.766645,0.801725,-0.94014,1.66043,-0.610703,0.267464,0.0101365,0.106349,-0.233826,0.188771,0.470423,0.372499,1.21677,0.357769,0.237437,0.49859,0.749298,-0.805387,-0.20057,0.907515,-0.0543751,-0.252173,0.0140011,-0.0425865,0.786162,-0.0590906,-0.397969,0.371182,-0.906197,-0.799216,-0.980497,-0.967833,-0.216691,0.184943,0.12889,-1.13009,0.556251,-0.831355,-0.0624204,-1.06438,-0.951616,-0.352658,0.0901365,0.217425,0.187376,0.430759,-0.757741,-0.212436,0.0160644,-1.04107,-0.624666,0.276875,-0.525486,-0.499693,0.0220518,-0.521317,0.0689184,-0.340298,-1.2817,-0.134769,-1.20906,-0.889174,-0.256154,-0.655113,0.166122,0.0203555,0.0357097,-0.72669,0.411556,-0.582499,-0.198132
