# 0.153876, 0.111102, 0.0959465, 0.0996985, 0.0189774, 0.0092692, 0.160176, 0.487663, 0.469228, 0.434591, 0.459493, 0.660498, 0.520785, 0.640307, 0.566173, 0.402934, 0.422383, 0.548663, 0.422855, 0.529351, 0.489726, 0.329053, 0.434244, 0.395463, 0.507378, 0.395139, 0.386195, 0.4855, 0.418933, 0.421522, 0.474298, 0.830372, 0.513366, 0.607024, 0.709896, 0.652687, 0.395808, 0.43089, 0.446659, 0.538274, 1.0235, 0.0200669, 0.0229007, 0.0221238, 0.0205262, 0.0212512, 0.0227021, 0.0178658, 0.0203864, 0.0237087, 0.0220261, 0.0161792, 0.017224, 0.0218225, 0.0158534, 0.0203629, 0.0189245, 0.0163552, 0.0225802, 0.0219998, 0.0252129, 0.0204935, 0.0208479, 0.0228892, 0.0213188, 0.019211, 0.0194436, 0.0188911, 0.0203392, 0.0221484, 0.0205245, 0.0204142, 0.0254164
-34.1545,0.990674,0.0629287,6,63,0,64.9841,0.223029,0.109932,-0.259154,-0.367393,-0.18668,0.11939,-0.918324,0.434319,-0.0460117,0.830817,0.234144,-1.12379,-1.33022,1.35455,-0.126968,0.586333,-0.115042,2.33883,-0.500486,1.23819,0.501894,0.991656,-0.0903928,-1.02208,-0.899209,-0.383853,0.017283,0.793751,0.432207,1.1284,-1.31649,-1.79718,-1.3796,-0.889728,1.1099,0.636173,-0.172638,1.18754,-0.476635,0.0664339,0.311805,0.55485,-0.0228587,0.33711,-1.06081,-0.348947,0.387223,-0.981833,0.17336,0.212189,0.468143,-0.506129,0.773108,-0.744619,-0.590799,-0.669418,-1.09655,-1.73076,-0.60532,-0.717376,-0.325965,-0.86604,-0.700571,-1.65535,-2.38748,-1.61027,-1.81631,-0.0681439,-0.0786945,-1.066,-0.737457,-1.24909,-1.09653,-0.938308,-0.557484,-0.816631,-1.40641,-1.49607,-0.330016,-0.973469,-0.663669,-0.968289,0.0974725,-1.13569,-0.380555,-0.700342,-0.487629,-0.957584,-1.36223,-1.30887,-1.08504,-0.910818,-0.573583,-0.730609,-0.428239,-1.4901,-1.69888,-1.51751,-1.30475,-0.436272,-0.642022,-0.993304,-0.402551,-1.12534,-0.889471
-33.2096,0.980889,0.0629287,6,63,0,72.2053,-0.340483,0.095928,-0.680023,-1.01784,-0.0869286,0.0223292,0.199409,0.591435,0.950378,-0.622974,1.92991,-2.37035,0.168319,0.621111,-2.39059,0.54789,0.77059,0.823403,-1.07924,0.977346,1.04911,0.284693,0.735926,-0.753129,-0.0679913,0.407481,-0.225737,0.175298,-0.0319802,0.164969,-0.133378,-1.60037,0.275436,-0.0597067,1.64161,0.713096,1.4662,0.10259,0.348978,-0.187946,0.407461,0.846334,-0.233283,0.255036,-1.1701,-0.407963,0.500992,-0.949833,-0.060484,0.21976,0.436146,-0.415788,0.552246,-0.683851,-0.538486,-0.496073,-0.740903,-1.31451,-0.541224,-0.862212,-0.108066,-0.463514,-0.555946,-1.57232,-2.29589,-1.83149,-1.89761,-0.11397,-0.0303855,-0.672145,-0.550544,-0.862006,-1.13226,0.761496,-0.16904,1.34083,-1.2025,0.298959,0.566756,-1.21447,0.52345,0.655163,0.686398,-0.438894,0.777446,0.819892,0.367786,0.634662,-0.246018,0.159196,0.440408,0.0659002,0.303086,0.180495,0.296978,0.120525,-0.747106,0.362311,0.164096,1.17031,0.621159,1.06657,0.260084,0.405807,0.088251
-34.9748,0.915186,0.0629287,6,63,0,67.4382,-0.323661,-0.0538922,-0.562746,-1.08697,-0.0487847,0.0621635,0.215671,0.549163,0.195242,0.434147,0.865115,-1.73809,-1.21648,0.372396,-1.52795,0.688695,1.29124,-0.288108,0.214195,0.56265,-0.0837817,-0.908136,-0.181367,-2.05807,0.163828,-0.882739,-1.39441,-0.168686,-0.491292,0.370152,-0.254284,-0.994458,0.0550983,-0.0748915,0.261659,1.0079,-0.0214677,0.416509,0.110369,0.205046,0.575772,0.819767,-0.128531,0.133519,-1.20455,-0.487493,0.49644,-0.991435,-0.0989455,0.196493,0.331216,-0.355924,0.496955,-0.748194,-0.490869,-0.636781,-0.903094,-1.26692,-0.55825,-0.943968,-0.123156,-0.44567,-0.498143,-1.60482,-2.18194,-1.86635,-1.94689,-0.21239,-0.0285576,-0.811707,-0.525021,-0.942557,-1.15279,0.322891,0.454089,0.69076,-0.738825,-0.452372,0.420178,-0.623424,0.593877,0.924775,0.0574531,0.333299,0.524658,0.169661,-0.283043,0.116071,-0.914542,0.305639,-0.269096,-0.550089,0.123035,-0.0541283,0.418945,0.0760276,-0.330448,0.245929,0.174544,0.359365,0.769171,0.203882,0.444402,0.276282,0.328275
-24.8431,0.994395,0.0629287,6,63,0,60.8315,-0.5646,0.501247,-0.501913,-0.310324,-0.0345566,-0.0177642,-0.0345553,0.567897,0.829204,-0.540568,0.630994,-1.89048,-1.02785,0.95772,-1.79887,-0.0353846,0.772934,0.698963,-0.635808,0.336902,0.572133,0.48232,0.924651,-0.220639,-0.0165079,0.775777,0.117207,0.742785,1.1234,1.25903,-0.713806,-2.08416,-0.688428,-0.274245,1.2582,1.50401,-0.00866908,1.18906,-0.393662,0.145565,0.269722,0.821609,-0.162848,0.112042,-1.1171,-0.43867,0.475406,-1.05666,-0.332819,0.0859091,0.305677,-0.425486,0.650197,-0.686374,-0.560546,-0.519853,-0.973516,-1.30869,-0.546958,-0.947029,-0.251567,-0.556705,-0.466692,-1.67749,-2.13654,-1.68223,-1.95065,-0.297007,-0.0657028,-0.721075,-0.445458,-1.06945,-1.07569,0.436347,-0.341542,0.323784,-1.10815,-0.618267,0.509331,-1.05613,-0.0546501,0.404391,0.362384,-0.395629,0.15677,0.290357,0.239353,0.490551,-0.159855,-0.0439301,0.406006,0.0320059,0.38727,0.603417,0.680445,-0.439924,-1.21814,-0.425512,-0.190298,0.679974,0.819569,-0.0394785,0.64071,-0.258115,0.0481108
-33.7724,0.970989,0.0629287,6,63,0,79.4441,-0.0596468,0.644522,0.14084,-0.426806,-0.386168,-0.101579,-0.502674,0.655673,0.114672,-0.330883,0.484591,-1.18258,-1.38151,0.781028,-1.10727,-0.490571,0.485041,0.405302,-0.267728,1.01029,0.125315,0.163502,1.12074,-0.366037,0.653316,-0.628645,0.366584,-0.0312046,0.775244,0.404242,-0.0540637,-2.11141,-0.642577,0.574889,1.98519,1.93483,-0.507084,1.08467,0.204032,1.24882,0.43634,1.04598,-0.315799,0.207249,-1.23756,-0.269516,0.564334,-0.80547,-0.341041,0.362819,0.211507,-0.378445,0.875309,-0.812406,-0.554735,-0.695848,-0.821484,-1.35896,-0.569843,-0.91703,-0.403486,-0.698375,-0.770649,-1.67078,-2.396,-1.91688,-2.32793,-0.0540699,0.130825,-0.984964,-0.679153,-0.8712,-1.24167,-0.427487,-0.719626,-0.184941,-1.27806,-1.40849,0.00942459,-1.22868,-0.824328,-0.184646,-0.236929,-0.678216,0.159742,-0.420509,-0.395471,0.232164,-0.742675,-0.074313,-0.91486,-0.262315,-0.523134,0.00563196,-0.237624,-0.538122,-1.88707,-0.923994,-0.125735,0.798958,0.765942,-0.835155,0.208513,-0.368896,0.316144
-45.6806,0.947058,0.0629287,6,63,0,82.8209,-0.494457,-0.270721,-0.609513,-0.967369,-0.301329,0.16034,0.17366,0.34441,-0.56314,0.310348,0.295193,-0.130816,-0.494128,1.03973,-0.531439,0.839211,1.21176,1.64655,1.1753,1.07697,-0.583202,0.276744,0.0703058,-1.48051,-0.50689,-0.362958,0.356432,0.639366,-1.06641,-0.887336,-0.380561,-0.834217,-1.52864,-0.780613,1.94328,2.93028,-0.823469,1.20828,0.286283,1.34807,0.383261,0.458281,-0.299433,0.106704,-1.21486,-0.297983,0.669334,-0.788128,0.043203,0.34244,0.547157,-0.415943,0.803183,-0.715838,-0.36161,-0.834628,-1.01009,-1.35116,-0.502861,-0.880405,-0.346688,-0.754668,-0.739693,-1.59252,-2.39708,-1.86012,-1.60316,-0.177417,-0.151828,-1.13896,-0.802957,-0.836146,-1.19038,-0.0202906,0.280547,0.275328,0.128606,0.00347788,0.531753,-0.00937244,0.462693,0.591004,0.740749,0.578445,0.544578,-0.0272002,0.268974,0.197874,-0.33624,-0.000917492,0.0486543,0.296419,0.393864,-0.193621,-0.131947,0.0425913,-0.113652,-0.352817,-0.0951903,0.842947,1.18288,-0.10995,0.589803,0.272259,0.63795
-49.3895,0.991173,0.0629287,6,63,0,98.3242,-0.547421,-0.0715151,-0.238349,-0.515744,-0.212533,0.332424,-0.536847,0.454977,1.04892,0.161521,0.736317,-0.662499,0.21598,2.53227,-1.65984,-0.393812,0.483903,0.935462,1.25625,0.781141,-0.573679,-0.196458,-0.350075,-0.116093,-0.35887,-1.066,-1.18544,0.793281,-0.240976,-1.29103,0.194377,-0.787444,-0.422407,-2.69838,1.99183,1.79916,-1.31793,0.830209,0.0496668,1.12069,0.380349,0.857397,-0.466427,0.47649,-1.17366,-0.361974,0.299484,-0.996852,0.0187718,0.847767,0.221609,-0.608392,0.653585,-0.736742,-0.606734,-0.694177,-0.686438,-1.37714,-0.500332,-1.11842,-0.181389,-0.419781,-0.815513,-1.68758,-2.48594,-2.08257,-2.20591,-0.131549,-0.165669,-1.0421,-0.681719,-1.03885,-0.798996,-0.059612,-0.463359,-0.20184,-0.838269,-0.438581,0.615279,-1.29204,-0.716023,-0.316682,-0.111233,0.0347176,-0.181446,-0.797858,-0.626231,-0.696123,-0.589666,-0.700124,-1.02185,-1.0762,-0.175923,-0.646486,-1.12423,-0.44841,-0.895116,-0.729032,-1.76455,0.369389,0.28173,-1.13647,-0.159121,-0.51425,-0.0269584
-38.9175,0.971222,0.0629287,6,63,0,82.0746,-0.616453,0.0737708,-0.311829,-0.757982,-0.216593,0.178911,-0.269226,0.474274,1.24272,-0.635747,0.143724,-0.388113,-1.32243,1.62057,-0.372772,-0.444464,0.324269,1.154,0.816438,-0.0177022,-0.97478,0.401515,0.962628,0.711184,0.196268,-0.789584,-0.0911538,-0.283777,0.11885,-0.65519,0.140106,-0.174276,0.970229,-2.20506,2.1212,1.9884,-0.247718,0.282204,0.462171,1.0993,0.383865,0.623746,-0.232792,0.158577,-1.0247,-0.520782,0.370407,-0.812888,-0.0310181,0.433544,0.119397,-0.613169,0.75591,-0.794549,-0.605418,-0.625796,-0.528504,-1.43354,-0.733043,-1.12501,-0.376846,-0.426424,-0.578139,-1.44042,-2.13643,-1.95626,-2.1422,-0.194046,-0.182137,-1.21677,-0.526297,-1.05215,-1.32125,0.320166,-0.570744,-0.201061,-0.453297,-0.89642,0.49937,-0.446022,-0.480024,-0.115433,0.278084,0.11799,-0.277621,-0.731538,-0.0787975,0.187324,0.0680702,-0.176141,-0.643705,-0.312458,-0.403814,-0.212858,-0.579965,-0.202777,-0.35188,0.190929,-1.31503,0.736804,0.673819,-0.386712,-0.135384,-0.05003,0.252143
-31.8902,0.983902,0.0629287,6,63,0,72.2769,0.356785,0.0585102,-0.102078,-0.290627,-0.119288,0.0219731,-0.729331,0.53744,-0.0224809,0.13597,1.29435,-1.7628,-0.804871,0.646649,-1.70411,-0.185622,0.121576,0.929608,-1.33557,0.732052,-0.555055,-1.29986,-0.224906,-1.65531,-1.03542,-0.370795,-0.67358,1.05952,-0.7771,0.181025,-1.85585,-2.3776,-1.70733,-0.529385,0.446571,0.912417,-0.489581,-0.400302,-0.664438,-0.038098,0.28859,0.711242,-0.0774956,0.0948866,-1.29626,-0.393752,0.597055,-0.941722,0.0498863,0.235091,0.241728,-0.327948,0.576399,-0.85173,-0.663267,-0.494044,-1.12761,-1.41482,-0.466004,-0.681974,-0.0391318,-0.751694,-0.756227,-1.84947,-2.53734,-1.7504,-1.70651,0.0263283,0.0696206,-0.716966,-0.724271,-0.870014,-1.23898,-0.741413,-0.656255,-0.0336947,-1.67673,-1.1619,-0.381796,-1.64519,-0.829091,-0.663991,-0.229722,-1.44712,-0.335896,-1.02764,-1.42793,-0.850204,-1.61896,-1.28581,-0.928611,-1.09134,-0.159901,-1.14698,-0.632041,-1.72674,-2.00715,-1.64692,-1.01384,-0.489325,-0.238961,-0.992451,-0.944469,-1.08643,-0.749806
-41.4808,0.979243,0.0629287,6,63,0,74.6342,-0.490372,-0.223402,-0.320597,-0.680666,-0.355133,0.00314416,0.254823,0.31197,0.247824,-0.838557,0.401925,-0.731322,-0.399139,1.03402,-0.226376,1.40282,1.2239,-0.663621,0.48314,0.376583,-0.188072,-0.362471,-0.797809,-0.165548,0.262641,-0.935709,-1.43826,-1.48272,0.529222,-1.0741,-0.36317,-0.626058,0.453521,0.250396,1.05703,0.251508,0.437567,-0.975414,0.846044,-0.694472,0.522422,0.72568,-0.113979,0.0958441,-1.16947,-0.430176,0.592897,-0.997332,-0.0347976,0.46728,-0.01684,-0.502922,0.471702,-0.684471,-0.620903,-0.538353,-1.14519,-1.44178,-0.714071,-0.869578,-0.0879707,-0.768429,-0.865642,-1.88602,-2.23557,-1.9198,-1.78254,0.0337034,-0.0433061,-1.03023,-0.739355,-1.13142,-1.30638,0.332136,-0.0067815,0.380211,0.0266725,0.130303,0.577407,0.1842,0.692459,0.636641,0.0477932,0.405548,0.372305,0.19615,0.141743,0.00593048,0.203177,0.336759,-0.0370901,-0.193871,-0.207742,0.419924,-0.0802649,0.141525,0.0595116,0.396307,0.332939,0.584584,0.333285,0.39133,-0.0494768,0.518763,0.0381686
